time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.494,0.05959162,-0.0316265,0.05658052,-0.03303624,-0.1571981,0.03810464,-0.3998227,0.06799039,-0.5244334,355.8586,7.505577,357.7382,0.219349,-0.2704222,-0.01161116,-0.5567524,-0.5272194,0.568248,-0.4702677,-0.5143896,-0.3272606,355.1241,6.650246,349.58,0.02233534,-0.2801197,-0.006192129,-0.449727,0.3730408,-0.4999436,-0.338125,-0.5481654,-0.3364002,5.382747,356.715,355.6895,
12.984,0.06151028,-0.0372209,0.05770485,-0.0313667,-0.169863,0.04066425,-0.398932,0.06733003,-0.5236042,355.872,7.662082,357.719,0.2311199,-0.2867362,-0.01351209,-0.5519861,-0.6030594,0.6397774,-0.4675227,-0.5183619,-0.3273174,355.5626,7.413031,349.1235,0.03226862,-0.3237948,-0.01585516,-0.5214707,0.4363338,-0.5669011,-0.3370348,-0.5530026,-0.3367707,5.985456,356.4145,356.2125,
26.436,0.06334456,-0.04396932,0.05871103,-0.01634358,-0.17833,0.04712096,-0.3980144,0.0664545,-0.5227562,355.8586,7.823724,357.6753,0.2389651,-0.3084335,-0.01038089,-0.5978548,-0.6534815,0.6339919,-0.4647422,-0.5227152,-0.3271054,356.0878,8.158941,348.817,0.0471312,-0.3662369,-0.02786205,-0.6333994,0.4789445,-0.6284305,-0.335763,-0.5582559,-0.3376306,6.742791,356.1501,356.7657,
40.136,0.06496567,-0.05333107,0.0596619,-0.01134505,-0.1949888,0.06035111,-0.397077,0.06543943,-0.5219046,355.8805,8.014935,357.6203,0.2380355,-0.3265683,-0.002564965,-0.6446584,-0.62486,0.5858534,-0.4621848,-0.5271267,-0.3269795,356.6557,8.762591,348.6134,0.0584498,-0.4056229,-0.04608334,-0.7452404,0.6339076,-0.6460996,-0.3341553,-0.5637764,-0.3384303,7.613818,355.6023,357.2771,
54.059,0.06662687,-0.06408972,0.0611467,-0.01781837,-0.2199792,0.07878156,-0.3961082,0.06427553,-0.5210059,355.9257,8.242413,357.5582,0.2338583,-0.3418705,0.00740616,-0.7098362,-0.5781703,0.5020609,-0.4596465,-0.5316811,-0.3266275,357.276,9.289298,348.5635,0.07230601,-0.4247497,-0.06349646,-0.7483448,0.736173,-0.6632282,-0.3322486,-0.5692262,-0.3394679,8.339448,355.0412,357.8267,
68.03,0.06901659,-0.07409786,0.06283964,-0.02865136,-0.2457663,0.09746391,-0.3950982,0.06308672,-0.5200676,355.9804,8.491181,357.4842,0.230932,-0.3523134,0.01644417,-0.7362319,-0.5235996,0.5306635,-0.4568021,-0.5358353,-0.3259023,357.9434,9.777674,348.3371,0.09973493,-0.4382092,-0.08055214,-0.6901765,0.7775794,-0.675932,-0.3294811,-0.5748844,-0.3414071,8.932281,354.5361,358.3896,
81.694,0.07140925,-0.08250551,0.0657302,-0.02120227,-0.273386,0.1105128,-0.3940825,0.06180438,-0.5190352,355.9902,8.759179,357.4018,0.2282043,-0.3405967,0.0246169,-0.6149094,-0.4444106,0.5947939,-0.4537998,-0.5394131,-0.3250645,358.371,10.12068,347.9001,0.121386,-0.44521,-0.09032814,-0.6352373,0.8282731,-0.7168838,-0.3267547,-0.5805732,-0.3428933,9.505314,354.0156,359.0383,
95.748,0.07390038,-0.0888145,0.06961741,-0.0173053,-0.295186,0.1034511,-0.3930351,0.06049088,-0.5178924,356.0048,9.025322,357.3691,0.2303181,-0.3078336,0.0287103,-0.3616745,-0.487284,0.5654648,-0.4513379,-0.5428148,-0.3253085,358.3148,10.58721,347.4941,0.1500548,-0.4493461,-0.1049109,-0.4936687,0.8941926,-0.778448,-0.3234361,-0.5868301,-0.3438629,9.853415,353.4437,359.827,
110.392,0.07626503,-0.09021415,0.07497478,-0.03752888,-0.3056158,0.09817033,-0.3919092,0.05938914,-0.5167047,356.0884,9.284027,357.333,0.2385136,-0.280672,0.03187313,-0.2505071,-0.6330428,0.5179256,-0.4482015,-0.5460055,-0.3239741,358.299,11.33382,347.1911,0.187223,-0.4613953,-0.1205232,-0.4415463,0.9810773,-0.9639101,-0.3191379,-0.5929408,-0.3462626,10.34388,352.9079,0.9483372,
123.636,0.07848039,-0.08750118,0.08153423,-0.03382179,-0.3106359,0.1092438,-0.3907753,0.05830869,-0.5153991,356.105,9.551147,357.2404,0.246327,-0.2664382,0.04472487,-0.3408378,-0.7003069,0.4965516,-0.4452973,-0.5490279,-0.3225882,358.6628,12.10043,347.009,0.2317237,-0.4699029,-0.1360001,-0.3345456,1.073601,-1.115219,-0.3139904,-0.5989792,-0.3487875,10.71399,352.3314,2.197606,
