time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.385,-0.002338488,0.00665622,-0.01014586,0.02409629,0.0009285921,0.008643379,0.03135958,0.1422428,-0.7936362,359.284,3.415374,359.0497,-0.04864304,0.0156835,-0.009691649,0.1120366,0.03813693,-0.09455024,-0.03125883,-0.01266816,-0.5047015,343.6308,350.1028,36.79517,-0.06095294,0.04113246,-0.02727375,0.3686794,0.07054602,-0.08366309,0.05566507,-0.001311092,-0.4975376,333.354,3.060263,336.9388,
13.008,-0.004429396,0.006554185,-0.00703589,0.01477905,-0.001011652,0.00206929,0.03125843,0.1423254,-0.7937585,359.2847,3.414661,359.047,-0.0503443,0.002536755,-0.004870744,0.1583188,-0.04305251,-0.1351797,-0.03227223,-0.01308972,-0.5046677,343.5977,350.2064,37.04177,-0.06410473,0.03674347,-0.03077561,0.3540472,-0.08985046,-0.1440205,0.05456561,-0.001380388,-0.4980392,333.0139,2.986877,337.2648,
26.258,-0.007507393,0.005666086,-0.003939786,0.003109805,0.007883794,-0.0001561069,0.03108868,0.1423755,-0.7938305,359.2978,3.397039,359.0528,-0.05430535,-0.0133349,0.0009795241,0.1917475,-0.0955391,-0.1858472,-0.03285755,-0.01381608,-0.5043619,343.5729,350.2765,37.34521,-0.06365295,0.02784535,-0.03205731,0.3639769,-0.1646087,-0.1199344,0.05371013,-0.001528108,-0.4983097,332.6387,2.978986,337.4213,
40.298,-0.01165048,0.005359048,2.282951E-05,-0.01625424,0.02354609,0.00363705,0.03083125,0.1424382,-0.7937707,359.3537,3.342647,359.0454,-0.05811622,-0.03181245,0.009585217,0.1125389,-0.1157729,-0.1723695,-0.03390909,-0.01459691,-0.5039859,343.6975,350.2858,37.45975,-0.06708766,0.01084764,-0.02370136,0.2947136,-0.1937405,-0.1311121,0.05297903,-0.001783684,-0.4981581,332.4402,2.931089,337.6479,
54.203,-0.01630285,0.005826428,0.004918628,-0.02119262,0.04428951,0.02097548,0.03049221,0.1425306,-0.7935845,359.3746,3.277586,358.9983,-0.0610399,-0.05568393,0.02441159,-0.03721609,-0.1829194,-0.111419,-0.03483267,-0.01580932,-0.5033664,344.0604,350.3419,37.41209,-0.07072084,-0.007830669,-0.008618819,0.2317837,-0.08723977,-0.07737149,0.05150307,-0.002815744,-0.4980223,332.3697,2.864698,337.5969,
67.829,-0.02149933,0.007603876,0.0107616,-0.01816172,0.05723109,0.03552565,0.02988556,0.1427655,-0.7930846,359.3837,3.220569,358.9522,-0.06356388,-0.07725057,0.03605463,-0.1733005,-0.1821425,-0.01577659,-0.0358611,-0.01728948,-0.5030473,344.4082,350.3551,37.20281,-0.07482187,-0.02616994,0.00798388,0.1809231,0.1063053,0.002739579,0.0505447,-0.00356866,-0.4976814,332.428,2.737335,337.3021,
81.85,-0.02694016,0.008914893,0.01754202,0.0005971826,0.06833202,0.03679994,0.02934244,0.1429334,-0.79259,359.3545,3.151853,358.9273,-0.06225174,-0.09920388,0.05299891,-0.3539577,-0.1576767,0.2235731,-0.03666512,-0.0187237,-0.5016842,344.825,350.4689,36.51224,-0.0824635,-0.04866707,0.02565784,0.2807789,0.4557878,0.1560912,0.04941003,-0.005122047,-0.4964747,332.387,2.41595,336.4681,
95.672,-0.03292839,0.00951241,0.02427013,0.0125605,0.083833,0.03225797,0.02867827,0.1430873,-0.7920125,359.3372,3.060767,358.9089,-0.06716552,-0.1182289,0.06366225,-0.4314906,-0.1320829,0.3594159,-0.03859866,-0.0205705,-0.5009301,345.1579,350.5865,35.90298,-0.0947237,-0.08282071,0.05685292,0.1993199,0.6992779,0.1999686,0.04837785,-0.006801447,-0.4940388,332.6874,2.044131,335.7688,
109.647,-0.03941828,0.009489127,0.03062263,-0.0004946387,0.1065357,0.02027665,0.02796271,0.1432183,-0.791436,359.3773,2.939535,358.9184,-0.07899754,-0.1369079,0.07908127,-0.4702803,-0.1279975,0.4580301,-0.03998666,-0.02246555,-0.4988098,345.4816,350.7462,35.2976,-0.1088561,-0.1294974,0.09919412,0.005609259,0.9223229,0.2591066,0.04636,-0.009785973,-0.4923917,333.3385,1.765508,334.9644,
123.592,-0.0472466,0.008182354,0.03736002,-0.01661776,0.1304563,0.008446519,0.02708027,0.1432407,-0.7907633,359.4136,2.79783,358.9305,-0.09459223,-0.1588821,0.09681854,-0.5072599,-0.1643665,0.5595183,-0.0418705,-0.02523455,-0.4976655,345.8691,350.9933,34.61147,-0.124296,-0.1875878,0.1478132,-0.2159071,1.182739,0.3907538,0.04399249,-0.01339844,-0.4892342,334.2982,1.576659,333.8779,
