time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.396,0.04937119,-0.007836008,0.01558421,-0.08050427,-0.07998724,0.1067869,-0.1297251,0.1445651,-0.7403533,359.8975,11.28096,353.828,-0.001347163,-0.1624801,0.02029423,-0.7398552,-0.04874342,0.216822,-0.2080789,-0.278897,-0.5597445,357.43,356.7655,5.233342,-0.1094809,-0.2458368,-0.006472278,-0.8117687,1.598987,0.3515419,-0.06145473,-0.270128,-0.5351101,354.0023,352.5417,356.2098,
13.298,0.05584168,-0.008529113,0.01828244,-0.07197668,-0.1014377,0.1055413,-0.1287448,0.1444058,-0.7400184,359.9469,11.40247,353.7632,0.01482285,-0.1464992,0.01157033,-0.5387581,-0.01689319,0.292987,-0.2074806,-0.2801819,-0.5599206,357.5316,356.7623,4.866924,-0.09062423,-0.2419272,-0.008698331,-0.6379172,1.234179,0.04124885,-0.06152678,-0.2729823,-0.5351491,354.3517,352.0204,356.515,
26.962,0.06362991,-0.009594565,0.01996658,-0.06899907,-0.1244262,0.09709831,-0.1275502,0.1441798,-0.7397257,0.008350067,11.5412,353.7256,0.03470768,-0.125552,0.003030114,-0.3253601,-0.03776907,0.2818427,-0.2064451,-0.2814605,-0.5600154,357.4578,356.8447,4.665143,-0.0563361,-0.2528531,0.003915403,-0.7171849,1.031986,0.05491749,-0.06048573,-0.2763098,-0.5345048,355.0093,351.5883,356.2576,
40.52,0.07360259,-0.01026357,0.02011037,-0.08619586,-0.1493212,0.09524028,-0.1261715,0.1439899,-0.7394912,0.1209504,11.70737,353.6935,0.06521931,-0.1126749,-0.0002081878,-0.2269856,-0.1361092,0.2589733,-0.2048326,-0.2828002,-0.5600462,357.4892,357.1048,4.503667,-0.005941893,-0.2766851,0.02418839,-0.9944602,0.8892691,0.2683168,-0.05875918,-0.2799044,-0.533302,356.0591,351.3147,355.3837,
54.241,0.08403865,-0.009855517,0.01884041,-0.09730405,-0.1808466,0.1127528,-0.1247562,0.1438992,-0.7392815,0.2269268,11.91052,353.6039,0.1001981,-0.1096899,0.0003894418,-0.2206881,-0.2684191,0.2684543,-0.2027502,-0.2841848,-0.5599726,357.6584,357.5233,4.279872,0.03889445,-0.2900038,0.03755485,-1.171307,0.7598454,0.4503673,-0.05675931,-0.2831763,-0.5325605,357.0778,351.1325,354.4132,
68.33,0.09419814,-0.008014077,0.01709843,-0.1015036,-0.2202753,0.1341527,-0.1232159,0.1438797,-0.7390964,0.3343664,12.15518,353.5067,0.1468516,-0.111116,0.002427146,-0.2243409,-0.4595371,0.2895491,-0.2000152,-0.2856963,-0.5600549,357.8748,358.197,4.029889,0.08156945,-0.2985255,0.03786397,-1.286949,0.7836336,0.6853882,-0.05412511,-0.2868727,-0.5324517,358.0227,350.7433,353.1294,
82.112,0.1042189,-0.006205956,0.01538329,-0.08507182,-0.2708154,0.154865,-0.1215325,0.1438113,-0.7389202,0.3914302,12.45519,353.3729,0.1931117,-0.1135755,0.006250657,-0.2271618,-0.638684,0.3046815,-0.1967872,-0.2869292,-0.5591942,358.1148,358.9978,3.781807,0.1097091,-0.3159334,0.0279608,-1.342042,0.9243341,0.7640035,-0.05100491,-0.2913473,-0.5325999,358.9681,349.9957,351.9929,
95.859,0.1144413,-0.004656591,0.01342621,-0.0661117,-0.3328201,0.1795155,-0.1196729,0.1437697,-0.7387859,0.449555,12.81598,353.2124,0.2361489,-0.1090411,0.007477775,-0.1186363,-0.7528105,0.2976848,-0.193337,-0.2884995,-0.5596594,358.104,359.7953,3.589052,0.1365444,-0.3599634,0.02431507,-1.576664,1.056297,0.6871799,-0.04777325,-0.2965895,-0.531157,0.4743058,349.1766,351.0019,
110.105,0.1254893,-0.004018948,0.01152251,-0.05452693,-0.4096498,0.1844487,-0.1176201,0.1436875,-0.7386899,0.4898413,13.25734,353.0981,0.2689582,-0.1070473,0.01078276,-0.03969865,-0.8028164,0.3179996,-0.189356,-0.2899105,-0.5587162,358.0672,0.5344983,3.337389,0.1670501,-0.4255511,0.02468767,-1.904537,1.148585,0.4587051,-0.04373094,-0.3027303,-0.5304653,2.512959,348.3822,350.2522,
123.821,0.1375889,-0.004235605,0.009211924,-0.05791532,-0.4941822,0.1672826,-0.1154108,0.1436089,-0.7386211,0.5331404,13.78041,353.0192,0.3006373,-0.1082384,0.01490633,0.0522617,-0.8250058,0.3658436,-0.1851751,-0.2918068,-0.5591657,357.9287,1.254006,3.001035,0.2088117,-0.496783,0.01816674,-2.103297,1.145031,0.1647933,-0.03872,-0.3098353,-0.5308567,4.614066,347.7657,349.8306,
137.637,0.1505222,-0.004290927,0.006137449,-0.07996391,-0.580087,0.1466372,-0.113001,0.1435668,-0.7386268,0.6021499,14.36891,352.9651,0.3392506,-0.114519,0.01823284,0.1577114,-0.9403769,0.400364,-0.1802115,-0.2937754,-0.5584021,357.7176,2.211748,2.654826,0.2806438,-0.5637644,0.004787542,-2.036841,0.9651294,-0.3071511,-0.03250896,-0.317572,-0.5303285,6.479177,347.5751,350.1529,
150.983,0.1637481,-0.004691594,0.002577066,-0.0995187,-0.6729551,0.129646,-0.1103349,0.1434519,-0.7387003,0.6542125,15.04074,352.9159,0.3843627,-0.1275464,0.02665699,0.2129371,-1.144185,0.3959822,-0.1748905,-0.2961411,-0.5574213,357.5591,3.462931,2.370024,0.3934684,-0.589431,-0.004867211,-1.599903,0.2949106,-0.913986,-0.02465273,-0.3249632,-0.5310329,7.540673,348.6572,351.4357,
165.078,0.1752219,-0.005270012,-0.001548104,-0.1174743,-0.7566462,0.1265848,-0.1075412,0.143325,-0.738835,0.7276366,15.76996,352.8542,0.4278032,-0.1476517,0.03552201,0.2677791,-1.326403,0.3934089,-0.1692016,-0.2991942,-0.5567894,357.3632,4.831851,2.087201,0.5411375,-0.5986922,-0.01481283,-1.100562,-0.6884473,-1.184639,-0.01541009,-0.3335634,-0.5317698,7.745868,350.9271,352.6252,
178.801,0.1858249,-0.006728983,-0.006976955,-0.1520523,-0.8265254,0.1221133,-0.104661,0.1431741,-0.7390907,0.8525437,16.525,352.8425,0.4691518,-0.1818923,0.04736346,0.2217688,-1.459154,0.483097,-0.1627916,-0.3027125,-0.5553174,357.3896,6.237837,1.614143,0.6712431,-0.647313,-0.03651249,-1.14223,-1.36227,-1.268524,-0.005372054,-0.3436397,-0.5333281,8.579001,353.3738,353.3305,
192.987,0.1943744,-0.008760967,-0.01250409,-0.1808164,-0.8816515,0.1278745,-0.1018335,0.1430176,-0.7393677,0.9642099,17.30932,352.7914,0.5092444,-0.2235624,0.05906402,0.1418249,-1.560294,0.6358923,-0.1560408,-0.3067218,-0.5541313,357.5919,7.685586,0.9443648,0.7599143,-0.7348161,-0.06859022,-1.583157,-1.521765,-1.221136,0.005438718,-0.3545671,-0.5348482,10.3288,355.2591,353.6212,
206.968,0.2015238,-0.008877985,-0.01668957,-0.190787,-0.9395375,0.1434023,-0.09885004,0.1429008,-0.7396559,1.060714,18.16193,352.7399,0.5469754,-0.2623816,0.06634872,0.1212771,-1.681258,0.6845773,-0.1489617,-0.3111724,-0.552835,357.7274,9.245523,0.3789134,0.8370765,-0.8242567,-0.1207255,-1.991077,-1.592981,-1.041053,0.0173107,-0.3665519,-0.5375415,12.31561,356.9996,353.6075,
220.612,0.2093767,-0.007377897,-0.01943153,-0.1904934,-1.008798,0.1439798,-0.09568289,0.1428899,-0.7399838,1.140573,19.08648,352.694,0.5803603,-0.2952261,0.0679882,0.1659529,-1.826359,0.6376322,-0.1417632,-0.3161159,-0.5515134,357.7087,10.95681,359.9686,0.9131306,-0.9009892,-0.1865374,-2.209199,-1.708856,-0.8392515,0.0303077,-0.3792867,-0.5415711,14.14009,358.8199,353.4815,
234.28,0.2189814,-0.005173972,-0.02208512,-0.1876702,-1.096992,0.1222954,-0.09239075,0.1428147,-0.7403693,1.17273,20.10059,352.6919,0.6090243,-0.3274883,0.06514584,0.2419778,-1.982221,0.5208134,-0.1343556,-0.3218666,-0.5503882,357.5252,12.79449,359.7191,1.003834,-0.9670305,-0.2623464,-2.329549,-2.010159,-0.7121384,0.04457692,-0.3927651,-0.5465711,15.84429,1.142189,353.3783,
248.542,0.2277267,-0.004248992,-0.02449156,-0.191711,-1.174335,0.08054955,-0.08904806,0.1427042,-0.7407733,1.182679,21.13951,352.7515,0.6408391,-0.3789967,0.05980586,0.2565596,-2.184419,0.4778733,-0.1265375,-0.3288035,-0.5490431,357.4504,14.85897,359.4274,1.112652,-1.026756,-0.3478399,-2.389895,-2.529691,-0.6753271,0.06009132,-0.407265,-0.5528045,17.37022,4.226232,353.3446,
262.395,0.2344143,-0.004589398,-0.02707399,-0.2032949,-1.22082,0.04735321,-0.08570853,0.1426049,-0.7412136,1.204983,22.17225,352.8027,0.6648327,-0.4393425,0.05432029,0.2544468,-2.302037,0.5789848,-0.1185516,-0.3364698,-0.5477651,357.5372,16.90788,358.8804,1.224204,-1.108487,-0.4493764,-2.665657,-3.161039,-0.4883207,0.07671584,-0.4233265,-0.5606706,19.29894,7.885223,352.934,
