time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.473,0.05129886,-0.1013559,0.05183905,0.09803057,0.1242866,0.1623081,0.1421534,-0.1277951,0.6162562,13.39795,50.09495,14.68363,0.179434,-0.03437434,0.08668274,1.26445,0.5254387,-0.2604717,0.1738846,-1.02524,0.4823936,69.17558,127.7788,14.28078,0.2514319,-0.01143204,0.1800271,0.4573008,0.1262955,0.2291714,0.216637,-0.9476921,0.3230158,68.79337,181.9622,154.4799,
13.222,0.03935152,-0.1023438,0.04250957,0.1150702,0.09050978,0.1683268,0.142501,-0.1291943,0.6166359,13.55614,50.01078,14.59484,0.155406,-0.0408196,0.08490579,1.24875,0.4630497,-0.22451,0.1752145,-1.026076,0.4834099,69.09094,127.3124,14.84738,0.2130698,-0.01354907,0.1571107,0.3486075,0.02615945,0.2252988,0.2186715,-0.9478949,0.3247307,68.79719,181.8828,154.6406,
26.46,0.02816848,-0.1027793,0.03306895,0.1238904,0.05119708,0.1687101,0.1426607,-0.1305679,0.6168959,13.69488,49.95845,14.50638,0.1276876,-0.04725568,0.08263615,1.146627,0.4276408,-0.1905237,0.1759846,-1.026875,0.4843562,68.98555,126.7838,15.13624,0.1860633,-0.01616752,0.1409847,0.3608226,-0.06048439,0.3613524,0.220365,-0.9481364,0.3262978,68.84103,181.2694,154.6114,
40.388,0.01724277,-0.1018976,0.02458051,0.1310285,0.0207402,0.148116,0.1426541,-0.1319346,0.6170878,13.78889,49.92246,14.4038,0.09718624,-0.05392727,0.07924222,0.9864944,0.3734068,-0.1680484,0.1763572,-1.027865,0.4851761,68.93208,126.3237,15.26445,0.1677942,-0.01953127,0.1311857,0.4739677,-0.1111039,0.5829886,0.2217725,-0.9484516,0.3278311,68.99165,180.0006,154.2654,
54.389,0.006849293,-0.1001396,0.01804164,0.1127068,0.003577133,0.1370555,0.1424454,-0.1332844,0.6172234,13.89362,49.88955,14.37084,0.06042336,-0.06122889,0.07193798,0.7347375,0.2778316,-0.1446409,0.1761463,-1.028507,0.4860418,68.94953,126.0843,15.25482,0.1489911,-0.02457214,0.1290925,0.6216298,-0.1744531,0.8169181,0.2227563,-0.9490944,0.329554,69.23505,178.4628,153.9174,
67.845,-0.006623663,-0.09857292,0.0115364,0.07991426,0.0005842689,0.1388563,0.1419907,-0.1346815,0.6172072,14.00735,49.84036,14.37475,0.02844491,-0.0637088,0.06607112,0.4917261,0.2089406,-0.1282975,0.1758371,-1.029751,0.4864886,68.96594,125.8182,15.05067,0.1263241,-0.02540664,0.1373053,0.7953201,-0.2382079,0.9986577,0.2234148,-0.9486487,0.3315743,69.64951,176.8715,153.6685,
81.794,-0.01982382,-0.09868706,0.005698603,0.07288889,-0.002000723,0.1403139,0.1413215,-0.1361603,0.6170955,14.12215,49.79623,14.32489,-0.002572427,-0.06517774,0.05825457,0.2592006,0.1204078,-0.1044499,0.1751674,-1.03051,0.4870449,69.02029,125.7449,14.8427,0.1009278,-0.02205686,0.1423714,0.8817916,-0.2572198,1.022411,0.2236523,-0.9490101,0.332808,70.11473,175.5836,153.5031,
95.79,-0.03562189,-0.09980123,-0.001248083,0.08237647,-0.03354827,0.166412,0.1403957,-0.1375742,0.6168844,14.34058,49.7954,14.25934,-0.03003117,-0.06201881,0.05069882,0.0694132,0.08392209,-0.0465358,0.1738412,-1.030825,0.4878832,68.97112,125.7417,14.60975,0.07339342,-0.01752456,0.119817,0.661034,-0.3348519,0.9926171,0.2238442,-0.9497438,0.333591,70.04007,175.0596,153.8417,
110.182,-0.05187109,-0.1019302,-0.009532719,0.08239617,-0.06662614,0.2036348,0.1392708,-0.1390416,0.6165317,14.58611,49.80445,14.23445,-0.0546333,-0.05982726,0.04486664,-0.06931976,0.05913915,-0.002047306,0.172743,-1.032279,0.4880623,68.91899,125.7628,14.36123,0.05406846,-0.01255593,0.09205967,0.4011832,-0.3308995,0.9434174,0.2239744,-0.9492099,0.3346164,69.7462,174.4664,153.9052,
123.393,-0.06852316,-0.1037324,-0.01800209,0.05603117,-0.1017377,0.2460509,0.1378708,-0.1404806,0.6160933,14.87326,49.84608,14.28338,-0.075403,-0.05943137,0.04225196,-0.1637478,0.0471682,-6.338768E-05,0.1711526,-1.032695,0.4887951,68.8968,125.6283,13.96609,0.03833144,-0.01038757,0.07342866,0.2073204,-0.2881508,0.8915105,0.223717,-0.9497859,0.3358942,69.38493,173.7913,153.8009,
137.301,-0.0852893,-0.1046569,-0.02622262,0.02173337,-0.1265401,0.293138,0.1362232,-0.141876,0.6155903,15.19411,49.87993,14.36328,-0.088101,-0.05201738,0.0411294,-0.2318536,0.1453202,0.03036336,0.1692667,-1.03303,0.4894404,68.65569,125.156,13.26414,0.02575653,-0.005615901,0.08553773,0.2736431,-0.129092,0.6863453,0.223404,-0.9499126,0.3370356,69.59869,172.9397,153.1992,
150.738,-0.1024128,-0.1049899,-0.03353818,-0.01617623,-0.1303572,0.336596,0.1342899,-0.1432594,0.6150007,15.5187,49.87917,14.47876,-0.0965867,-0.04255239,0.03646657,-0.2638205,0.2452453,0.07440196,0.1676102,-1.033804,0.4895714,68.31869,124.6473,12.56285,0.01179056,-0.004074105,0.10055,0.3503526,0.003887497,0.4949209,0.2229002,-0.949409,0.3385038,69.95165,172.1178,152.4947,
164.915,-0.1212169,-0.1043513,-0.0398447,-0.04391598,-0.1093842,0.3617041,0.1321176,-0.1446779,0.6143287,15.80603,49.83506,14.5815,-0.1029476,-0.03359636,0.0317205,-0.2164461,0.3413965,0.1183704,0.1655787,-1.034108,0.4899912,67.89112,124.1437,12.03662,-0.002541386,-0.002323074,0.1114231,0.4104293,0.09381584,0.4211586,0.2219494,-0.9496118,0.3398643,70.2696,171.0371,151.644,
178.848,-0.1411276,-0.1025456,-0.04608449,-0.0538899,-0.06683291,0.3648504,0.1296706,-0.1459931,0.6135145,16.056,49.73465,14.66581,-0.1150578,-0.02739543,0.0276975,-0.05295774,0.3992773,0.1378895,0.163105,-1.034263,0.4905417,67.49736,123.7525,11.93721,-0.01937399,-0.0003072936,0.1212873,0.4870136,0.1130072,0.4072889,0.2208618,-0.9495904,0.3413812,70.63525,169.967,150.9323,
192.549,-0.1612728,-0.09756622,-0.05262828,-0.06342968,-0.01736483,0.3601812,0.1269668,-0.147108,0.6125727,16.27883,49.60892,14.77115,-0.1362602,-0.02880062,0.02491468,0.2363781,0.3823713,0.1223558,0.1604594,-1.035064,0.4908117,67.2775,123.5983,12.4637,-0.03545782,0.00297841,0.1266569,0.5780867,0.1035662,0.4654468,0.2195415,-0.949214,0.3426628,71.05069,168.6848,150.1915,
206.698,-0.1810955,-0.09087533,-0.06048247,-0.07814053,0.04159912,0.3402769,0.1239967,-0.1481041,0.6114118,16.43914,49.44427,14.88208,-0.1575925,-0.03487012,0.0229215,0.4979057,0.3514977,0.09267566,0.157493,-1.03573,0.4911175,67.14712,123.4578,13.15441,-0.04975548,0.007095239,0.1176275,0.5727667,0.08790591,0.5553401,0.2180735,-0.9492574,0.3434892,71.28994,167.3368,149.4526,
220.476,-0.2009427,-0.08266628,-0.06958794,-0.09176725,0.08710372,0.3200683,0.1207604,-0.1489737,0.6101481,16.5939,49.28177,15.00078,-0.1811242,-0.04339316,0.02093547,0.7133314,0.3088369,0.04835141,0.1542795,-1.036631,0.4912134,67.1165,123.2709,13.89905,-0.06015977,0.01047227,0.1028513,0.5144174,0.1065079,0.6050966,0.2165184,-0.9490789,0.3442131,71.40764,165.9293,148.5732,
234.495,-0.2205076,-0.07449636,-0.07959133,-0.0995711,0.1224077,0.2976068,0.1172535,-0.1498379,0.6087752,16.7178,49.10888,15.11113,-0.2059137,-0.05084365,0.01664606,0.8664108,0.2714081,0.0244685,0.1506429,-1.037408,0.4912641,67.10988,123.101,14.6817,-0.07545705,0.01458885,0.08638051,0.4528961,0.1216347,0.5946282,0.2146192,-0.9487206,0.3448195,71.49989,164.6947,147.76,
248.17,-0.2393406,-0.0675339,-0.09065276,-0.09983716,0.1532354,0.2677362,0.113503,-0.1506432,0.6072306,16.80309,48.92477,15.20342,-0.2320573,-0.05673613,0.008891091,0.9664816,0.2355786,0.03307901,0.1466803,-1.038388,0.4910873,67.09356,123.0443,15.56463,-0.09428519,0.02077547,0.077704,0.4737937,0.1465396,0.5409611,0.2123448,-0.9481356,0.3453827,71.76234,163.4197,146.8403,
262.196,-0.2574609,-0.06124482,-0.1025312,-0.09958194,0.1770546,0.2380539,0.1095019,-0.151274,0.6054832,16.86941,48.74171,15.29933,-0.2589073,-0.06153317,-0.001631841,1.00231,0.2090783,0.04769158,0.1422948,-1.03934,0.4907075,67.0668,122.9976,16.38675,-0.121617,0.0274034,0.0726856,0.5311028,0.1181676,0.4347548,0.2096313,-0.9476201,0.3457808,72.18198,162.5821,146.2769,
276.14,-0.2749107,-0.05405193,-0.1144898,-0.09938008,0.1829157,0.2216358,0.1052575,-0.1516925,0.6035815,16.95656,48.57677,15.39299,-0.2887312,-0.06539106,-0.01520085,0.9775283,0.1596814,0.06399766,0.1374248,-1.040294,0.490117,67.06892,123.0788,17.20748,-0.1557361,0.03491889,0.07008031,0.6480644,0.06255888,0.3643847,0.2064306,-0.9468506,0.3459771,72.78452,161.7836,145.8317,
289.909,-0.2917852,-0.0467096,-0.1271202,-0.09585098,0.1810523,0.1873681,0.1008177,-0.152121,0.6014675,16.97856,48.44098,15.47163,-0.3213253,-0.06823538,-0.03155537,0.9102662,0.08756487,0.09166904,0.1321571,-1.041313,0.4892569,67.0942,123.3797,18.10513,-0.1833628,0.04424731,0.06142958,0.7191464,0.0166648,0.3306135,0.2031438,-0.9459472,0.3457935,73.3706,160.9578,145.388,
303.935,-0.3079454,-0.0389324,-0.1405771,-0.09724047,0.1590246,0.1512114,0.09616685,-0.1524605,0.5991856,17.00632,48.36433,15.56067,-0.3533051,-0.06955148,-0.05020051,0.80541,0.02407511,0.1258992,0.1264987,-1.042282,0.4881437,67.09784,123.8093,18.97903,-0.2062376,0.05547801,0.03678117,0.6698334,-0.02578572,0.3231452,0.1997631,-0.9448354,0.3449928,73.75125,160.369,145.1596,
317.998,-0.3239962,-0.03171057,-0.1549917,-0.1148965,0.1325237,0.1137717,0.09128493,-0.1527542,0.5966876,17.00735,48.33371,15.69629,-0.3843382,-0.0707671,-0.06732238,0.7143911,-0.02830863,0.1408224,0.1204409,-1.043308,0.4868709,67.11961,124.2404,19.79913,-0.2189525,0.06758679,0.003979854,0.5666525,-0.01272609,0.4084404,0.1963116,-0.9436263,0.3439725,73.8952,159.3808,144.6376,
331.558,-0.340861,-0.02466546,-0.1691352,-0.1395984,0.1050658,0.08174599,0.08613414,-0.1528961,0.5939987,17.00382,48.33098,15.8554,-0.4181545,-0.07208186,-0.08515673,0.6206411,-0.09317438,0.1496776,0.1139545,-1.044311,0.4853945,67.18355,124.8031,20.66861,-0.2252314,0.08109549,-0.02286352,0.5428666,0.05978023,0.5158209,0.1926289,-0.9420387,0.3426656,74.06894,157.6267,143.4317,
345.73,-0.358647,-0.01720221,-0.181752,-0.171653,0.09081305,0.05524373,0.08072066,-0.1529055,0.5911814,16.97821,48.33055,16.04795,-0.4428524,-0.07136083,-0.09973863,0.4719928,-0.1147036,0.1450949,0.1073399,-1.045224,0.4837503,67.20322,125.2315,21.22331,-0.2303479,0.09732391,-0.04564279,0.5726816,0.1530804,0.6143738,0.188842,-0.9402813,0.3409493,74.29767,155.3167,141.7183,
359.592,-0.3768226,-0.009629062,-0.1933994,-0.1963194,0.09913773,0.01928014,0.0750823,-0.1528726,0.5882034,16.88294,48.30484,16.23521,-0.4646691,-0.07001871,-0.1121821,0.2821387,-0.1154931,0.1115063,0.1004616,-1.046107,0.4819331,67.22791,125.4793,21.39537,-0.2341146,0.1132832,-0.0685301,0.5988522,0.261678,0.7240659,0.1848673,-0.9384387,0.3387842,74.48458,152.4667,139.528,
373.407,-0.3948499,-0.001851764,-0.2048323,-0.2126522,0.1000251,-0.01527127,0.06919706,-0.1527269,0.5850903,16.78996,48.31777,16.42175,-0.483476,-0.06988811,-0.1230244,0.108177,-0.1102715,0.07123522,0.09342846,-1.047029,0.4799881,67.26566,125.6305,21.36004,-0.2395682,0.1293236,-0.09249024,0.6183599,0.3629057,0.874482,0.1805431,-0.9364828,0.3362395,74.59355,149.0938,136.9662,
387.159,-0.4125748,0.006256848,-0.2172964,-0.2238919,0.08398339,-0.03851106,0.06304234,-0.1524409,0.5817412,16.71115,48.36673,16.61557,-0.4968608,-0.06823284,-0.132748,-0.05511175,-0.07331607,0.02414007,0.08625875,-1.0478,0.4778606,67.27711,125.5403,20.98934,-0.2471109,0.146445,-0.1201292,0.6076585,0.4603056,0.9776211,0.1762365,-0.9343128,0.3331516,74.61718,145.529,134.2031,
401.064,-0.4302304,0.01335293,-0.2305492,-0.238725,0.05742621,-0.05933911,0.05662894,-0.1521082,0.5782367,16.62705,48.45256,16.82999,-0.5057674,-0.06280497,-0.1431931,-0.1846357,-0.005756881,0.0006931853,0.07894091,-1.04843,0.4755508,67.20709,125.2715,20.40659,-0.2514676,0.1667841,-0.1568073,0.4916427,0.5619606,1.01983,0.1716778,-0.9316052,0.329559,74.37255,142.2327,131.5858,
414.844,-0.4477472,0.01977923,-0.2432656,-0.2704391,0.03365792,-0.07308318,0.04992086,-0.151662,0.5745962,16.53974,48.57035,17.10728,-0.5156963,-0.05625765,-0.1544683,-0.2429018,0.02765462,0.0009021536,0.07142054,-1.049022,0.4731347,67.13044,125.1096,19.98112,-0.2680791,0.1939788,-0.1847748,0.5309584,0.5946201,1.07515,0.166577,-0.928209,0.3255884,74.3512,138.6655,128.8225,
428.664,-0.4656868,0.02595931,-0.2547776,-0.305241,0.02724779,-0.09467705,0.04304034,-0.1511637,0.5708232,16.40211,48.67273,17.39741,-0.5268794,-0.04934465,-0.1659604,-0.2600847,0.03377441,0.007268276,0.06374954,-1.049536,0.4705481,67.0726,125.0486,19.69536,-0.2914144,0.2255207,-0.2137341,0.5706424,0.5745054,1.190505,0.1612083,-0.9244323,0.3211612,74.3577,135.0946,126.2679,
442.707,-0.4837397,0.03241431,-0.2649406,-0.3293433,0.03064627,-0.1214479,0.0359174,-0.1505693,0.5669526,16.24085,48.77528,17.68292,-0.5383083,-0.04267273,-0.1774592,-0.2693702,0.0207275,0.01164168,0.05597211,-1.049922,0.4678173,67.04266,125.0577,19.47697,-0.3144434,0.2602199,-0.2424606,0.6131533,0.586753,1.241506,0.1556133,-0.920076,0.3163561,74.36053,131.3701,123.5015,
