time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.39,-0.04637659,0.05890163,-0.02233146,-0.1968971,-0.1318329,-0.1544361,0.1107419,0.01544929,0.3293939,350.5204,357.837,6.012339,-0.4434483,0.5448103,0.1674819,2.018239,2.396967,0.543381,0.1238943,-0.4618413,0.5917064,356.3058,22.54257,25.42277,-0.6241093,0.4758503,0.09748282,1.976883,0.3226825,-0.5879846,0.2345267,-0.4641926,0.5066837,345.9156,357.9839,353.3705,
12.047,-0.06330747,0.06422134,-0.02835656,-0.1653032,-0.1287732,-0.2110358,0.1094491,0.01651049,0.3288921,350.6199,357.8298,6.262618,-0.4871085,0.540167,0.1663591,2.168151,2.707263,1.052262,0.1172841,-0.455879,0.593747,355.3061,20.82937,22.48814,-0.6807332,0.5021726,0.08768088,2.055186,0.3430426,-0.4440715,0.224246,-0.4580806,0.5077193,344.2497,357.3692,353.5974,
25.355,-0.08133899,0.06880242,-0.03338458,-0.1223562,-0.1194467,-0.2385998,0.107899,0.01761091,0.3283391,350.6756,357.8342,6.473881,-0.5470279,0.5377486,0.1632281,2.228073,3.179916,1.477762,0.1100163,-0.4497765,0.5953374,354.2376,18.5238,19.35362,-0.7363278,0.5265853,0.06835192,2.198556,0.468697,-0.3013219,0.213304,-0.4517043,0.5088456,342.3926,356.5172,353.699,
39.086,-0.09908902,0.07219674,-0.03733312,-0.06905282,-0.1061725,-0.2026102,0.1061246,0.01864302,0.3277723,350.6597,357.8761,6.556678,-0.6025721,0.5459453,0.1513796,2.216115,3.50911,1.49773,0.1023631,-0.443516,0.5969319,352.8294,16.19385,16.73206,-0.8165606,0.5547341,0.04389068,2.406752,0.7010323,-0.1403504,0.2003965,-0.4451424,0.5094088,340.2871,355.3793,353.6067,
53.082,-0.1155819,0.07343309,-0.0392586,-0.006342572,-0.1098323,-0.1419977,0.1041712,0.01964164,0.3272263,350.5887,357.9767,6.596779,-0.6408686,0.5537162,0.1340315,2.087621,3.436387,1.220645,0.09401906,-0.4374179,0.5983017,351.3876,14.37223,14.94574,-0.9263346,0.5862203,0.01166394,2.724941,0.932801,-0.1943918,0.1855964,-0.4381668,0.5101433,337.8546,353.7414,353.9768,
67.061,-0.1302279,0.07184096,-0.0408078,0.04960877,-0.1467416,-0.09767295,0.1020702,0.0204466,0.3266624,350.5027,358.1621,6.664384,-0.6722577,0.5584772,0.1140546,1.929854,3.108904,0.8527772,0.08476283,-0.4313061,0.5993466,350.007,13.05545,13.76298,-1.033044,0.6151184,-0.01872844,2.985737,0.9235936,-0.3513749,0.1700286,-0.4305035,0.5106795,335.3501,352.1108,354.9152,
80.678,-0.1434273,0.06531461,-0.04346348,0.07437524,-0.2053957,-0.06709284,0.09982014,0.02093244,0.3260508,350.4632,358.4092,6.730078,-0.7133656,0.5646245,0.09814376,1.79886,2.72516,0.5451595,0.074685,-0.424646,0.6009485,348.678,12.04268,12.84087,-1.111485,0.6463695,-0.05327326,3.157477,0.6808423,-0.2791692,0.1539163,-0.4227031,0.5100198,332.7337,351.1247,355.7675,
94.78,-0.156416,0.05169105,-0.04679049,0.06879676,-0.2643674,-0.03073789,0.09735286,0.02106333,0.3253778,350.4684,358.6986,6.746966,-0.7562415,0.5747262,0.08757076,1.768634,2.541269,0.3844203,0.06420585,-0.4178351,0.6021244,347.2645,10.9297,11.75984,-1.15907,0.6709752,-0.08687192,3.135872,0.6752428,-0.05780565,0.1376139,-0.4143567,0.5091753,330.321,350.2442,356.0778,
109.591,-0.1698748,0.033661,-0.05070791,0.02183079,-0.3184702,0.01439844,0.09465754,0.02107292,0.3245515,350.585,359.0271,6.715439,-0.7967957,0.5868405,0.08753735,1.683353,2.436369,0.3390968,0.05363202,-0.4101905,0.6043819,346.0343,9.780157,10.64566,-1.1914,0.6904652,-0.1293538,3.042279,1.076502,0.3073299,0.1215779,-0.4065954,0.5071092,327.9272,349.2299,355.4197,
122.457,-0.1836824,0.01509358,-0.05448319,-0.02939195,-0.3665497,0.06460083,0.0917818,0.02091563,0.3236965,350.7136,359.395,6.644868,-0.8434347,0.6038447,0.08898175,1.589646,2.561481,0.3524204,0.04196206,-0.402824,0.6051238,344.8446,8.24254,9.399147,-1.215423,0.6881652,-0.1589051,2.76976,1.715887,0.5985306,0.1047651,-0.3988059,0.5063226,325.9152,348.0584,353.9235,
