time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.49,0.0381832,-0.04597249,0.08735183,-0.1181106,0.2998976,0.06268335,0.1042979,0.1343844,-0.8706554,1.183712,2.583822,356.7587,-0.255832,-0.2047403,-0.2093527,-1.02042,0.03594314,0.5633523,-0.04984756,-0.5803205,-0.8194963,53.97562,332.4663,344.9554,-0.2154142,-0.2073256,-0.1196621,-2.274407,0.129483,-1.12576,0.06174709,-0.5962926,-0.8212284,52.36359,287.897,300.1978,
13.017,0.04361463,-0.04762208,0.08400609,-0.1099902,0.2769058,0.08341015,0.1050663,0.1337436,-0.8696432,1.24331,2.417273,356.6462,-0.2520925,-0.1994598,-0.1905867,-0.8379017,0.2458958,0.6564507,-0.05271502,-0.5829425,-0.8212625,54.16206,331.339,344.678,-0.2041627,-0.2819159,-0.1150642,-1.632708,0.7915905,-0.8663129,0.05792718,-0.5996889,-0.82127,53.77095,286.4747,298.7063,
26.59,0.05029107,-0.04271561,0.07460287,-0.1158658,0.2235965,0.1140016,0.1059553,0.1335067,-0.8690804,1.391955,2.324661,356.5249,-0.2415252,-0.1980862,-0.1708173,-0.7145453,0.3518116,0.7104927,-0.05512013,-0.5857448,-0.8227958,54.31381,330.2421,344.3844,-0.2087918,-0.2949951,-0.08594647,-1.162431,0.8490187,-0.6486406,0.05454581,-0.6022254,-0.8207346,54.47842,285.7621,297.9029,
40.023,0.05621854,-0.03446602,0.05945271,-0.1065548,0.1560972,0.1314244,0.1068673,0.1331505,-0.8687567,1.456725,2.305172,356.4111,-0.2205146,-0.2011615,-0.1486786,-0.6959603,0.1898031,0.6610606,-0.05672362,-0.5887955,-0.8237104,54.3785,329.042,343.4154,-0.227728,-0.2551569,-0.03532165,-1.049105,0.462229,-0.5439702,0.05183146,-0.6041067,-0.8194039,54.12891,285.197,296.8774,
54.148,0.06152989,-0.02605112,0.04204866,-0.0946675,0.09525109,0.1338544,0.1078537,0.1328827,-0.8687632,1.520907,2.302991,356.3173,-0.1877235,-0.2049358,-0.1178098,-0.6992034,-0.1316124,0.481508,-0.05777046,-0.5916181,-0.8240693,54.35287,328.0593,342.0188,-0.231301,-0.1957304,0.03519653,-1.03471,0.1165647,-0.5611176,0.04917029,-0.6058636,-0.8162801,53.53574,284.7388,295.6866,
68.098,0.06523746,-0.01839072,0.02456917,-0.07390343,0.03050369,0.1042905,0.1088108,0.132853,-0.8687773,1.54608,2.371486,356.2955,-0.1515311,-0.2018778,-0.07655053,-0.6468015,-0.4852467,0.2735317,-0.05848286,-0.5940447,-0.8241614,54.12865,327.4293,340.5563,-0.2076866,-0.1397482,0.1293477,-0.9992821,-0.1087341,-0.7555965,0.04789596,-0.6065568,-0.811743,53.05312,284.7511,294.5376,
81.81,0.0665243,-0.006515409,0.004118131,-0.04535284,-0.003252547,0.03937254,0.1095727,0.1331841,-0.8692923,1.531132,2.401348,356.3726,-0.1166387,-0.1963745,-0.03100989,-0.715622,-0.6745635,0.06564801,-0.05909554,-0.5965151,-0.8228979,54.14515,326.7648,338.9891,-0.1565732,-0.08956979,0.2345418,-0.8913943,-0.2665768,-1.018937,0.04802807,-0.6065002,-0.8062274,52.69536,285.3534,293.6835,
95.77,0.06204269,0.009036733,-0.01503316,-0.003448859,0.01218839,-0.050296,0.1102339,0.1338075,-0.8700191,1.450395,2.340412,356.5586,-0.08954088,-0.17973,0.009383187,-0.7224221,-0.6049978,-0.03957223,-0.05953677,-0.5980293,-0.821564,54.33357,326.1852,337.896,-0.07878999,-0.05333683,0.3357885,-0.6735432,-0.2512804,-1.275039,0.04855501,-0.6072142,-0.7999246,52.76512,286.4016,293.2098,
110.412,0.05225707,0.0304411,-0.0368566,0.05812486,0.07220551,-0.113703,0.1107083,0.1348081,-0.8711863,1.30878,2.162848,356.7032,-0.06304678,-0.1534232,0.05432902,-0.6793805,-0.3700734,-0.1022645,-0.05983278,-0.5995938,-0.8187774,54.72551,325.7984,337.3392,0.01786767,-0.00966512,0.441118,-0.4025492,-0.1940049,-1.538006,0.05131876,-0.6045747,-0.7912101,53.14089,287.9997,293.2087,
123.321,0.04039947,0.05111018,-0.05792725,0.165425,0.1379031,-0.1332617,0.1110563,0.1359383,-0.8724862,0.9950634,1.947778,356.7854,-0.03547397,-0.1155917,0.1036035,-0.6540602,-0.1388787,-0.145952,-0.05957775,-0.5992167,-0.8160971,55.23597,325.4626,336.9621,0.1276191,0.07440579,0.5591161,-0.3881162,-0.5781272,-1.995829,0.05661411,-0.600491,-0.7820992,52.71284,290.5146,293.2574,
