time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.377,0.005517931,-0.01073326,-0.03040478,0.03722169,-0.2223621,0.03841877,-0.4356291,0.06579331,-0.2678501,357.0856,9.970348,356.1644,0.08824084,-0.02074533,0.01821623,0.2033111,-0.5682749,0.158938,-0.4748059,-0.3524319,-0.1079786,341.1687,28.22858,6.686527,0.08282894,0.007358922,0.01468575,0.02262383,-0.4274408,-0.7698317,-0.3804816,-0.3543915,-0.09108156,346.2527,0.1813053,350.6854,
12.897,0.0111344,-0.01202688,-0.03139763,0.02074848,-0.2477115,0.05515216,-0.4352884,0.0655835,-0.2683393,357.0988,10.20958,356.1095,0.1108996,-0.01757405,0.02202721,0.3339973,-0.6142699,0.1669689,-0.473068,-0.3527015,-0.1069019,341.0137,28.98046,6.425318,0.1136889,7.926324E-05,0.02539364,-0.08346273,-0.6446269,-0.9584844,-0.378663,-0.3543487,-0.0903691,346.3824,0.4751495,351.9174,
26.676,0.01742099,-0.01396476,-0.0321364,0.00503505,-0.2793851,0.07355948,-0.434896,0.06536242,-0.2687863,357.1199,10.48532,356.0427,0.1308457,-0.009576739,0.03002188,0.4619865,-0.6166591,0.1453709,-0.4714568,-0.3525361,-0.1057942,340.7664,29.71699,6.078892,0.1459927,0.008023337,0.03079472,-0.05904928,-0.8972813,-1.211334,-0.3757379,-0.3537247,-0.08985347,346.3032,0.8164917,353.5086,
40.71,0.02400818,-0.01546613,-0.03199453,0.01356915,-0.3107236,0.08951062,-0.4344059,0.06514028,-0.2692111,357.0935,10.78219,355.9591,0.1485965,-0.004651332,0.03920496,0.5700386,-0.6156638,0.1343734,-0.4691291,-0.3526309,-0.1042534,340.5028,30.48427,5.662977,0.1966321,0.03743034,0.02116501,0.2191629,-1.292822,-1.468454,-0.3724535,-0.3530736,-0.08962236,345.5824,1.420124,355.4149,
54.172,0.03085103,-0.01617901,-0.03112556,0.04080541,-0.3440088,0.09780794,-0.4338021,0.06492671,-0.2695561,357.0212,11.10802,355.8613,0.1796687,-0.000471158,0.05780873,0.6873724,-0.6701803,0.1719214,-0.4666941,-0.3526418,-0.1024868,340.2888,31.46798,5.136454,0.2395992,0.07175676,0.007165168,0.5268235,-1.592526,-1.764866,-0.3682481,-0.3518133,-0.09018527,344.6008,1.923392,357.646,
68.002,0.03759513,-0.01791199,-0.03021713,0.07252136,-0.3819993,0.1078121,-0.433111,0.06462732,-0.2699075,356.9417,11.47314,355.7407,0.2027131,0.003982811,0.07338122,0.773157,-0.7189167,0.1738361,-0.4639351,-0.3525485,-0.1003662,340.0283,32.47194,4.612692,0.2812646,0.1034717,-0.01097508,0.7895412,-1.751243,-1.927436,-0.3634482,-0.3503771,-0.090567,343.4782,2.350945,359.8416,
82.117,0.04468042,-0.02079898,-0.02994831,0.07399365,-0.4181779,0.1308358,-0.4323035,0.06428823,-0.2703286,356.9341,11.86171,355.6057,0.2380695,0.01062982,0.1001014,0.8572395,-0.81366,0.1844748,-0.4602335,-0.3520598,-0.0972398,339.7507,33.63567,4.056978,0.3318093,0.1389567,-0.0370258,1.086487,-1.769035,-1.954584,-0.3576526,-0.348713,-0.09112642,342.0878,2.651285,1.826579,
95.653,0.05243842,-0.02398791,-0.0302035,0.04457509,-0.4543588,0.1502323,-0.4313742,0.06388304,-0.2707682,356.9771,12.28759,355.503,0.2712961,0.01291657,0.1281323,0.8954932,-0.8979317,0.2137583,-0.4564516,-0.3520407,-0.09404166,339.5483,34.84689,3.533765,0.3829379,0.1573891,-0.05303931,1.108829,-1.577918,-1.850518,-0.3510413,-0.3468343,-0.09122175,341.1065,2.707179,3.425155,
110.494,0.06037325,-0.02734081,-0.03069142,0.01268964,-0.4895318,0.1577596,-0.4303561,0.06339094,-0.2712028,357.0083,12.73859,355.4128,0.3075017,0.009669636,0.1614486,0.9076675,-0.9100204,0.3184965,-0.4514815,-0.3514517,-0.08977357,339.5733,36.03674,2.926645,0.4240221,0.153951,-0.05272999,0.8896649,-1.147369,-1.735425,-0.3435462,-0.3454501,-0.0920814,340.667,2.199184,4.721325,
123.852,0.06770672,-0.03137671,-0.03131697,-0.009136357,-0.5221782,0.1610363,-0.4292239,0.06285277,-0.2716666,357.0532,13.20379,355.3238,0.3469177,0.003683039,0.1992655,0.8806702,-0.8628325,0.4944462,-0.446941,-0.3511657,-0.08591548,339.8969,37.15549,2.285127,0.4738448,0.1347462,-0.03534789,0.5616652,-1.041141,-1.756324,-0.3349197,-0.3437325,-0.09175371,340.658,1.835686,6.373062,
137.495,0.073619,-0.03633328,-0.03209281,-0.02457462,-0.5566936,0.1642116,-0.428079,0.06222466,-0.2721418,357.1073,13.71177,355.2285,0.3815319,0.01179569,0.2283682,0.9089512,-0.7811214,0.5102522,-0.4412209,-0.3502855,-0.08159299,340.028,38.14906,1.571294,0.5615646,0.1562766,-0.06383798,0.67721,-1.291943,-1.682501,-0.3252119,-0.3411704,-0.09361298,339.9897,2.265324,8.065377,
