time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.477,-0.03781569,0.0003604013,0.01382527,0.001810243,-0.03699646,0.0003883577,-0.3085341,0.0204736,0.4578273,347.6549,20.96563,354.4299,0.2776588,0.3999692,-0.195911,0.376986,-0.9952558,-0.8683335,-0.1586978,-0.4554465,0.6570655,335.3315,65.24854,4.993149,0.1379989,0.3503752,-0.1742759,0.4772367,-0.3600419,-0.6175464,-0.06572137,-0.4131523,0.5625842,342.3714,35.57687,18.02814,
12.777,-0.02255383,-0.003106608,0.02013498,-0.007049932,-0.006749363,0.004834049,-0.3084978,0.02033293,0.4582068,347.665,20.95004,354.428,0.2806533,0.3819953,-0.1959356,0.430064,-1.031697,-0.7939063,-0.154923,-0.4511208,0.6552513,334.9062,66.35632,4.486125,0.1413384,0.3346457,-0.1628434,0.4301435,-0.3535933,-0.5890876,-0.06394561,-0.4094204,0.560867,341.9054,35.9274,18.0121,
26.487,-0.007280299,-0.007141036,0.02637585,-0.00655827,0.0197903,0.0104428,-0.3082454,0.0200938,0.4587067,347.6916,20.89137,354.4045,0.2831342,0.3661129,-0.1943003,0.5151109,-1.014698,-0.7974625,-0.1510519,-0.4466501,0.653913,334.5302,67.53986,3.760787,0.1411025,0.3195889,-0.1532677,0.3082051,-0.3939066,-0.6338782,-0.06195659,-0.4059477,0.559136,341.3574,36.17556,18.24702,
40.435,0.007222192,-0.01137529,0.03177273,-0.005189442,0.04432479,0.02893947,-0.30776,0.01983148,0.4592777,347.7441,20.84859,354.3484,0.2796392,0.3565271,-0.1726311,0.4269643,-0.7898482,-0.9131037,-0.1472704,-0.4424055,0.652665,333.9421,68.16116,2.925951,0.1477284,0.3073254,-0.1484196,0.2398362,-0.45661,-0.6387252,-0.05977561,-0.402248,0.5576721,340.8507,36.51611,18.50047,
53.954,0.02335769,-0.01600181,0.03716608,0.003159428,0.06984239,0.05616496,-0.3070521,0.01951987,0.4598957,347.7997,20.80164,354.2546,0.277721,0.3496539,-0.1522319,0.3148475,-0.5924715,-1.000105,-0.1432829,-0.4382185,0.6513034,333.3182,68.5891,2.1262,0.1563878,0.2955448,-0.1421407,0.2363416,-0.338468,-0.5532123,-0.05753733,-0.3988162,0.555642,340.4892,36.69219,18.46605,
67.964,0.03981332,-0.02076647,0.04238054,0.01956333,0.08982234,0.08363513,-0.3060886,0.01912916,0.4605958,347.8499,20.75743,354.132,0.2798905,0.3418595,-0.1473548,0.2947699,-0.6005481,-1.02734,-0.1392969,-0.4341704,0.6499749,332.7177,69.32838,1.33304,0.1720473,0.2926481,-0.1502536,0.3591883,-0.2556356,-0.5235978,-0.05460921,-0.3951935,0.5535185,340.0342,37.02932,18.17249,
81.99,0.05662692,-0.02614641,0.04737151,0.03053085,0.1044063,0.1080856,-0.304898,0.01861882,0.4613703,347.9138,20.71617,354.003,0.2844332,0.3333304,-0.1510454,0.3209983,-0.7412206,-1.025298,-0.1351092,-0.4301993,0.648764,332.0903,70.39335,0.5425171,0.1916437,0.2862411,-0.1586599,0.5166964,-0.07397772,-0.3706371,-0.05145566,-0.3915113,0.5516909,339.8038,37.35483,17.50295,
95.755,0.07372963,-0.03250761,0.05201944,0.03208086,0.1165574,0.1284596,-0.3034738,0.01799172,0.4621999,347.9955,20.66735,353.8742,0.2887218,0.3256927,-0.1556484,0.3305893,-0.8980243,-1.016329,-0.1313595,-0.4267586,0.6475638,331.4065,71.58704,359.7726,0.210525,0.2799655,-0.1690563,0.6078418,0.04554225,-0.2291736,-0.04851047,-0.3880682,0.5487164,339.6863,37.6549,16.81939,
110.644,0.0907237,-0.0395173,0.05677577,0.02815366,0.1234359,0.1457261,-0.3017992,0.01725942,0.4631078,348.0888,20.62386,353.7443,0.2958904,0.3167984,-0.1530769,0.3135834,-0.9832135,-0.978291,-0.1263329,-0.4227114,0.6466121,330.7598,72.70386,359.0696,0.2301242,0.2765194,-0.1844933,0.6711859,0.03316496,-0.1656323,-0.04497276,-0.3845257,0.5462083,339.5327,38.10023,16.22723,
123.534,0.1080237,-0.04679352,0.06103269,0.02433547,0.1347571,0.157473,-0.2998859,0.01641941,0.463987,348.1859,20.56018,353.6115,0.3106607,0.3057533,-0.1439698,0.3348106,-0.9359343,-0.9105507,-0.1217125,-0.419166,0.6456887,330.3311,73.66441,358.355,0.2513589,0.2792049,-0.2009226,0.7328668,-0.07833152,-0.1629404,-0.04124238,-0.3808562,0.5434783,339.3131,38.75341,15.70573,
