time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.394,0.113743,-0.009748649,0.09700905,0.05326245,-0.161588,0.01525353,-0.400457,0.06055978,-0.5257492,357.5508,10.17227,359.0831,0.1541607,-0.0529043,0.1189441,-0.08100619,-0.1147494,0.0367398,-0.4833232,-0.5664338,-0.3458675,4.681673,7.44336,350.1202,0.08096574,-0.1770607,0.002237572,-0.1979562,0.4071828,-0.06930652,-0.3069788,-0.5859093,-0.3227404,17.18886,353.7253,344.5518,
14.383,0.1170399,-0.01171058,0.09936722,0.04894255,-0.1649493,0.02604299,-0.3987684,0.06037083,-0.5242926,357.5268,10.31517,359.0482,0.1549311,-0.0494372,0.1267405,-0.05199028,-0.105918,0.02222268,-0.4812524,-0.5670524,-0.3439322,4.666595,7.512043,350.1133,0.09448477,-0.1825843,-0.00173488,-0.1364695,0.448741,-0.1193713,-0.3050595,-0.5883068,-0.3227209,17.34976,353.4711,344.8311,
26.52,0.1198564,-0.01367215,0.1019999,0.05432818,-0.1709146,0.03259591,-0.3970536,0.06017658,-0.5227829,357.4847,10.46432,359.0036,0.1557474,-0.04732372,0.1347777,-0.05163468,-0.1094899,-0.00621081,-0.4791659,-0.5676599,-0.3417718,4.675668,7.615436,350.1572,0.1138546,-0.1880755,-0.005624484,-0.07691815,0.457468,-0.185928,-0.302762,-0.5909603,-0.3230691,17.45709,353.3012,345.1837,
39.944,0.1228258,-0.01682282,0.1052904,0.07619626,-0.1724313,0.03081809,-0.3952788,0.05987409,-0.521202,357.391,10.60155,358.9583,0.1558183,-0.04613813,0.14433,-0.07238203,-0.09974157,-0.02181677,-0.4770823,-0.568196,-0.3394902,4.733922,7.702442,350.2132,0.1322667,-0.2019915,-0.009804994,-0.0833903,0.5551569,-0.2594893,-0.3001842,-0.5938725,-0.3228964,17.73138,353.0151,345.6407,
53.96,0.1255879,-0.02134629,0.1092415,0.1029453,-0.1755637,0.02387098,-0.3934727,0.05941305,-0.5195671,357.2731,10.74664,358.9137,0.1552005,-0.04111547,0.152793,-0.04760756,-0.08406052,-0.03612616,-0.4750929,-0.5686405,-0.3374634,4.7142,7.751242,350.2591,0.1591757,-0.2146233,-0.009353071,-0.1125939,0.6055283,-0.4092827,-0.2970476,-0.5965211,-0.3229071,18.07924,352.9085,346.3098,
67.571,0.12867,-0.02730801,0.113442,0.1262089,-0.1768736,0.01327768,-0.3916115,0.05884942,-0.5179034,357.1476,10.88696,358.8778,0.1566675,-0.03649129,0.1613121,-0.03898197,-0.08431753,-0.05589849,-0.4726743,-0.5690314,-0.3344496,4.704644,7.827459,350.3273,0.1973267,-0.2249517,-0.008376047,-0.154161,0.5674263,-0.560042,-0.2931922,-0.5993679,-0.3234095,18.44683,353.0294,347.0502,
81.702,0.1320004,-0.03696414,0.1169216,0.1523959,-0.1733804,-0.00232557,-0.3896602,0.05793753,-0.5161707,356.9864,11.01673,358.8507,0.1600327,-0.03313205,0.1676588,-0.03240307,-0.1069952,-0.06691607,-0.4704607,-0.5694544,-0.3318925,4.684908,7.955978,350.3871,0.2360414,-0.2410531,-0.008730195,-0.2544793,0.5510175,-0.6035575,-0.2892639,-0.6031151,-0.3228436,18.96982,353.0943,347.6417,
95.57,0.1347708,-0.05048642,0.1199465,0.1575269,-0.1720567,0.002344893,-0.3876687,0.05680445,-0.5143971,356.8831,11.154,358.7912,0.1659761,-0.02905669,0.1755161,-0.006125535,-0.1742958,-0.06075523,-0.4684761,-0.569886,-0.3297942,4.611107,8.189263,350.3927,0.266101,-0.2392416,-0.007391199,-0.3056458,0.6367821,-0.5445817,-0.2844519,-0.6050512,-0.3230262,19.48285,352.8475,348.1029,
109.63,0.1375126,-0.06711124,0.1223903,0.1552587,-0.1719458,0.01457743,-0.3856548,0.05542448,-0.5125972,356.784,11.29638,358.7219,0.1689165,-0.02461422,0.1844581,0.03601385,-0.2126016,-0.02620113,-0.4659644,-0.5701734,-0.3262302,4.505497,8.388275,350.3136,0.2977877,-0.2302087,-0.01603246,-0.2448442,0.7368994,-0.6068808,-0.2792708,-0.6073782,-0.3241177,19.84874,352.6593,348.8773,
123.159,0.1403608,-0.08423243,0.1251779,0.1524667,-0.1738953,0.0375913,-0.3836348,0.05389073,-0.5107965,356.6995,11.44574,358.6187,0.1690237,-0.0201743,0.1949758,0.09507738,-0.2314571,-0.009606366,-0.464126,-0.5706221,-0.3239863,4.312579,8.559999,350.2269,0.3198629,-0.2194788,-0.02629766,-0.1256946,0.979632,-0.6561809,-0.2740557,-0.6102111,-0.3236877,20.13805,352.1288,349.8506,
