time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.479,0.0344308,-0.008803864,0.04227023,-0.05425914,-0.09656338,0.04487158,-0.7337857,0.06522408,-0.9492577,355.1392,18.17229,357.7869,0.05935168,-0.2368338,0.02537964,-0.2572726,-0.003451813,0.4615612,-0.7261348,-0.3879956,-0.7860112,333.4737,30.81398,4.765729,0.02159966,-0.2639377,0.06145509,-0.7426205,0.1134397,0.01712287,-0.6315694,-0.4055712,-0.8105633,340.3965,8.858995,352.3764,
13.248,0.0345418,-0.006320168,0.04236805,-0.04609221,-0.1147818,0.02794276,-0.7333075,0.06523827,-0.9485635,355.1618,18.28594,357.806,0.06423398,-0.2794487,0.03521837,-0.2867361,-0.01931688,0.5454893,-0.7253729,-0.3926669,-0.7853119,334.0819,30.93412,4.795481,0.02977285,-0.3213768,0.07830387,-1.045432,0.1134597,0.08311209,-0.6311495,-0.4102881,-0.8096326,341.6901,8.855576,352.6038,
26.84,0.03411577,-0.003453031,0.04201587,-0.05546737,-0.1345218,0.03291187,-0.7328646,0.06531087,-0.9478991,355.2321,18.42407,357.8217,0.07067279,-0.3329856,0.04774555,-0.3206174,-0.05263011,0.6663423,-0.7245895,-0.3983012,-0.7843528,334.8362,31.13703,4.820847,0.03764283,-0.3512905,0.07609937,-1.042425,0.05894249,0.1452736,-0.6304849,-0.4152086,-0.809088,342.5294,8.98788,352.6823,
40.353,0.03364601,-0.001410476,0.04127922,-0.06891301,-0.1519158,0.03905728,-0.7324271,0.06533679,-0.9473631,355.3146,18.57023,357.8428,0.07756577,-0.3961116,0.06437813,-0.3720563,-0.09186986,0.8176741,-0.723658,-0.4046285,-0.782845,335.7597,31.4012,4.849281,0.04770955,-0.3851574,0.06433986,-0.938125,-0.009421929,0.2048723,-0.6298591,-0.4211498,-0.8087866,343.1326,9.229035,352.67,
54.466,0.03290275,-0.0004071862,0.04036486,-0.08883907,-0.1686557,0.0432066,-0.7319883,0.06532195,-0.9468237,355.4068,18.72446,357.8864,0.07150235,-0.4824697,0.1011846,-0.7258921,-0.3539612,0.9771651,-0.7235295,-0.4129763,-0.7803982,337.0817,31.58672,5.746185,0.05161314,-0.4427311,0.05369017,-0.8607453,0.3475059,0.3984038,-0.6288257,-0.4286786,-0.808821,343.938,8.935586,352.0622,
68.366,0.03201153,-0.0002692014,0.03913957,-0.1123846,-0.1798972,0.03575686,-0.7315623,0.06532755,-0.9463351,355.5016,18.87354,357.9648,0.06900289,-0.5765237,0.143931,-0.9496469,-0.2638901,1.244739,-0.7226856,-0.421579,-0.7776346,338.7989,31.54044,6.174539,0.05823087,-0.5132589,0.04626217,-0.9969239,0.2262873,0.2870882,-0.6276928,-0.436633,-0.808378,344.8775,8.964194,352.3368,
81.941,0.03092758,0.0006503683,0.0379626,-0.1282413,-0.1899066,0.02254552,-0.731163,0.06542626,-0.9458631,355.585,19.03042,358.0505,0.06039608,-0.6845387,0.191723,-1.208423,-0.1588371,1.503704,-0.7226844,-0.4325599,-0.7747336,340.8132,31.29742,6.670255,0.07230165,-0.6095431,0.04534894,-1.328906,0.1308592,0.1385834,-0.6262441,-0.4464688,-0.807353,346.3094,8.915433,352.9064,
96.19,0.02966005,0.002210192,0.03731366,-0.116169,-0.2044226,0.006980195,-0.7307842,0.06552282,-0.9453551,355.608,19.21004,358.1129,0.04760739,-0.7980957,0.2342671,-1.456878,-0.08693285,1.72683,-0.7221405,-0.444242,-0.7707464,343.0368,30.9711,7.219435,0.09337521,-0.7067735,0.03559556,-1.636533,-0.06742701,-0.1544042,-0.6244754,-0.4573851,-0.8083266,347.7712,8.932014,354.0352,
111.129,0.02887123,0.003576142,0.03665837,-0.09769639,-0.2251359,-0.02059942,-0.7303915,0.06557027,-0.9448595,355.5951,19.40872,358.2038,0.02517186,-0.9183314,0.2765082,-1.858021,-0.04883138,1.973714,-0.7224258,-0.4574066,-0.7665493,345.7209,30.40532,8.060502,0.1146503,-0.7942441,0.008691757,-1.838233,-0.3102517,-0.4954132,-0.6227662,-0.4690068,-0.8091416,349.1199,9.060479,355.5491,
123.802,0.02794397,0.003423169,0.03637094,-0.07827849,-0.2546835,-0.04363822,-0.7300179,0.06554845,-0.9443429,355.57,19.64284,358.292,0.002742609,-1.025737,0.3052232,-2.251851,-0.164126,2.142514,-0.723001,-0.4719037,-0.762169,348.588,29.91621,9.195403,0.1269562,-0.872229,-0.02399369,-2.119222,-0.5057038,-0.8474578,-0.621145,-0.4810807,-0.8098897,350.7167,9.18026,357.4431,
137.306,0.02701485,0.002787112,0.03559348,-0.0816244,-0.2818993,-0.0512636,-0.7296989,0.06560323,-0.94375,355.5944,19.89213,358.3942,-0.02728708,-1.158007,0.330882,-2.719609,-0.3498656,2.33766,-0.7245268,-0.4886924,-0.7576053,351.9432,29.44414,10.62541,0.126356,-0.9422616,-0.06203079,-2.351916,-0.5870121,-1.198419,-0.6198638,-0.4936955,-0.8131404,352.3643,9.166431,359.6061,
151.435,0.02620293,0.001818833,0.03516347,-0.09678689,-0.3106541,-0.06016149,-0.7293845,0.06566432,-0.9431454,355.6232,20.16249,358.5285,-0.06693761,-1.287756,0.346028,-3.094686,-0.4243127,2.545514,-0.7258592,-0.5062411,-0.7523662,355.5913,28.82771,11.90772,0.1144559,-1.004988,-0.1197672,-2.423587,-0.4721379,-1.447007,-0.6183372,-0.5084504,-0.8160986,353.8703,8.825851,1.658715,
