time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.419,-0.4699548,-0.0468398,0.09842947,-0.2216927,1.457788,-0.1730427,-0.8314656,0.06481692,-0.7712201,359.2787,353.3592,1.000031,-1.112196,-0.501663,-0.2222097,-1.443854,2.187717,0.05523475,-0.949351,-0.4548515,-0.5180765,356.5776,340.1997,10.87973,-1.059141,-0.4950981,-0.1197489,0.01738127,2.293973,-0.4905587,-0.8779502,-0.4912832,-0.5334779,11.03015,329.4432,347.1307,
12.182,-0.4779416,-0.0510571,0.08919068,-0.2200797,1.517097,-0.1616749,-0.8382778,0.06403783,-0.7702181,359.4546,352.079,1.033411,-1.11335,-0.5223035,-0.2652684,-1.461704,2.079851,-0.03092643,-0.963398,-0.4617478,-0.5221612,357.283,338.5744,10.18925,-1.081332,-0.5135889,-0.1700462,-0.2412918,2.428384,-0.2851103,-0.8918855,-0.4976893,-0.5359057,11.92998,327.4095,346.7241,
25.23,-0.4850963,-0.05575733,0.0796946,-0.2153237,1.568076,-0.1391134,-0.8451483,0.06313881,-0.7693503,359.6171,350.757,1.042868,-1.11497,-0.5432937,-0.3097985,-1.295848,1.908399,-0.3143591,-0.9778044,-0.4693008,-0.5269338,358.0307,337.1293,10.13644,-1.094957,-0.5381422,-0.2219941,-0.6345409,2.542571,-0.1662586,-0.9058961,-0.5048388,-0.538763,13.11138,325.2707,345.8426,
39.289,-0.4917415,-0.06040802,0.07007784,-0.2247148,1.60985,-0.1196386,-0.852085,0.06215194,-0.768604,359.7997,349.4207,1.048792,-1.123017,-0.567924,-0.3491808,-1.149209,1.819774,-0.619624,-0.9924544,-0.4771289,-0.5322059,358.9179,335.6238,10.34851,-1.105866,-0.5615093,-0.2747176,-0.9860986,2.59992,0.01903911,-0.9198114,-0.5127264,-0.5425248,14.12317,322.9948,344.5566,
52.991,-0.4971389,-0.06563953,0.06042051,-0.2240459,1.650693,-0.1057193,-0.8590355,0.06104121,-0.768001,359.9514,348.049,1.041756,-1.141895,-0.6016691,-0.4000385,-1.067154,1.85158,-0.8718875,-1.007459,-0.4855758,-0.5379394,359.9237,333.9099,10.60506,-1.113725,-0.5967055,-0.329292,-1.160279,2.659835,0.06302454,-0.934332,-0.52136,-0.5466353,15.2036,320.7257,343.4178,
67.084,-0.5008302,-0.07125372,0.05029945,-0.2233823,1.676612,-0.08863226,-0.8660275,0.05990461,-0.7675568,0.1198969,346.6969,1.012907,-1.163383,-0.6408909,-0.4574826,-1.212558,2.020092,-0.8940192,-1.022292,-0.4948507,-0.5452656,0.9398087,331.8473,10.22956,-1.120146,-0.6448547,-0.3827465,-1.116795,2.747502,-0.07478978,-0.9489469,-0.5303422,-0.5516141,16.53115,318.5536,342.7318,
81.007,-0.5026471,-0.07748906,0.03992628,-0.2383825,1.689061,-0.08187405,-0.872996,0.05869678,-0.7672507,0.3345948,345.334,0.9799709,-1.178262,-0.6729571,-0.5227945,-1.6107,2.278087,-0.6720538,-1.036717,-0.50385,-0.5529714,1.869023,329.3914,8.82992,-1.119136,-0.6835068,-0.4308496,-0.9116823,2.824042,-0.2875732,-0.9634739,-0.5390263,-0.5573308,18.06958,316.5672,342.5414,
94.914,-0.5038043,-0.08329643,0.03002179,-0.2636705,1.698924,-0.09476215,-0.879977,0.05743393,-0.7670265,0.5792593,343.9568,0.9661748,-1.177281,-0.6914586,-0.5860384,-1.947315,2.414305,-0.4969211,-1.050957,-0.5125962,-0.5609896,2.765385,326.9907,7.107975,-1.114996,-0.7000394,-0.4923171,-0.6559267,2.829718,-0.3739263,-0.9775058,-0.547112,-0.5649009,19.4598,314.7257,342.6311,
109.308,-0.5058469,-0.08751839,0.02117987,-0.2832077,1.715631,-0.1139348,-0.8869629,0.05622062,-0.7667996,0.8317512,342.5637,0.9428955,-1.161963,-0.7101987,-0.6490832,-1.786834,2.342906,-0.646978,-1.065044,-0.5220081,-0.5714145,3.745163,325.0465,6.429178,-1.114459,-0.6877337,-0.5684972,-0.5738559,2.81744,-0.2627414,-0.9924302,-0.555452,-0.5728171,20.51239,312.6744,342.3841,
122.697,-0.5085731,-0.09022774,0.01324454,-0.2905213,1.733765,-0.1135026,-0.8939666,0.05499098,-0.7666565,1.058717,341.1631,0.8901544,-1.149883,-0.7383924,-0.7204095,-1.133013,2.135275,-1.145588,-1.080686,-0.5317721,-0.5816555,5.120375,323.6772,7.302841,-1.10444,-0.6775987,-0.6385825,-0.5689048,2.829873,-0.1376143,-1.00577,-0.5636826,-0.5819912,21.49797,310.4978,342.0107,
