time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.386,0.04082353,-0.02380137,-0.02423813,-0.01154894,-0.2628739,0.057492,-0.3825932,0.06994697,-0.4095283,356.1044,6.965172,356.2733,0.1357496,-0.07719361,0.04152127,-0.1660752,-0.3550887,0.2404317,-0.4640913,-0.3177952,-0.2626969,334.4515,18.63458,358.1258,0.06684761,-0.1130696,0.03836092,-0.4210463,-0.4909312,-0.5487893,-0.3594889,-0.3352621,-0.2166755,343.11,353.441,355.8271,
13.111,0.04308368,-0.02452261,-0.02246398,-0.00364126,-0.2780485,0.06321449,-0.3819503,0.06954727,-0.4097235,356.1007,7.213383,356.2334,0.1473818,-0.08302674,0.04535789,-0.1794873,-0.3741359,0.2723352,-0.4620511,-0.3188172,-0.2620443,334.6863,18.9996,358.1682,0.0880511,-0.1088556,0.03826691,-0.3559713,-0.6216412,-0.4760211,-0.3582212,-0.336276,-0.2167614,343.3522,353.9041,356.2748,
26.473,0.04537771,-0.0249009,-0.02130903,-0.01733986,-0.2872294,0.07178633,-0.381263,0.06921062,-0.4099742,356.1463,7.460946,356.1862,0.1601402,-0.0863893,0.0467746,-0.1606393,-0.4323744,0.2999781,-0.4599192,-0.3199578,-0.2612182,334.8597,19.47578,358.2054,0.1051198,-0.09756576,0.0252822,-0.1526012,-0.5773444,-0.3245681,-0.3565314,-0.3377777,-0.2168933,343.1843,354.2047,356.485,
40.581,0.04798505,-0.02515585,-0.02021128,-0.02721675,-0.2935173,0.08053552,-0.3805423,0.06886485,-0.4102317,356.1766,7.711549,356.1367,0.1757138,-0.08966526,0.04941837,-0.1130578,-0.4884047,0.3700255,-0.4575547,-0.3210766,-0.2602325,335.0335,20.09849,358.1232,0.1028745,-0.09876461,0.01797629,0.005437329,-0.2955857,-0.3847611,-0.3549584,-0.3394883,-0.2163849,343.0474,353.8185,356.8506,
54.457,0.05100795,-0.02548305,-0.01923681,-0.02644322,-0.2928491,0.07820635,-0.3797448,0.06849852,-0.4104713,356.1853,7.945347,356.1017,0.1924203,-0.09367041,0.05393117,-0.01331889,-0.5228052,0.4444315,-0.4552164,-0.3226938,-0.2593257,335.1277,20.83258,357.8836,0.0921923,-0.111636,0.01906503,0.08527132,-0.03077272,-0.7267601,-0.3528807,-0.34134,-0.2159829,343.142,352.8681,357.8057,
68.018,0.05387915,-0.02503569,-0.01792047,-0.01965314,-0.296758,0.08596614,-0.3788754,0.06817803,-0.4106156,356.1913,8.198943,356.0329,0.2119805,-0.1019052,0.06893507,0.06304942,-0.5095045,0.5491862,-0.4522179,-0.3239154,-0.2573902,335.2972,21.60575,357.4942,0.1038614,-0.1208739,0.02355321,0.2306089,-0.1187702,-1.043172,-0.3504579,-0.3431109,-0.2154115,343.1147,352.2574,359.2135,
82.051,0.05694075,-0.02475528,-0.01703638,-0.01327476,-0.3020341,0.1060939,-0.3779693,0.06781551,-0.4107638,356.2093,8.464687,355.9293,0.2262619,-0.110495,0.08806436,0.09066344,-0.4796179,0.5966194,-0.4494603,-0.3257112,-0.2557267,335.4985,22.28579,357.1611,0.1268117,-0.1287176,0.03832845,0.2571186,-0.2983887,-1.276231,-0.3478478,-0.3445333,-0.213803,343.2706,351.8948,0.7381301,
95.988,0.06022439,-0.02496867,-0.01644066,-0.02335397,-0.3156998,0.1304672,-0.377019,0.06744489,-0.4109689,356.272,8.755489,355.827,0.23878,-0.114898,0.1054693,0.107928,-0.4522442,0.621677,-0.4463556,-0.3271539,-0.2536919,335.7167,22.93618,356.8306,0.1791569,-0.1180224,0.04544901,0.404403,-0.7668493,-1.325059,-0.3441377,-0.3460039,-0.2139844,343.1081,352.3136,2.352089,
110.039,0.06441413,-0.02626692,-0.01590057,-0.03839565,-0.3307377,0.1488786,-0.3760033,0.06702676,-0.4111704,356.3406,9.062473,355.7244,0.2541396,-0.1180044,0.1232689,0.1306445,-0.4693332,0.6397091,-0.4426438,-0.3283048,-0.2508795,335.9067,23.64921,356.5157,0.2258667,-0.09862028,0.0405423,0.6798396,-1.145523,-1.343099,-0.340283,-0.3473334,-0.2138073,342.5519,352.8838,4.10415,
123.515,0.06952024,-0.02871198,-0.01554471,-0.04832515,-0.3457076,0.1570637,-0.37489,0.06652787,-0.4113761,356.4026,9.371864,355.6342,0.2720846,-0.121592,0.1365854,0.1767514,-0.5744894,0.6827816,-0.4395987,-0.3302348,-0.2488028,336.0565,24.60376,356.1938,0.2735927,-0.07357261,0.02529173,1.089798,-1.439276,-1.418385,-0.3356178,-0.3488,-0.2137746,341.5544,353.4333,6.20016,
137.464,0.07520819,-0.03240067,-0.01521575,-0.0496376,-0.36137,0.1527835,-0.3737619,0.06596109,-0.4115033,356.445,9.696383,355.559,0.2895912,-0.1265932,0.1454039,0.2873739,-0.682593,0.7436152,-0.4359747,-0.332157,-0.2460448,336.1248,25.76498,355.7141,0.3137218,-0.07400578,0.02630199,1.205921,-1.606968,-1.591853,-0.3307498,-0.3509368,-0.2118121,340.992,353.7901,8.459981,
151.052,0.08130884,-0.0361701,-0.01506049,-0.05140181,-0.3792256,0.1409323,-0.372523,0.06535462,-0.4116279,356.4887,10.03838,355.5048,0.308023,-0.1312743,0.1575995,0.410922,-0.6667385,0.8529064,-0.4318719,-0.3335451,-0.2428305,336.3076,26.92818,354.9505,0.351015,-0.07319166,0.03003779,1.163739,-1.622893,-1.762391,-0.324798,-0.3515955,-0.2121298,340.7554,353.8968,10.71648,
164.823,0.08773884,-0.03984907,-0.01470344,-0.05065015,-0.3990421,0.1396788,-0.3711548,0.06472799,-0.4117998,356.5353,10.40311,355.4191,0.3262335,-0.131687,0.1707264,0.5476357,-0.6412097,0.8865424,-0.4278734,-0.3354755,-0.239897,336.3683,28.0572,354.1197,0.3956468,-0.06347932,0.0186996,1.326403,-1.665532,-1.823039,-0.3179976,-0.352605,-0.212539,340.0996,354.122,13.00446,
