time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.391,0.3434558,0.1919561,-0.1005583,0.80786,-1.40125,0.1619578,-0.02608755,0.07152376,-0.8102803,17.98808,336.7419,359.8316,-0.02015784,0.1903829,0.6242454,1.643811,-2.186359,-1.502445,-0.1302428,-0.6232098,-0.9323315,70.04224,291.9175,331.9484,0.2376139,0.2185089,0.9614114,2.133024,-1.134825,-1.341464,-0.005209424,-0.6827998,-0.7935462,70.44078,261.1411,278.5351,
12.812,0.3562422,0.1974985,-0.1113374,0.8211729,-1.464729,0.1583762,-0.02088335,0.07438791,-0.8120779,17.27654,337.982,359.8644,0.009412467,0.2142816,0.6662038,1.597108,-1.733599,-1.165292,-0.1296527,-0.6198305,-0.9232092,69.56566,294.9168,333.7425,0.2773445,0.2794154,1.037419,2.308395,-0.9523213,-0.8696942,-0.0005222503,-0.6768711,-0.7787879,70.94057,267.4631,284.5349,
26.448,0.3665667,0.2007822,-0.1217716,0.8338592,-1.506048,0.1619262,-0.01552066,0.077191,-0.8140473,16.54587,339.211,359.902,0.03402537,0.2459966,0.7127702,1.603229,-1.207316,-0.6122987,-0.1289851,-0.6157702,-0.9134645,69.22806,298.533,336.9481,0.3246205,0.3599238,1.13246,2.565792,-0.8406289,-0.7017183,0.005010128,-0.6692612,-0.7627767,71.25285,275.0462,291.5004,
40.341,0.3761839,0.2009696,-0.1343326,0.843543,-1.52187,0.1594878,-0.0100446,0.07990789,-0.8162614,15.83778,340.4123,359.9349,0.05300218,0.2811174,0.7602399,1.714327,-0.8845654,-0.2159956,-0.1280585,-0.6113418,-0.90325,68.68738,302.6849,340.7117,0.3747295,0.467732,1.242602,2.939133,-0.9260355,-0.8089461,0.01124779,-0.659956,-0.7456353,71.00217,284.393,299.7524,
53.864,0.3835524,0.1986301,-0.1491056,0.8291488,-1.516158,0.1315034,-0.004595011,0.08255777,-0.8187464,15.20575,341.5983,359.9675,0.07432944,0.3258872,0.8178761,1.923116,-0.7997097,-0.0600569,-0.1265662,-0.6058598,-0.8922972,67.81863,307.1654,344.4254,0.4268903,0.5984108,1.358513,3.447318,-1.162211,-0.9572194,0.01800911,-0.6488194,-0.7275359,69.96136,295.2105,309.2425,
68.028,0.388703,0.1945264,-0.1655698,0.7966995,-1.497206,0.1013381,0.0008402765,0.08513653,-0.8214777,14.61474,342.7618,359.9897,0.0961802,0.3740309,0.87287,2.177794,-1.075737,-0.1758614,-0.1245921,-0.600067,-0.880871,66.42879,311.3743,347.0592,0.489555,0.7400022,1.464125,3.975326,-1.412588,-1.173946,0.02606163,-0.6353686,-0.7089745,68.13968,306.1485,318.6074,
81.925,0.391749,0.1906036,-0.1823552,0.766575,-1.474116,0.07760813,0.006263345,0.08771479,-0.8243629,14.03119,343.9111,0.009452186,0.1183093,0.4173688,0.9177589,2.345789,-1.539989,-0.451357,-0.1225294,-0.5945294,-0.8688096,64.74176,314.947,348.4023,0.5586217,0.875515,1.521632,4.202581,-1.391319,-1.260227,0.03437625,-0.6213895,-0.6906851,66.17558,315.0764,326.225,
95.851,0.3930563,0.1872808,-0.1984094,0.7465785,-1.457566,0.07191322,0.01169452,0.09025323,-0.8274367,13.42713,345.0285,359.9836,0.1380804,0.4580979,0.9511795,2.388488,-2.043433,-0.6808609,-0.1200146,-0.5875205,-0.8572211,62.82422,317.9019,348.8502,0.6316051,0.9956581,1.542435,4.081499,-1.046229,-1.278482,0.04359009,-0.6056144,-0.6710643,64.63587,321.9729,332.2227,
110.254,0.3934554,0.1851785,-0.2134471,0.7298498,-1.443313,0.06096385,0.01712814,0.09281492,-0.8306924,12.85444,346.1534,359.9829,0.1601721,0.5012874,0.9777426,2.412315,-2.410007,-0.7410157,-0.1175031,-0.5812267,-0.8449304,60.74585,320.7163,349.2658,0.7253683,1.124259,1.563315,3.819183,-1.110831,-1.747659,0.05515137,-0.5862531,-0.650709,62.91623,328.0472,336.389,
123.409,0.392666,0.1846019,-0.2273926,0.7178623,-1.432497,0.04921266,0.02252629,0.09539837,-0.8341476,12.28371,347.2714,359.9749,0.1807718,0.533685,0.9887229,2.404455,-2.516477,-0.6819516,-0.1145984,-0.5736674,-0.8337041,58.76751,323.3858,349.8932,0.8374265,1.258308,1.571291,3.137723,-2.086149,-2.693192,0.06903192,-0.5675428,-0.6322161,60.83283,332.483,336.7944,
