time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.506,-0.08339624,-0.04544879,0.05744483,-0.2637615,0.5083625,0.07543644,0.06621769,0.1326817,-0.8286287,2.835642,1.436808,358.1101,-0.158376,-0.1176638,-0.1576552,-0.3472922,0.08419967,0.2459227,-0.02823288,-0.4678652,-0.7022128,28.4958,351.7775,5.730009,-0.2415413,-0.07542099,-0.1247882,0.1483298,0.3117145,0.9126041,0.1202538,-0.54307,-0.6852236,52.95736,332.8088,344.7176,
12.862,-0.07986105,-0.04653594,0.062875,-0.2777904,0.4421747,0.127696,0.06527624,0.1320801,-0.8276623,3.113925,1.194204,357.9554,-0.1561464,-0.1222288,-0.153143,-0.3332969,-0.04095213,0.3481398,-0.03004224,-0.4697359,-0.7042388,28.59529,351.4454,5.115421,-0.2440262,-0.0710314,-0.1204625,0.2921259,0.6357671,1.074328,0.1173879,-0.5441009,-0.6862536,52.55224,332.167,345.627,
26.261,-0.07226673,-0.04597211,0.06733547,-0.3025043,0.3530169,0.1379173,0.06455413,0.1314826,-0.8266643,3.394505,1.033756,357.9062,-0.1535075,-0.1336029,-0.1489992,-0.3434645,-0.3183495,0.5736185,-0.03177919,-0.4721003,-0.7062025,28.61141,351.0616,3.914343,-0.2142057,-0.07243861,-0.08591982,0.5859619,0.918961,0.8777124,0.1152516,-0.545502,-0.6863952,52.18855,332.8774,347.6246,
40.398,-0.06257034,-0.04600352,0.07104545,-0.3162194,0.278531,0.07714879,0.06393936,0.1307986,-0.8256524,3.66361,0.9086388,357.9799,-0.1576683,-0.149878,-0.1443847,-0.4486924,-0.5364287,0.859019,-0.03345206,-0.474524,-0.7076042,28.69084,350.376,2.288829,-0.1645894,-0.08843388,-0.04537994,0.708298,0.8588567,0.3942434,0.1139394,-0.5471118,-0.6867949,52.05651,334.3174,349.3384,
54.001,-0.05399413,-0.04638679,0.07348034,-0.325655,0.2306144,0.02627645,0.06340876,0.1300986,-0.824628,3.931276,0.7990769,358.0249,-0.1673147,-0.1697723,-0.137316,-0.6454134,-0.5550219,1.062902,-0.03524728,-0.476905,-0.7093363,28.98545,349.377,0.6449032,-0.116837,-0.1155484,-0.02549857,0.4301911,0.6608548,-0.05599858,0.1130084,-0.5495334,-0.6865679,52.53977,335.2591,349.9777,
67.977,-0.0442292,-0.04557735,0.0747124,-0.3270399,0.1888798,0.008996965,0.06307068,0.1295305,-0.8236593,4.186219,0.7128518,358.0391,-0.1737709,-0.185056,-0.1294493,-0.7733316,-0.3722208,1.029586,-0.03697036,-0.4794706,-0.7104396,29.41983,348.4113,359.5623,-0.06737664,-0.1424568,-0.01452898,-0.04136731,0.7063465,-0.4122935,0.1128859,-0.5509643,-0.6855446,53.77408,335.9131,350.4955,
81.835,-0.03340782,-0.04313513,0.07278323,-0.3160641,0.1544559,-0.005615018,0.06289282,0.129014,-0.8227912,4.415583,0.6440392,358.0711,-0.1653855,-0.1953985,-0.1196894,-0.8306927,-0.1523098,0.7050939,-0.03870783,-0.4817122,-0.7112862,30.08273,347.9391,359.2643,-0.006147525,-0.1326158,0.02737008,-0.1626258,0.7702656,-0.6503512,0.1138588,-0.5510979,-0.6831276,54.72285,337.0835,351.6312,
95.693,-0.02280631,-0.04035824,0.06825146,-0.278882,0.1189012,0.005127022,0.06281212,0.1285381,-0.8220309,4.568672,0.6004595,358.0409,-0.1482728,-0.1955295,-0.107687,-0.7843556,0.07978494,0.2989511,-0.04032304,-0.4836351,-0.7126414,30.77064,347.8487,359.5894,0.07149114,-0.07951038,0.1185538,0.08820019,0.4955945,-0.9183696,0.1158487,-0.5505183,-0.678258,54.854,339.0773,352.886,
110.223,-0.01233115,-0.03563634,0.06090191,-0.2303482,0.09184165,0.0235543,0.06289908,0.1281532,-0.8214293,4.68231,0.5576935,358.0002,-0.1342241,-0.187068,-0.09132149,-0.7220772,0.3070024,0.01069034,-0.04177251,-0.4856625,-0.7124894,31.4361,347.7647,0.1161025,0.1642431,0.002550961,0.2448054,0.4805128,-0.2141021,-1.303717,0.1198198,-0.5479672,-0.6725021,54.18292,341.7007,353.5072,
123.424,-0.001650423,-0.02846479,0.05172397,-0.1844483,0.07393301,0.03909387,0.06319085,0.1279067,-0.8210068,4.769632,0.5106704,357.9539,-0.125134,-0.1729207,-0.07076343,-0.7262164,0.4846547,-0.1159007,-0.0430943,-0.486826,-0.7125393,32.14444,347.4784,0.5136436,0.2592626,0.07957462,0.3509627,0.4967417,-1.155221,-1.654546,0.1253126,-0.5451716,-0.6666028,53.54363,343.8022,352.5442,
137.243,0.009728159,-0.01938844,0.04061732,-0.1422499,0.04950054,0.05582959,0.06363794,0.1278715,-0.8207816,4.830573,0.5027648,357.8866,-0.111811,-0.1438885,-0.04442228,-0.6320347,0.4972281,-0.09639847,-0.04384954,-0.4875368,-0.712606,32.54357,347.1697,0.6593198,0.3455192,0.1318391,0.419039,0.07987677,-1.772449,-1.820086,0.1313679,-0.5429409,-0.6591539,53.6154,345.0426,350.7178,
150.856,0.02176739,-0.01031194,0.02796643,-0.08240341,0.005896936,0.06825948,0.06424555,0.1279365,-0.8207501,4.79965,0.554998,357.8108,-0.08138058,-0.1008671,-0.00575594,-0.4627006,0.1905756,-0.007582601,-0.04379664,-0.4877747,-0.7110311,32.58054,347.1534,0.3100089,0.415291,0.1692983,0.4599911,-0.3191447,-2.002881,-1.802295,0.1385491,-0.5394414,-0.6517718,53.95469,345.8474,348.9025,
164.9,0.03568412,-0.0001274358,0.01224816,-0.01373392,-0.0424003,0.05272452,0.06511661,0.1282284,-0.8210536,4.706432,0.6546969,357.8016,-0.03682778,-0.04495755,0.04472522,-0.1786841,-0.3075114,0.07751728,-0.04338657,-0.4869733,-0.7095084,32.13927,347.5942,359.6684,0.5264868,0.237108,0.5174348,-0.4962537,-1.790482,-1.583192,0.1484178,-0.5340268,-0.6429859,54.33116,346.376,347.782,
178.79,0.05056262,0.01148371,-0.00647153,0.07087862,-0.1013916,0.02233201,0.06624624,0.1286592,-0.8217303,4.514943,0.8218111,357.8148,0.003044307,0.01576129,0.09647237,0.1381884,-0.729226,0.1733271,-0.04284807,-0.4858451,-0.707217,31.33639,348.1923,358.9568,0.6013944,0.2875561,0.5576049,-0.2953892,-1.426178,-1.546639,0.1578709,-0.5279893,-0.6342345,54.2847,348.0252,348.2009,
192.472,0.06552054,0.02554508,-0.02680109,0.1478278,-0.190514,0.01703645,0.06755713,0.1294039,-0.822701,4.291542,1.10003,357.7592,0.02902109,0.06837834,0.1452505,0.3329428,-0.9273445,0.231664,-0.04232914,-0.4841709,-0.7042264,30.57572,348.698,358.3486,0.7310714,0.4110133,0.6474307,0.5088065,-0.882508,-1.563496,0.1700841,-0.5188746,-0.624078,53.02147,350.8581,350.6235,
206.566,0.08123462,0.04099891,-0.04745628,0.2249266,-0.3046422,0.02395638,0.06905892,0.130367,-0.8238434,3.989089,1.496367,357.6815,0.03905021,0.1125116,0.1889946,0.4129582,-0.8170013,0.2320309,-0.04181045,-0.4818977,-0.7008988,30.01651,348.9388,358.09,0.8443642,0.5864564,0.7483605,1.706479,-0.6728776,-1.584482,0.1833723,-0.5072097,-0.6135128,50.09491,353.7032,353.0084,
220.48,0.09778985,0.05676296,-0.06750175,0.3199057,-0.4297937,0.01647848,0.07082453,0.1315156,-0.8252206,3.563969,1.990578,357.6366,0.0501908,0.1498567,0.2318387,0.4197499,-0.5609934,0.06122902,-0.04100665,-0.4791085,-0.6966073,29.76327,349.265,358.3806,0.9656723,0.8203679,0.8396909,3.270953,-0.4720871,-1.877757,0.1976507,-0.4928672,-0.6035538,45.29848,357.1959,356.0879,
234.227,0.1139834,0.07322542,-0.08554762,0.4318729,-0.5549803,-0.01058208,0.07276824,0.1329169,-0.8267965,3.033469,2.573182,357.6177,0.07242848,0.1914562,0.2779112,0.4849264,-0.3493201,-0.1944516,-0.03975783,-0.4755693,-0.6918067,29.50672,349.8798,359.0964,1.040901,1.032597,0.8829042,4.316156,0.06416584,-1.867215,0.2124199,-0.4775812,-0.5935938,40.35122,359.3144,358.8599,
248.383,0.1291956,0.08850465,-0.1015494,0.5609733,-0.6609826,-0.05932948,0.07486323,0.1343968,-0.8286107,2.368819,3.217161,357.6515,0.1074293,0.2430059,0.3281136,0.656727,-0.3606783,-0.3956136,-0.03791188,-0.4714405,-0.6863449,28.93387,350.8406,359.7988,1.1141,1.194461,0.8830637,4.518891,1.040042,-2.264929,0.227976,-0.4607911,-0.5832291,36.33779,1.69693,2.847313,
262.12,0.1428183,0.1032005,-0.1165496,0.6702752,-0.746291,-0.1074327,0.07712778,0.1361271,-0.8306619,1.669817,3.885214,357.6847,0.1474944,0.2976514,0.3784046,0.8631616,-0.576201,-0.4585733,-0.0356048,-0.4667817,-0.6803551,28.03375,351.9716,0.1456654,1.193929,1.328105,0.8629599,4.213741,1.504179,-2.786741,0.2448006,-0.4418414,-0.5730578,32.99499,4.217371,6.517729,
