time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.455,-0.03519525,-0.003004582,0.0297862,-0.08863131,0.07238238,-0.06761464,-0.01188001,0.1521384,-0.8024269,354.8689,4.889616,357.1678,-0.005453532,-0.009940085,0.03766528,-0.1011745,0.09577326,0.1355361,-0.0546595,-0.07660057,-0.592537,335.4437,346.2945,21.36407,-0.06844448,-0.0837227,0.1228976,-0.6548684,-0.2280607,-0.379712,0.04414568,-0.08537409,-0.5835356,332.21,0.8927488,353.6164,
10.96,-0.04084132,-0.002561064,0.03237793,-0.07511685,0.12057,-0.07170525,-0.01259241,0.152124,-0.8019127,354.9047,4.720337,357.2245,-0.02248391,-0.01820994,0.03882269,-0.1529893,0.1667957,0.1170123,-0.05538858,-0.07706101,-0.5919301,335.4965,346.1781,21.12097,-0.1099639,-0.1017019,0.1291817,-0.6284884,-0.1724212,-0.6311561,0.04218345,-0.08666001,-0.5819739,332.7089,0.159492,354.5329,
24.185,-0.04603917,-0.002801724,0.03453578,-0.06319047,0.1683815,-0.0786282,-0.0133675,0.1520114,-0.8013878,354.9378,4.507504,357.2854,-0.07186275,-0.02530531,0.04641021,0.03288426,-0.1299811,-0.29753,-0.05679869,-0.07798291,-0.5914845,335.7535,345.8298,22.32033,-0.1246699,-0.1079069,0.1315436,-0.5716459,0.478942,-0.5095968,0.04139969,-0.087575,-0.5807212,333.2064,359.1515,354.0153,
37.955,-0.05183466,-0.004343964,0.03636176,-0.06661328,0.2123998,-0.08342341,-0.01425359,0.1517702,-0.8008693,355.0074,4.273452,357.3486,-0.1007732,-0.03779681,0.05238096,-0.1379647,0.04247314,-0.3470482,-0.05826005,-0.07874654,-0.5902382,336.0629,345.3223,22.257,-0.1152709,-0.1184015,0.1398198,-0.5487802,0.154379,-0.3362083,0.03942121,-0.0890949,-0.5780601,333.5228,359.489,354.3256,
51.659,-0.0572425,-0.006932966,0.03738734,-0.08982803,0.2536575,-0.08804142,-0.01520672,0.1515316,-0.8003463,355.1287,4.008616,357.4227,-0.1177473,-0.05796976,0.06171883,-0.3732681,0.3228583,-0.2753507,-0.06004925,-0.07930034,-0.5888919,336.3769,344.7281,21.71686,-0.1244288,-0.140857,0.1666697,-0.6608137,0.2119238,-0.2484524,0.03765895,-0.09131318,-0.5752352,334.2555,359.3582,354.2909,
65.763,-0.06299006,-0.008658481,0.03784198,-0.1236275,0.2967633,-0.09282611,-0.01623854,0.1513997,-0.7998316,355.2776,3.69985,357.4985,-0.1308351,-0.07396706,0.07323726,-0.5733234,0.5935319,-0.189062,-0.06238399,-0.08019274,-0.5875351,336.6694,344.0438,21.00124,-0.1260814,-0.1642241,0.1980761,-0.7863193,0.4026052,0.02173278,0.03626127,-0.09292932,-0.5721601,335.1205,359.418,353.5192,
79.678,-0.06959583,-0.009808261,0.03874443,-0.1391355,0.3452063,-0.1021947,-0.01739976,0.1512562,-0.7992557,355.4012,3.34727,357.5829,-0.1429522,-0.09302869,0.08541624,-0.6531432,0.7682818,-0.1253201,-0.06379287,-0.0824651,-0.5858123,336.8504,343.3939,20.34491,-0.12848,-0.189156,0.234525,-0.8739848,0.8073974,0.4102031,0.03408945,-0.09592865,-0.5682107,336.0715,359.4167,351.9792,
93.365,-0.07692672,-0.01085791,0.03978572,-0.1410228,0.4048958,-0.1161004,-0.01862088,0.1510945,-0.7986242,355.5093,2.917207,357.6741,-0.1497392,-0.1133683,0.1015566,-0.7073644,0.8860173,-0.009369549,-0.06548373,-0.0846226,-0.5831884,336.9712,342.9103,19.50251,-0.1408799,-0.2074372,0.2592241,-0.7722396,1.170247,0.6862911,0.03195415,-0.09909748,-0.5635536,336.7072,359.2261,350.364,
107.783,-0.08447213,-0.01262202,0.040711,-0.1394811,0.4723384,-0.1342348,-0.0199441,0.1509367,-0.7979325,355.6334,2.433968,357.7858,-0.164872,-0.1499512,0.1232092,-0.797083,1.12483,0.07480748,-0.06804869,-0.08799946,-0.5810857,337.0369,342.182,18.44186,-0.1645553,-0.235375,0.2870354,-0.687451,1.382102,0.7921341,0.02922609,-0.1024801,-0.5588982,337.2957,358.8959,348.9492,
121.427,-0.09241784,-0.01585435,0.04130929,-0.1401351,0.5478537,-0.1508458,-0.02137205,0.1506779,-0.7972678,355.7665,1.869622,357.8988,-0.201026,-0.1994198,0.1551899,-1.012039,1.285541,-0.06895027,-0.07114948,-0.09143686,-0.5772447,337.5833,341.1083,17.57502,-0.194465,-0.2747971,0.3177614,-0.6372151,1.483662,0.7887944,0.02610435,-0.1074187,-0.5543122,337.877,358.4758,347.7489,
135.288,-0.1009436,-0.02001526,0.04157163,-0.1514091,0.6312676,-0.1640549,-0.0230166,0.1503013,-0.7966834,355.931,1.236385,358.002,-0.2479421,-0.2612992,0.1910723,-1.321334,1.528848,-0.2701602,-0.07436211,-0.09651892,-0.5739782,338.4503,339.6606,16.52702,-0.2279256,-0.3329184,0.3604333,-0.7250544,1.416211,0.7053616,0.02216787,-0.1129301,-0.5472828,338.71,358.1714,346.8957,
148.89,-0.1093837,-0.0246249,0.04166105,-0.1688785,0.7312444,-0.177354,-0.02472249,0.1498145,-0.7960937,356.1044,0.492476,358.1167,-0.2999909,-0.3156468,0.2221919,-1.466138,1.737855,-0.4406312,-0.07886098,-0.1012899,-0.5695571,339.2397,338.0842,15.54949,-0.2687,-0.3876904,0.3957314,-0.8687875,1.352452,0.6022152,0.01751765,-0.1184714,-0.5417904,339.8185,357.8505,346.1869,
163.047,-0.1178796,-0.02922065,0.04227369,-0.1881476,0.8379161,-0.1898812,-0.02654895,0.1492288,-0.795477,356.3127,359.6613,358.2393,-0.349366,-0.3644366,0.24711,-1.520131,1.949639,-0.4985547,-0.08346178,-0.1074761,-0.5650572,339.8412,336.4927,14.41577,-0.3177751,-0.4416989,0.4150245,-0.824508,1.507408,0.541778,0.01243502,-0.1252052,-0.5363784,340.6295,357.1292,345.2699,
176.738,-0.1255838,-0.03385659,0.04273621,-0.2169,0.9559085,-0.2043718,-0.02846614,0.1485832,-0.79488,356.5697,358.7242,358.3546,-0.3975808,-0.4176769,0.2644097,-1.48765,2.215505,-0.4721117,-0.08912298,-0.1146806,-0.5604222,340.1325,334.7979,13.14152,-0.3777803,-0.5219299,0.4520052,-1.101442,1.771294,0.4455628,0.00666368,-0.1337046,-0.5282199,342.2579,356.1602,344.3221,
190.525,-0.1322163,-0.03860696,0.04302675,-0.2458652,1.070597,-0.2110114,-0.03045204,0.1478609,-0.7942924,356.8503,357.6961,358.4534,-0.456056,-0.484916,0.2813595,-1.570513,2.39581,-0.5865414,-0.09528547,-0.1230752,-0.5554942,340.7753,332.9549,11.85686,-0.4342092,-0.6172757,0.497607,-1.623271,2.124039,0.5290536,-0.0002532811,-0.1419877,-0.5210189,344.7295,355.2621,342.8926,
204.679,-0.1386018,-0.04474963,0.04317278,-0.2798728,1.193995,-0.2102962,-0.03248748,0.1470417,-0.7936944,357.1672,356.5658,358.5246,-0.5056217,-0.5870587,0.3048374,-2.095214,2.424574,-0.7560664,-0.1021238,-0.132862,-0.5505366,342.4127,331.4443,9.816123,-0.4966785,-0.72317,0.5318847,-2.198904,2.513665,0.7035391,-0.007716614,-0.1523368,-0.5134236,347.7963,354.3379,341.1153,
218.58,-0.1441336,-0.05199065,0.04367234,-0.3159976,1.299703,-0.2038333,-0.03459302,0.1461408,-0.7930747,357.5299,355.3994,358.5758,-0.5591512,-0.7040653,0.3216191,-2.648375,2.054961,-1.183071,-0.1105298,-0.1425616,-0.5460257,345.2094,330.4609,7.991687,-0.576686,-0.8217796,0.5372256,-2.628794,3.052674,0.9767116,-0.01677738,-0.1629294,-0.5064358,351.1596,352.9773,338.8246,
232.149,-0.1484576,-0.05981009,0.04496086,-0.3496145,1.389495,-0.1810045,-0.03669503,0.1451545,-0.7923599,357.9028,354.1946,358.564,-0.6262845,-0.8167884,0.3115687,-2.890203,1.374454,-1.985496,-0.1205553,-0.1530077,-0.5427013,349.0191,329.8032,7.247879,-0.7082838,-0.8857974,0.5028628,-2.649548,3.838456,1.13745,-0.02807143,-0.1736935,-0.5007878,354.308,350.4007,336.4277,
246.253,-0.1529005,-0.06703156,0.04765633,-0.3865497,1.458294,-0.1369073,-0.03890547,0.1441311,-0.7915341,358.2936,352.9655,358.4743,-0.7184026,-0.92707,0.2612819,-2.669059,0.5618247,-3.25293,-0.1330907,-0.163588,-0.5406992,353.9207,329.4052,8.143698,-0.865262,-0.9167339,0.4242584,-2.278632,4.62847,1.207092,-0.0406535,-0.1846634,-0.4963317,356.8932,346.7098,334.2029,
260.245,-0.1585699,-0.07201485,0.05173684,-0.4132302,1.526864,-0.09106736,-0.04129758,0.1431149,-0.7906684,358.673,351.6608,358.3449,-0.8245162,-0.9299587,0.1582885,-1.967823,0.9566693,-3.609028,-0.1453626,-0.1730312,-0.5404846,356.9867,327.5285,9.064101,-1.0011,-0.9248521,0.3178977,-1.79222,5.069487,1.378738,-0.05417909,-0.1960684,-0.4936398,358.8515,342.8347,331.9627,
273.803,-0.1665304,-0.07462783,0.05626628,-0.4289515,1.615365,-0.06111968,-0.04386994,0.1420938,-0.7898005,359.0769,350.2446,358.2212,-0.9094328,-0.8503128,0.02807444,-1.510907,2.173631,-2.886205,-0.1561847,-0.1817473,-0.5420256,357.7597,323.9222,8.677687,-1.098252,-0.9127806,0.200967,-1.190378,5.087376,1.539042,-0.06798224,-0.207423,-0.4923788,359.9308,339.141,330.0673,
287.9,-0.1767111,-0.07633027,0.05934798,-0.4409225,1.730621,-0.04810188,-0.04661742,0.1409662,-0.7889669,359.4763,348.7045,358.0874,-0.96188,-0.7270715,-0.1329534,-1.641449,3.558299,-1.535264,-0.1662592,-0.1900626,-0.5448762,356.61,319.2945,6.409754,-1.152109,-0.9120151,0.1043622,-0.8745869,4.873249,1.882198,-0.08205034,-0.2201758,-0.4911248,0.6000307,335.8544,327.7396,
301.98,-0.1872375,-0.08016086,0.05914465,-0.461226,1.856383,-0.05883559,-0.04945359,0.1395608,-0.7883044,359.9434,347.0598,357.9813,-0.953487,-0.6722506,-0.211907,-1.76184,3.638431,-0.8252724,-0.1776045,-0.1992868,-0.5472373,356.0596,316.5515,4.411911,-1.170516,-0.9446408,0.03469494,-0.9701259,4.277481,1.91204,-0.09677631,-0.2337115,-0.4909749,1.473364,333.8098,325.5309,
315.783,-0.197689,-0.08589189,0.05575926,-0.5056732,1.974208,-0.0763452,-0.05247173,0.1380928,-0.7877415,0.4820517,345.3496,357.8282,-0.9463378,-0.6829894,-0.2572953,-1.737925,3.250683,-0.7634516,-0.1900713,-0.2097186,-0.5500351,356.4515,314.6707,2.926326,-1.182001,-0.9985073,-0.01420707,-1.37859,3.982938,1.894973,-0.1117624,-0.2476708,-0.4911212,2.966663,331.9571,322.8456,
329.453,-0.2084913,-0.0913575,0.05009492,-0.5555737,2.088707,-0.07896332,-0.05564877,0.1366831,-0.7872386,1.028272,343.5443,357.6103,-0.9673768,-0.7462284,-0.2991269,-1.793109,3.082084,-1.218001,-0.2031795,-0.2211149,-0.553294,357.9761,312.537,1.309914,-1.213409,-1.071006,-0.0709219,-2.011548,4.197311,2.159714,-0.1275959,-0.2632543,-0.4919617,4.948364,329.5947,318.8799,
343.516,-0.2195632,-0.09548137,0.04366926,-0.5804095,2.203947,-0.07371935,-0.05897245,0.1352966,-0.7868043,1.542067,341.6412,357.3914,-0.9972446,-0.8119232,-0.3459733,-2.013856,3.320635,-1.695186,-0.2161151,-0.2327665,-0.5569687,359.8812,309.7159,358.9648,-1.263388,-1.153677,-0.1459488,-2.381667,4.528039,2.128958,-0.1446952,-0.2795468,-0.49391,7.476941,326.8865,315.0472,
357.511,-0.2311697,-0.09856505,0.03597689,-0.5823104,2.327883,-0.06658784,-0.06243661,0.1338709,-0.7865423,2.046573,339.6169,357.1732,-1.026617,-0.8666119,-0.4110152,-2.451286,3.804554,-2.010427,-0.2290187,-0.2446508,-0.5618157,1.627962,306.3536,355.4601,-1.299696,-1.23212,-0.2296783,-2.230803,4.390427,1.24784,-0.1628075,-0.2953745,-0.4979969,10.60436,325.1535,313.2558,
371.234,-0.24187,-0.1009908,0.02701331,-0.5812132,2.462497,-0.06931299,-0.06595865,0.1324275,-0.7864332,2.560934,337.4909,356.9458,-1.03899,-0.89574,-0.4721571,-2.682705,4.050711,-2.16879,-0.2420768,-0.2562177,-0.5673916,3.129908,303.2864,351.7946,-1.332757,-1.296449,-0.3238574,-1.638448,4.160615,0.02533135,-0.1818707,-0.311016,-0.5036069,14.19094,324.0954,313.4586,
385.156,-0.2498126,-0.1029536,0.01777054,-0.5770842,2.582707,-0.07354678,-0.06942746,0.131033,-0.7864438,3.085341,335.2947,356.7025,-1.045544,-0.9148276,-0.5379137,-2.344224,3.837806,-2.069063,-0.256092,-0.2689783,-0.5750555,4.294076,300.9745,349.4237,-1.366901,-1.348139,-0.4202198,-1.305941,4.355329,-0.5868608,-0.20109,-0.327292,-0.509803,18.12015,322.5913,313.41,
399.147,-0.2544538,-0.104256,0.009025231,-0.5674145,2.667279,-0.06675162,-0.07297745,0.1295853,-0.7865225,3.571977,333.0965,356.4364,-1.06024,-0.9676871,-0.6163456,-1.923017,3.767198,-2.272946,-0.2708467,-0.2829427,-0.5837123,6.247295,298.611,347.1655,-1.416089,-1.406252,-0.5604203,-1.642924,5.031374,-0.3575887,-0.2209415,-0.3445793,-0.518063,22.58723,319.778,311.3412,
412.829,-0.2565654,-0.1054602,0.0008544698,-0.5665317,2.715985,-0.04738911,-0.07652667,0.1280946,-0.7866921,4.043227,330.8958,356.118,-1.081973,-1.010296,-0.7147123,-2.063541,4.187078,-2.519459,-0.285487,-0.2963976,-0.5928028,8.108248,295.4708,343.3919,-1.493769,-1.412253,-0.7501925,-2.504636,5.729423,0.9267333,-0.241812,-0.3612814,-0.5295533,26.41158,314.6183,306.0381,
427.078,-0.2569128,-0.1070456,-0.006935015,-0.581252,2.740937,-0.01569253,-0.08002982,0.1264961,-0.7869889,4.482799,328.6854,355.7296,-1.091504,-0.9773282,-0.8173146,-2.866403,4.949024,-2.333638,-0.2988805,-0.3089792,-0.6027004,8.120461,291.3685,337.8744,-1.577574,-1.332124,-0.9759606,-2.927127,5.865435,2.468728,-0.2632093,-0.3764627,-0.5442999,28.42646,307.794,299.946,
440.909,-0.2546383,-0.1100782,-0.01412322,-0.6057189,2.744691,0.008603998,-0.08338138,0.1247814,-0.7874017,4.926857,326.5082,355.3067,-1.058025,-0.8556794,-0.8753169,-4.205556,5.571357,-1.768776,-0.3105095,-0.3207062,-0.6127999,5.088664,287.6541,331.1597,-1.607148,-1.205529,-1.175645,-2.089554,5.240104,3.011581,-0.2845422,-0.3884813,-0.5619505,29.48814,302.599,297.7033,
454.682,-0.2491793,-0.1145822,-0.01896454,-0.6326545,2.715728,0.0168166,-0.08660105,0.1230471,-0.7877539,5.38319,324.4072,354.8377,-1.159887,-0.6494415,-1.059332,-2.448469,4.467429,1.173034,-0.3263042,-0.3307777,-0.6237052,1.818893,283.7781,334.6602,-1.570745,-1.157145,-1.300431,-5.00642,5.759156,4.04301,-0.3042399,-0.4011285,-0.581861,29.99251,294.537,286.1206,
468.429,-0.241017,-0.1184608,-0.01919035,-0.6557738,2.641118,0.01499876,-0.08967796,0.1213441,-0.7878865,5.814949,322.4217,354.3611,-1.139313,-0.6310459,-1.071889,-2.767342,4.803747,0.1037564,-0.3450207,-0.3366102,-0.6425765,0.566716,281.203,329.6364,-1.457383,-1.118854,-1.417736,-2.38099,4.807237,2.928009,-0.3152462,-0.4152788,-0.5926222,32.87209,292.9118,288.2168,
482.51,-0.2319746,-0.1196679,-0.01590079,-0.668202,2.539978,0.002312059,-0.0927206,0.1197124,-0.7879492,6.244613,320.5453,353.8577,-1.157173,-0.7355621,-1.172222,-1.343374,5.380092,-0.9102479,-0.3617639,-0.3489919,-0.6575297,3.626261,277.9384,325.228,-1.365377,-1.131972,-1.50462,-2.06631,4.58204,2.64927,-0.3356106,-0.4331619,-0.6143097,34.87906,289.0886,284.883,
496.407,-0.2246376,-0.1199998,-0.0112344,-0.6929951,2.42988,-0.00672623,-0.09568092,0.1180626,-0.7880141,6.673353,318.7367,353.2707,-1.127886,-0.7404064,-1.299555,-0.9160544,6.128737,-0.5186582,-0.375137,-0.3589324,-0.6735215,4.337843,273.0894,321.4057,-1.231961,-1.156854,-1.575651,-0.6241668,4.659018,2.235294,-0.3513948,-0.4457163,-0.635885,39.20558,286.6546,285.0394,
510.07,-0.2203522,-0.1206977,-0.006326996,-0.7294397,2.310096,-0.01593568,-0.09867951,0.1163313,-0.7880312,7.067139,317.0449,352.6472,-1.069583,-0.7277067,-1.359975,-0.4860798,6.076644,-0.1122113,-0.3873717,-0.3681179,-0.6897891,5.124573,269.1248,318.4596,-1.137501,-1.11948,-1.659987,-0.2585706,4.414239,2.278888,-0.365818,-0.4579345,-0.6589335,42.0381,283.5028,283.8754,
523.988,-0.2173746,-0.1207311,-0.002052918,-0.7335503,2.204511,-0.03413196,-0.1015841,0.1146456,-0.788009,7.452752,315.3957,352.0903,-0.9773538,-0.7221708,-1.389267,0.1523905,5.098431,-0.02356327,-0.398998,-0.3771301,-0.7091792,6.808829,267.2863,316.7202,-1.066031,-1.035826,-1.80506,-0.7107687,4.043584,2.745176,-0.3796201,-0.4696528,-0.6835982,43.45401,278.4871,280.7982,
