time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.475,0.01736598,0.02158801,-0.02271961,0.1083711,0.02578264,0.009897923,-0.1183961,0.1371328,-0.7315801,3.357364,11.26947,355.2013,0.05158378,0.05797288,0.02661074,0.1836169,0.1228594,0.100091,-0.1686139,-0.229159,-0.5391536,353.6421,1.998302,5.940711,-0.2688085,-0.004991782,0.08802643,0.05453931,0.6237425,-1.02002,-0.06678081,-0.2085412,-0.5265744,351.634,349.5476,354.5839,
13.368,0.02343307,0.02396194,-0.02230699,0.1367007,0.005511577,-0.00061244,-0.1179122,0.1374637,-0.7319132,3.212566,11.27824,355.1501,0.06410684,0.06066038,0.03904036,0.1898302,0.08744734,0.09910498,-0.16732,-0.2284864,-0.5382367,353.4861,2.015234,5.847893,-0.2388344,0.006849086,0.07491028,0.1666466,0.7649921,-1.002092,-0.06793965,-0.2077003,-0.5257137,351.7381,348.5016,355.2644,
26.786,0.030366,0.02393156,-0.02282512,0.1696077,-0.0268359,0.005066408,-0.1172979,0.1377038,-0.7322588,3.045318,11.32827,355.0531,0.07872099,0.05791479,0.05167943,0.1753296,0.03952906,0.101285,-0.1658531,-0.2279983,-0.5371552,353.3799,2.087923,5.760322,-0.1773093,0.03985269,0.06384777,0.4097422,0.6028579,-0.863225,-0.06786812,-0.2065052,-0.5247741,351.305,348.0017,355.9315,
40.321,0.03890723,0.02257623,-0.02503918,0.1636607,-0.06123276,0.01395641,-0.1164897,0.1379222,-0.7327007,2.954768,11.40747,354.9845,0.09611268,0.0498362,0.06570713,0.1450767,-0.008359972,0.1017584,-0.1640273,-0.2275785,-0.5356371,353.3239,2.188435,5.68048,-0.08813166,0.07121487,0.06154837,0.5045449,0.3793274,-0.44554,-0.06629649,-0.2054751,-0.5240355,350.6762,348.0117,355.9118,
54.368,0.04778472,0.02113506,-0.02770186,0.1281485,-0.08435009,0.01170445,-0.115505,0.1381335,-0.733189,2.923394,11.49955,354.9707,0.1159306,0.03752616,0.07897902,0.1171233,-0.05538244,0.1040507,-0.1620675,-0.2276187,-0.5346375,353.2882,2.321333,5.60244,0.01110362,0.08382234,0.0670061,0.2873331,0.3770743,0.2567032,-0.06349223,-0.2047645,-0.5224237,350.2713,348.1102,354.6564,
68.225,0.05701149,0.02038936,-0.02981686,0.09278323,-0.1073942,0.007288218,-0.1144637,0.1384048,-0.7336534,2.890311,11.61079,354.951,0.1382385,0.02430778,0.08887028,0.1520813,-0.1024269,0.0935197,-0.1595358,-0.2278422,-0.533031,353.1422,2.498886,5.548212,0.1047407,0.07330009,0.07689439,-0.143326,0.5348845,0.9477487,-0.05967829,-0.2044669,-0.5211067,350.2887,348.1687,352.5589,
81.786,0.06627487,0.02170912,-0.03032834,0.08434056,-0.1364775,0.01138283,-0.113299,0.1388093,-0.7340394,2.81697,11.75376,354.8917,0.170887,0.006047755,0.09902147,0.1641866,-0.2225224,0.1211153,-0.1564218,-0.2283421,-0.5310955,353.0459,2.889568,5.442256,0.1792894,0.04175366,0.08189765,-0.5776758,0.8221897,1.457119,-0.05505419,-0.205067,-0.5204383,350.623,347.9616,350.1093,
95.849,0.07674003,0.02410872,-0.02942782,0.1035104,-0.1857119,0.02051848,-0.111917,0.1391948,-0.7343909,2.694969,11.96462,354.7963,0.2059984,-0.01217794,0.1046156,0.2141547,-0.3660044,0.1822316,-0.1530417,-0.2293153,-0.52948,352.8652,3.469967,5.240482,0.2355138,-0.005130488,0.08478369,-0.9253889,1.116239,1.684461,-0.05030614,-0.2063891,-0.5180882,351.2357,347.4722,347.7791,
110.002,0.08954309,0.02680187,-0.02817707,0.123832,-0.2519988,0.03735244,-0.1102352,0.1395649,-0.7347317,2.579942,12.25094,354.6672,0.2530134,-0.04207974,0.1113894,0.235051,-0.589055,0.256133,-0.1491783,-0.2312395,-0.5283056,352.7553,4.375715,4.995508,0.282818,-0.04762225,0.08142066,-1.072667,1.358301,1.761691,-0.04444298,-0.2075424,-0.5174436,351.7964,346.8107,345.6751,
123.414,0.103518,0.0286539,-0.02763856,0.1263449,-0.3232675,0.03425144,-0.1083907,0.1398968,-0.7351176,2.473523,12.59556,354.606,0.302945,-0.07973913,0.1192844,0.2280086,-0.7889868,0.380489,-0.1442515,-0.2332686,-0.5256349,352.756,5.44857,4.590659,0.3412142,-0.09933227,0.0679162,-0.9771727,1.504333,1.794418,-0.03756739,-0.2102093,-0.5167645,351.9366,346.0367,343.7479,
137.457,0.1166783,0.02751215,-0.02781872,0.1091775,-0.3837037,-0.0009395438,-0.1064305,0.1401007,-0.7355305,2.375194,12.97032,354.6223,0.3550221,-0.1100065,0.1243908,0.1906263,-1.022627,0.367567,-0.1389857,-0.2351575,-0.5240518,352.8214,6.668364,4.426612,0.394858,-0.1424971,0.05602127,-0.935776,1.555789,1.82312,-0.03020539,-0.2131916,-0.5162087,352.0965,345.3926,341.861,
151.315,0.1291449,0.02483896,-0.02886652,0.06716561,-0.4422721,-0.01105445,-0.1043305,0.1403532,-0.7359765,2.353219,13.4079,354.5971,0.4232056,-0.1379344,0.1118732,0.1109706,-1.786687,-0.1540464,-0.1336713,-0.2378077,-0.5225335,352.8708,8.976618,5.660183,0.4376704,-0.188046,0.05386683,-1.077907,1.73544,2.037859,-0.02240719,-0.2170883,-0.5149339,352.4354,344.6824,339.3229,
