time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.487,-0.02683357,0.04983857,-0.1514137,0.02984975,0.1019078,-0.301898,-0.3337576,0.03951544,0.2813873,346.4901,10.28136,358.8029,0.01384728,0.2783212,-0.1480164,0.2595896,0.06704742,-0.766243,-0.3855432,-0.4451324,0.5029123,338.8059,25.57503,3.193994,-0.09079181,0.3567771,-0.1130085,0.01013873,0.9511508,-0.09753229,-0.2611977,-0.4548033,0.4890042,345.2463,342.764,36.18754,
12.275,-0.008280154,0.04067874,-0.1441731,0.05767893,0.1142755,-0.3382489,-0.3334436,0.03974718,0.2795552,346.3,10.04253,359.0426,0.0410703,0.2572963,-0.1598941,0.3009098,0.08427987,-0.7035072,-0.3840691,-0.4426098,0.5004629,338.2787,25.39392,3.197032,-0.07572091,0.3223915,-0.1118667,-0.0356141,0.87841,-0.2146499,-0.2611658,-0.4514805,0.4879542,345.075,342.0731,36.36751,
25.127,0.008225407,0.02872177,-0.1374915,0.07612674,0.1268865,-0.3657343,-0.3329456,0.03974473,0.2778181,346.1282,9.793434,359.2896,0.06228445,0.2406211,-0.1709491,0.3223656,0.06573883,-0.6773469,-0.3825308,-0.4401861,0.4979621,337.7195,25.24135,3.256969,-0.05982853,0.2974103,-0.1156249,0.2020573,0.7961589,-0.4334939,-0.2612016,-0.448386,0.4862725,344.6497,341.4758,37.16035,
39.044,0.02575029,0.01222137,-0.1304475,0.08096337,0.1452493,-0.3987053,-0.3321427,0.03951597,0.2761667,345.9655,9.495231,359.5858,0.08305565,0.2260607,-0.1820319,0.3248528,0.002544267,-0.6592536,-0.3805995,-0.4377209,0.4955425,337.1678,25.16623,3.386236,-0.0495301,0.2811691,-0.1322139,0.3975648,0.832458,-0.6373609,-0.2610551,-0.4453309,0.4843059,344.0871,340.6706,38.13848,
52.958,0.0425429,-0.003350406,-0.1229457,0.04392645,0.1650593,-0.4162713,-0.3311474,0.03931147,0.2746159,345.9047,9.181342,359.8828,0.1008656,0.2176497,-0.1947582,0.3477483,-0.05423022,-0.6946623,-0.3789264,-0.4355329,0.4925226,336.4981,25.08047,3.557915,-0.03943407,0.2738273,-0.152621,0.4022756,0.9535676,-0.6971101,-0.2603561,-0.4420162,0.4823028,343.5177,339.6731,38.82331,
66.694,0.05862004,-0.01313878,-0.1154753,0.001554308,0.1869983,-0.4227518,-0.3299632,0.0391742,0.2732224,345.858,8.855422,0.1783192,0.111656,0.2126052,-0.2046612,0.2842884,-0.1867606,-0.8072073,-0.3766952,-0.4332384,0.4898352,335.7612,24.93224,4.093119,-0.008628741,0.272553,-0.1640756,0.1262813,1.05128,-0.4550523,-0.2585042,-0.4386126,0.4802998,343.0667,338.8201,38.57019,
80.781,0.07406333,-0.01302513,-0.1066518,-0.0213037,0.2095746,-0.4242161,-0.3285805,0.03931862,0.2719408,345.7908,8.507463,0.4599266,0.1302051,0.2045726,-0.2093141,0.1586763,-0.4222662,-0.8371025,-0.3740911,-0.4310739,0.4874071,335.1855,24.96826,4.891432,0.04605172,0.2738032,-0.157563,-0.3160244,1.083226,0.02051352,-0.2553346,-0.4353217,0.478797,342.7759,338.3406,37.28416,
94.65,0.08830553,-0.006866404,-0.09745324,0.04173717,0.2236964,-0.4458692,-0.3270695,0.0393638,0.2708679,345.4886,8.158401,0.7332332,0.1568708,0.1928734,-0.2144583,0.1467642,-0.5509002,-0.7689477,-0.3714793,-0.4295967,0.4843114,334.66,25.16614,5.426051,0.1130496,0.2657124,-0.1285706,-0.6729322,0.899382,0.5105703,-0.2524619,-0.4322669,0.4786929,342.7225,338.496,35.56996,
109.127,0.1008671,-0.003258036,-0.08717227,0.1478965,0.2402637,-0.4566326,-0.3255103,0.03915441,0.2699493,345.1633,7.819901,0.9404547,0.1901246,0.1816367,-0.2188509,0.2673997,-0.5210254,-0.6177284,-0.3677528,-0.4273869,0.4818986,334.1667,25.49837,5.445851,0.1735322,0.2393612,-0.08677244,-0.8362213,0.4719721,0.7881196,-0.2495043,-0.4293695,0.478095,343.0504,339.1361,34.11583,
122.396,0.1108294,-0.007392396,-0.07867242,0.1989084,0.2616822,-0.4182127,-0.3238844,0.0385884,0.2690035,344.929,7.50129,1.065397,0.2225027,0.1754764,-0.2183102,0.4031613,-0.3667846,-0.4144188,-0.3640844,-0.4250465,0.4792786,333.8073,25.84719,5.050462,0.2161937,0.2263381,-0.07608844,-0.6110708,0.3629958,0.8474222,-0.2452112,-0.4276332,0.4762518,342.7684,339.5527,33.34822,
136.162,0.1182929,-0.02063302,-0.07186981,0.1899379,0.2757113,-0.3408679,-0.322118,0.03772384,0.2681352,344.8048,7.229609,1.117991,0.2440997,0.182216,-0.2167023,0.5019761,-0.2274192,-0.3309342,-0.360687,-0.4226578,0.47621,333.3579,26.0839,4.649138,0.2437541,0.2235673,-0.08901431,0.02564894,0.3160449,0.6307259,-0.2420428,-0.4254884,0.4753876,341.9471,339.8069,33.78472,
149.709,0.1238489,-0.03863264,-0.06688805,0.110291,0.276206,-0.2308406,-0.3203304,0.03670788,0.2672731,344.8714,7.031199,1.095872,0.2577078,0.1986444,-0.2160744,0.5247645,-0.2330463,-0.3281386,-0.3569408,-0.4195886,0.4735904,332.8571,26.34049,4.502613,0.2646789,0.2066357,-0.09651532,0.5621645,0.12009,0.3095254,-0.2381189,-0.4237897,0.4735724,341.3027,340.1328,34.78997,
163.914,0.128161,-0.05623244,-0.06337501,-0.003310439,0.2604887,-0.1130001,-0.3184812,0.03564125,0.2664621,345.0496,6.888602,1.018652,0.2748484,0.2332211,-0.2222575,0.578583,-0.4303427,-0.3942029,-0.3528877,-0.4158867,0.4709558,332.1144,26.86346,4.595867,0.2883432,0.1878487,-0.08922601,0.6270857,-0.1190106,0.2203834,-0.2341644,-0.4214846,0.4729146,341.1666,340.6599,35.16327,
177.595,0.1306656,-0.06862655,-0.05960538,-0.09906738,0.2347033,0.003921254,-0.3166578,0.03472888,0.265747,345.2877,6.819281,0.8703334,0.2903574,0.266394,-0.2327323,0.7092535,-0.644713,-0.4777555,-0.3487943,-0.4122244,0.4682532,331.1345,27.60403,4.644343,0.3057642,0.1930079,-0.1057621,0.8293111,-0.09995087,0.163236,-0.2297031,-0.418949,0.4705845,340.5596,341.0054,35.68913,
191.464,0.1315627,-0.07354211,-0.05545316,-0.1597159,0.2099113,0.1136242,-0.3148323,0.03389472,0.2651304,345.5403,6.806124,0.6409538,0.3068649,0.2929398,-0.2384844,0.871079,-0.8118935,-0.5169827,-0.3444547,-0.4084647,0.4660055,330.0611,28.54068,4.530592,0.3176343,0.2214173,-0.1347083,0.8086295,0.1956044,0.2275153,-0.2252639,-0.415901,0.4680724,339.6443,340.983,35.76452,
205.406,0.1318598,-0.0710923,-0.04940541,-0.1959067,0.1810902,0.2671395,-0.3130038,0.0331952,0.2645954,345.8317,6.89595,0.2466784,0.3234208,0.3038183,-0.2247429,0.9590426,-0.8130928,-0.4785877,-0.3399216,-0.4049654,0.4644171,329.1716,29.40738,4.226805,0.368794,0.2790454,-0.1584352,0.8541893,0.4811059,0.7330418,-0.2185719,-0.4110439,0.4666694,338.2437,341.5547,34.91311,
219.428,0.133305,-0.06278282,-0.04251992,-0.1986844,0.1402113,0.4190816,-0.3110958,0.03264415,0.264243,346.0953,7.120415,359.731,0.3378947,0.3061556,-0.1914798,0.9624469,-0.6203186,-0.4212414,-0.3349488,-0.4009992,0.4634181,328.5093,29.96249,3.728397,0.4403673,0.3244344,-0.1531387,0.9381613,0.563783,1.3909,-0.2120709,-0.4075917,0.465194,336.5939,343.0534,33.33948,
233.338,0.136158,-0.05142416,-0.03478568,-0.1907234,0.07462446,0.5545637,-0.3091272,0.03222036,0.2639463,346.3891,7.431651,359.1892,0.35367,0.311021,-0.1546517,0.9234987,-0.5172827,-0.389351,-0.3297924,-0.3969629,0.4626189,327.8851,30.46179,3.339769,0.5335017,0.3404168,-0.1015202,0.861588,0.1876106,2.165922,-0.2047076,-0.4032289,0.4657769,335.7286,345.8511,30.87565,
246.971,0.1397251,-0.03776529,-0.02745317,-0.1930404,-0.005340596,0.6630286,-0.3071493,0.03193861,0.2637416,346.7007,7.829823,358.636,0.3780665,0.3178645,-0.1262731,0.8750028,-0.6675166,-0.3159849,-0.3242488,-0.3928075,0.462104,327.2942,31.30195,3.223337,0.6034653,0.3384527,-0.06118588,1.003398,-0.2549495,2.627181,-0.1981422,-0.399775,0.4650878,334.9803,349.093,28.71048,
261.085,0.142435,-0.02729035,-0.02034821,-0.1782875,-0.0808576,0.7350206,-0.3051583,0.03166282,0.2636417,346.9849,8.275555,358.0625,0.4095671,0.3279493,-0.1065327,0.8605691,-0.9607666,-0.2056749,-0.3183524,-0.3883745,0.4620134,326.7097,32.54469,3.267161,0.625737,0.3210381,-0.05242446,1.022254,-0.4705131,2.592012,-0.1914073,-0.3961213,0.4641557,334.5071,351.5255,27.14441,
275.023,0.1445053,-0.02333453,-0.01204634,-0.1558494,-0.1601269,0.8100343,-0.3031231,0.03114808,0.263638,347.2863,8.804828,357.4292,0.4403325,0.3402434,-0.08934738,0.8474762,-1.21707,-0.08798821,-0.3121549,-0.3837158,0.4620373,326.1945,33.92524,3.381004,0.631732,0.3257764,-0.0751754,1.378682,-0.5959316,2.312467,-0.1845689,-0.3920013,0.4626034,333.4921,353.6937,26.36683,
288.749,0.1462745,-0.02955561,-0.005244844,-0.152761,-0.2260453,0.8789579,-0.3010511,0.0302974,0.26371,347.6215,9.38035,356.7773,0.4697888,0.3563014,-0.08112527,0.928492,-1.395203,-0.00665085,-0.30565,-0.3787597,0.4619704,325.6042,35.50804,3.294582,0.6364811,0.3436851,-0.1094471,1.784125,-0.731216,2.025888,-0.1778187,-0.3878274,0.4604774,332.2038,355.9536,25.87118,
302.827,0.1487961,-0.04591316,0.001632459,-0.1500383,-0.3015095,0.9284645,-0.2988586,0.02907223,0.2638544,347.9564,10.02692,356.1496,0.5019209,0.3759397,-0.08352987,1.13049,-1.555596,0.04849952,-0.298782,-0.3736385,0.4618821,324.8746,37.4693,2.903379,0.6365827,0.3619577,-0.1482665,2.01459,-0.8913162,1.727756,-0.1708335,-0.3830983,0.4579075,331.0791,358.1247,25.56729,
316.792,0.1514826,-0.06749722,0.008000825,-0.1600854,-0.3727385,0.9603636,-0.2966886,0.02753043,0.2640868,348.3411,10.72442,355.5249,0.5270619,0.3921898,-0.09408993,1.368065,-1.62728,0.05254816,-0.2918394,-0.3684185,0.461665,324.0599,39.62248,2.185292,0.6438836,0.3879055,-0.1947276,2.217656,-1.001245,1.508172,-0.1633872,-0.3779035,0.454691,329.8777,0.3694152,25.21814,
