time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.501,-0.463607,0.2123038,-0.1816828,-0.3953718,0.02433136,-0.7012703,-0.3975285,-0.1120644,0.4492863,2.070253,43.45851,22.90877,0.2572353,0.2529582,-0.3498138,-1.632419,0.7628182,1.006561,-0.3094445,-1.034865,0.2906393,64.6538,171.8195,68.2628,-0.6028944,0.5150003,-1.134426,-0.8160326,1.421797,-1.770458,-0.3487719,-0.8581977,0.03848312,73.62897,163.6446,146.7,
12.153,-0.4436529,0.2183629,-0.1725346,-0.3757678,0.01168024,-0.7325488,-0.4031262,-0.1090201,0.4472426,1.473366,43.59423,23.22951,0.4167078,0.3128698,-0.3360845,-1.320401,0.8501779,1.14787,-0.3002727,-1.029116,0.2868001,64.00541,169.9783,65.4893,-0.5815451,0.5534875,-1.156489,-1.067828,1.636922,-2.119536,-0.3564821,-0.8495547,0.02207877,73.34864,163.0613,143.1671,
25.25,-0.4228545,0.2227185,-0.1657331,-0.3575911,-0.02024615,-0.7516472,-0.4084768,-0.1058784,0.4451259,0.9185333,43.75978,23.54483,0.5605054,0.3749084,-0.3253745,-0.9262431,0.8235477,1.286424,-0.2895027,-1.022498,0.2835086,63.05165,168.264,63.28902,-0.5594347,0.5912083,-1.177657,-1.372484,1.821866,-2.233829,-0.3640335,-0.8404592,0.005718185,72.82713,162.1278,139.3074,
39.242,-0.4012662,0.2254997,-0.1594368,-0.3410046,-0.062351,-0.7557909,-0.4135095,-0.1027347,0.4430612,0.3662125,43.95063,23.85516,0.7342854,0.4584485,-0.3051668,-0.4941028,0.7842063,1.44749,-0.2756015,-1.014515,0.2807986,61.78521,166.4364,61.39393,-0.5294217,0.6501312,-1.191797,-1.617367,2.037119,-2.233328,-0.3713688,-0.8299447,-0.01042923,72.23605,160.4035,134.6521,
53.201,-0.3790905,0.2274985,-0.1531626,-0.3222637,-0.09518038,-0.7489487,-0.4182525,-0.09951913,0.4410851,359.8482,44.15241,24.13993,0.9144115,0.5536592,-0.2757188,-0.3446161,0.8673722,1.632889,-0.2592585,-1.004539,0.2788641,60.45511,164.3528,58.9153,-0.5004351,0.7042966,-1.183201,-1.689914,2.191234,-2.164341,-0.3783942,-0.819166,-0.02612695,71.82098,158.0607,129.5962,
66.94,-0.3563216,0.2290368,-0.1464002,-0.2897662,-0.1306207,-0.729987,-0.422598,-0.09636062,0.4392055,359.3456,44.38338,24.38808,1.096094,0.6622398,-0.2376445,-0.556031,1.105457,1.867701,-0.240707,-0.9927036,0.2775559,59.10634,161.9252,55.32977,-0.4758521,0.7636875,-1.158927,-1.665035,2.289358,-2.174933,-0.385187,-0.8065869,-0.04131044,71.65073,155.406,124.2407,
80.555,-0.3349119,0.2298843,-0.140176,-0.2390257,-0.1716681,-0.7094223,-0.4266798,-0.09316352,0.4374353,358.8847,44.68534,24.55511,1.281219,0.7806647,-0.1968098,-1.152422,1.503605,2.153868,-0.2194192,-0.9796232,0.2759396,57.78674,158.9831,50.13935,-0.4570424,0.8168571,-1.1368,-1.681232,2.316787,-2.257828,-0.3915913,-0.7940036,-0.0567821,71.60337,152.9334,118.9598,
94.753,-0.3107346,0.2296135,-0.1335009,-0.1475901,-0.2256138,-0.6931751,-0.4304817,-0.09005809,0.435707,358.4321,45.06884,24.63101,1.496983,0.927296,-0.141899,-1.869845,2.081625,2.383372,-0.1954061,-0.9630011,0.2759835,56.47428,154.9789,43.34111,-0.4200962,0.8862549,-1.143845,-2.109352,2.44444,-2.408308,-0.3968399,-0.7812893,-0.07371361,71.1396,150.8797,113.3315,
108.848,-0.2905578,0.2267404,-0.1285955,-0.05416934,-0.2712371,-0.6775804,-0.434025,-0.08703542,0.4339961,358.0334,45.47857,24.63212,1.683393,1.07104,-0.09249192,-2.157675,2.497215,2.462604,-0.1697856,-0.9456435,0.2756924,54.87415,150.7842,37.08496,-0.3670089,0.9519471,-1.178279,-2.858906,2.667487,-2.31345,-0.4014784,-0.7661682,-0.08980059,69.81239,149.0719,107.4782,
122.398,-0.2697666,0.2210332,-0.1248543,0.02033321,-0.3246295,-0.6349148,-0.4373,-0.08422247,0.4323575,357.7153,45.93727,24.65755,1.853535,1.240242,-0.04290485,-2.076545,2.759032,2.489651,-0.1430257,-0.9245262,0.2772791,52.82584,146.7608,31.85839,-0.3097626,1.026915,-1.215802,-3.609156,2.900788,-2.1249,-0.4056045,-0.7508548,-0.1070343,68.18706,147.0956,101.0672,
