time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.466,-0.2457255,0.03994495,-0.2138508,-0.07958716,0.04490858,0.2424459,0.08502698,0.03081864,0.2509295,349.7906,355.2282,4.776663,-0.5329736,0.3339971,-0.06250277,0.9611364,0.5984135,0.6352803,0.06836624,-0.4439218,0.4777313,354.5933,4.305274,3.966501,-0.691089,0.2875627,-0.05553371,1.018605,0.6933935,0.02273725,0.1625152,-0.4880368,0.3975724,350.2303,3.97948,350.7596,
12.919,-0.2568788,0.006748056,-0.22212,-0.05024196,0.04190027,0.2498059,0.08115137,0.03005165,0.2475636,349.7226,355.2766,4.575538,-0.5667609,0.3134028,-0.08209182,0.9131691,0.4881521,0.5497661,0.05967834,-0.4409344,0.476424,353.9861,4.22155,3.533776,-0.7183349,0.2288955,-0.05236983,0.8418659,0.7177612,0.1331161,0.152599,-0.4863801,0.3968231,349.9658,3.43252,350.3659,
26.548,-0.2660061,-0.02463995,-0.2292465,-0.01772677,0.02863194,0.2637059,0.07723308,0.02889431,0.2441059,349.6603,355.3649,4.349924,-0.6116275,0.2853397,-0.09318055,0.789468,0.6089562,0.5856704,0.05052036,-0.4383485,0.4748925,353.5817,3.705967,2.902549,-0.7393104,0.185967,-0.05313206,0.7506782,0.7986431,0.3973604,0.1423466,-0.484718,0.395755,349.7327,2.88678,349.5133,
40.486,-0.2742741,-0.0604786,-0.2369376,0.0131296,0.004939141,0.2785984,0.07323653,0.02710724,0.2406605,349.5799,355.4907,4.127339,-0.658392,0.2508858,-0.1027574,0.6458821,0.7513071,0.6338298,0.04074494,-0.4360383,0.4732074,353.327,3.04424,2.21105,-0.7662236,0.1677713,-0.06578746,0.8346407,1.003561,0.7174575,0.131724,-0.4829948,0.3944721,349.2677,2.094852,348.233,
53.971,-0.2816548,-0.0984963,-0.2455706,0.00285314,-0.02602801,0.2737353,0.06916767,0.02477169,0.2369963,349.5978,355.6226,3.936229,-0.7171713,0.2285801,-0.1201941,0.6660295,0.9773768,0.5750133,0.02986706,-0.4340615,0.4706856,352.7688,2.073686,1.658376,-0.8044865,0.1616662,-0.08878082,1.037587,1.302739,0.9347847,0.1206328,-0.4818202,0.3924325,348.5209,0.9032117,346.83,
68.13,-0.288581,-0.140377,-0.2547009,-0.03240712,-0.05526375,0.2564247,0.06510657,0.02166671,0.2332381,349.6744,355.7597,3.766978,-0.7844256,0.2098932,-0.1415998,0.7198198,1.199185,0.3785231,0.01842612,-0.4323166,0.46861,352.0636,0.8525923,1.447226,-0.8506576,0.1579561,-0.1205,1.297052,1.43386,0.8063065,0.1086885,-0.4811713,0.3899908,347.4191,359.5581,346.0596,
81.927,-0.2953423,-0.1814968,-0.2634932,-0.1318229,-0.07634723,0.2271572,0.0609566,0.01823807,0.2292573,349.9454,355.879,3.6044,-0.844539,0.1803894,-0.1634688,0.6565995,1.256079,0.1354825,0.006182278,-0.4313126,0.4654825,351.5765,359.7353,1.554702,-0.9082016,0.135688,-0.1429178,1.33504,1.425675,0.3072758,0.09579568,-0.4800957,0.3883007,346.5733,358.0779,346.3394,
95.536,-0.3023153,-0.2176246,-0.2709838,-0.2337585,-0.09094825,0.2096557,0.05666482,0.01457715,0.2253717,350.2532,356.0059,3.42198,-0.8940725,0.1454294,-0.1862325,0.5804219,1.21659,-0.0741917,-0.00650547,-0.4307628,0.4622785,351.1875,358.7607,1.817352,-0.9469595,0.1307102,-0.17443,1.572221,1.177766,-0.02151768,0.08308732,-0.4799041,0.3852212,345.1803,356.9389,346.8215,
110.505,-0.3079309,-0.2419838,-0.2747124,-0.3279721,-0.1034605,0.2061189,0.05229342,0.01107454,0.221579,350.6156,356.151,3.217982,-0.9380152,0.1086856,-0.2012249,0.4287765,1.235628,-0.2010845,-0.01924268,-0.4301102,0.4599997,351.0541,357.6811,2.040632,-0.9720961,0.1191021,-0.1962214,1.694413,1.065301,-0.09077425,0.06992385,-0.479786,0.3822217,343.833,355.8625,347.0012,
123.586,-0.3120232,-0.2508937,-0.2747794,-0.370117,-0.1202932,0.2071232,0.04790926,0.007821321,0.2178422,350.8967,356.3108,3.032237,-0.97145,0.07935451,-0.2153029,0.3301273,1.247238,-0.2283461,-0.03258714,-0.4300786,0.4560419,350.9264,356.6351,2.134942,-1.016631,0.1013855,-0.2261041,1.783779,1.358526,0.09629503,0.05588553,-0.4798423,0.3793936,342.6084,354.2691,346.4985,
137.361,-0.3150958,-0.2490475,-0.2712092,-0.3175796,-0.137015,0.1947193,0.04345441,0.004633605,0.2142221,351.0121,356.4724,2.915275,-1.005123,0.06461078,-0.2397048,0.40377,1.348952,-0.1023925,-0.04635345,-0.4299666,0.4522094,350.4539,355.4967,1.884235,-1.058409,0.08654232,-0.2512259,1.857781,1.765315,0.2647877,0.0419466,-0.4803504,0.3760339,341.4364,352.2544,345.7807,
150.829,-0.317051,-0.2417748,-0.2639896,-0.2455759,-0.1416637,0.1670685,0.03899658,0.001538157,0.2107437,351.1132,356.6041,2.826777,-1.047626,0.05550376,-0.2677164,0.45308,1.569166,0.08021081,-0.06073052,-0.4297125,0.448222,349.9378,354.0829,1.345261,-1.10473,0.06176209,-0.2709659,1.813575,2.084058,0.2961527,0.0273677,-0.4812335,0.3724057,340.5324,350.0602,345.1917,
164.836,-0.3181603,-0.2358747,-0.2547106,-0.1798303,-0.1377168,0.1194363,0.03455526,-0.00167191,0.2074981,351.164,356.6996,2.834842,-1.098793,0.05369754,-0.3019035,0.5208762,1.849996,0.2076942,-0.07589376,-0.4296335,0.4430104,349.3003,352.3712,0.7559415,-1.141005,0.03325717,-0.2785224,1.654164,2.084355,0.2047724,0.01195238,-0.4820802,0.3690296,339.9031,348.254,344.9635,
178.796,-0.3188036,-0.23153,-0.2426623,-0.1483146,-0.1345186,0.0493664,0.03014737,-0.004849434,0.2044972,351.2785,356.773,2.909391,-1.152459,0.04792741,-0.331109,0.4688506,2.026748,0.1115348,-0.09156369,-0.4292718,0.4384525,348.9584,350.5323,0.5429051,-1.180847,0.01068193,-0.2771531,1.378363,1.945139,0.009317391,-0.004177107,-0.4821126,0.3655899,339.6951,346.6978,345.0416,
192.454,-0.3190174,-0.2251918,-0.2286124,-0.1697168,-0.1278453,-0.01622248,0.02572358,-0.007670224,0.201739,351.5002,356.8274,2.999671,-1.19827,0.04213644,-0.3526648,0.3494253,2.076494,-0.1138632,-0.1076179,-0.4288218,0.4334412,348.9338,348.7141,0.6923673,-1.210812,0.009438192,-0.2819639,1.135135,2.034389,0.0368356,-0.02026678,-0.4818126,0.3618525,339.5436,345.1033,344.5691,
206.406,-0.3194676,-0.2106462,-0.2110195,-0.2326202,-0.125537,-0.05468026,0.02130479,-0.009980619,0.1993461,351.8159,356.8923,3.057772,-1.229711,0.03939648,-0.371967,0.2101103,2.031852,-0.3163826,-0.1237636,-0.428194,0.42811,349.1172,347.0364,0.9448552,-1.237474,0.02480198,-0.2958922,0.9150046,2.359176,0.2078554,-0.03635006,-0.4809068,0.3580016,339.4762,343.2916,343.466,
