time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.379,-0.09586832,0.008764971,0.0008854084,-0.2900039,0.08785252,-0.01093927,-0.1958109,0.03974235,0.6727065,339.3584,6.635874,359.8578,-0.1468529,0.1892961,0.08675878,0.997085,0.6982561,-0.2556107,-0.2416637,-0.4215378,0.9074782,325.5716,32.09127,1.551905,-0.1248846,0.4559761,0.01462204,1.531978,0.1180965,-0.9395609,-0.09602844,-0.3937145,0.8975869,325.1401,357.9828,37.21244,
13.162,-0.07340921,0.01021473,-0.004691539,-0.2886969,0.10275,0.007526339,-0.1962477,0.03995287,0.6724684,339.5741,6.547813,359.8398,-0.100326,0.193259,0.07553495,1.042776,0.6704282,-0.212132,-0.242185,-0.4190544,0.9085503,325.232,32.55037,0.4031022,-0.08717576,0.4507212,-0.0006974563,1.443173,0.1641576,-0.8574102,-0.09611366,-0.3886154,0.8978829,324.0421,357.9116,37.68715,
26.667,-0.05114878,0.01074784,-0.01013203,-0.2691235,0.1116286,0.0212105,-0.1963927,0.04013294,0.6721883,339.7559,6.471707,359.8132,-0.0651314,0.2049637,0.05863197,1.116923,0.642993,-0.3082931,-0.2424676,-0.4163059,0.9094415,324.6284,32.94173,359.2414,-0.05434255,0.440629,-0.01877989,1.360615,0.1981065,-0.8448908,-0.09583818,-0.3837541,0.8977537,322.9668,357.6947,38.24561,
40.204,-0.02924628,0.01083867,-0.01567713,-0.234475,0.1205123,0.03426395,-0.1963106,0.0402692,0.6718309,339.8966,6.39937,359.7612,-0.04401479,0.2235318,0.04005124,1.161503,0.5757632,-0.5310575,-0.2426348,-0.4136162,0.9099883,323.6948,33.13567,358.2549,-0.02269926,0.4306679,-0.0428416,1.357666,0.2048114,-0.921334,-0.09495403,-0.379005,0.8974196,321.7558,357.3175,39.05533,
53.995,-0.00921181,0.008887844,-0.02019797,-0.179993,0.1262985,0.04399451,-0.1959385,0.04026753,0.6714479,339.9655,6.337971,359.6868,-0.02541705,0.2347569,0.02835138,1.136904,0.4576685,-0.6553412,-0.2423313,-0.4110372,0.9107233,322.7838,33.33363,357.4663,0.008761058,0.4209525,-0.06132149,1.398371,0.1479321,-0.9696932,-0.09369147,-0.3744044,0.8968961,320.5378,357.0168,39.98077,
68.014,0.01207239,0.003884385,-0.02434891,-0.1162,0.1327346,0.0568239,-0.1953337,0.04005069,0.6711812,339.9818,6.289145,359.5819,0.01184338,0.2343034,0.02697367,0.9893208,0.258715,-0.5939716,-0.2408245,-0.4082094,0.9120352,322.177,33.62758,357.0417,0.05988314,0.4044224,-0.08673873,1.48091,0.01046731,-1.019825,-0.09133847,-0.3701574,0.8959334,319.3292,356.7529,41.15009,
81.64,0.03373288,-0.003045005,-0.02783104,-0.07206878,0.1254293,0.06168393,-0.194412,0.03975236,0.6708556,340.0107,6.25628,359.5107,0.05006772,0.2249315,0.03091594,0.8027716,0.03971963,-0.4553142,-0.2395994,-0.4064208,0.9126716,321.7781,33.97887,356.868,0.1029646,0.3855001,-0.1009411,1.528377,-0.1688951,-1.003056,-0.08887032,-0.3659502,0.8952267,318.2727,356.5965,42.38709,
95.749,0.05567716,-0.01037549,-0.03072727,-0.03998696,0.1042501,0.05821797,-0.1931521,0.03939527,0.670452,340.0164,6.245583,359.4585,0.08716724,0.2110256,0.02932459,0.6428143,-0.3091706,-0.319906,-0.2375613,-0.4044476,0.9137608,321.3374,34.53049,357.0495,0.1460461,0.3596689,-0.1124631,1.537099,-0.3453712,-0.9949462,-0.08539873,-0.3628237,0.8936476,317.3421,356.3693,43.77666,
110.611,0.07731399,-0.01744598,-0.03307571,-0.01476851,0.08385941,0.05844368,-0.1915826,0.03898871,0.6699721,340.0092,6.250782,359.3914,0.1276076,0.193029,0.02956165,0.5076995,-0.6014724,-0.1758192,-0.2347563,-0.4026271,0.915027,320.9655,35.15086,357.3831,0.2033643,0.332659,-0.116371,1.692877,-0.6069157,-0.9133892,-0.08083692,-0.3593919,0.8934664,316.432,356.5054,45.3282,
123.36,0.09855217,-0.02467298,-0.03486502,0.006598339,0.06958306,0.06002402,-0.1897129,0.03846908,0.669446,339.9905,6.255085,359.3176,0.1739254,0.1678083,0.03223395,0.4281546,-0.7787344,-0.04252041,-0.2317217,-0.4020799,0.9157999,320.6664,35.82721,357.6747,0.2489423,0.3141208,-0.1287255,1.835281,-0.7333167,-0.9249899,-0.07658704,-0.3561347,0.8913654,315.3909,356.5677,46.98532,
