time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.395,-0.009752567,-0.01268411,0.01756904,-0.1988998,-0.01840845,-0.03512994,0.01841941,0.1469426,-0.7902011,357.9728,3.359872,356.691,-0.04289906,0.0730393,0.03719611,-0.02197265,0.1919686,0.07043763,-0.05051836,-0.02971735,-0.5387816,338.3141,350.4544,44.61431,-0.05798194,0.03885062,0.06402976,0.0212043,0.4411094,0.005555007,0.03183248,-0.01691235,-0.5314268,333.5509,352.9969,340.4005,
13.036,-0.01307571,-0.01321616,0.02019993,-0.2012564,0.01622916,-0.04930239,0.01818702,0.146786,-0.7898462,358.122,3.293746,356.7639,-0.05873881,0.06534445,0.04877511,-0.1697505,0.2595565,0.0936981,-0.05132793,-0.02892226,-0.5378664,338.3546,350.1666,44.31952,-0.04409261,0.04790439,0.06440555,0.05131488,0.09031776,0.1155071,0.03134227,-0.01570613,-0.5304804,333.2663,353.447,340.4188,
26.193,-0.01640701,-0.01243221,0.02418401,-0.1880316,0.05742574,-0.05446633,0.01791111,0.1466328,-0.7894038,358.2397,3.187757,356.8163,-0.06774134,0.05756193,0.05943512,-0.314107,0.3029764,0.1582494,-0.05213723,-0.02835077,-0.5368407,338.474,349.9128,43.86519,-0.03538325,0.0517448,0.07314117,0.03451862,-0.06207442,0.2436016,0.03039873,-0.0153168,-0.5291384,333.0514,353.9579,340.1976,
40.217,-0.02018088,-0.0115825,0.02864279,-0.1743304,0.09996988,-0.05516637,0.0175449,0.1464647,-0.7889131,358.3642,3.050851,356.868,-0.08267677,0.04711356,0.06880726,-0.4271371,0.3289018,0.1450848,-0.05363663,-0.02768494,-0.5355243,338.634,349.5418,43.50002,-0.05512137,0.04109314,0.09021363,0.04271261,0.1216576,0.2402037,0.02858893,-0.0154248,-0.5272268,333.033,353.884,339.8191,
54.192,-0.02406017,-0.01257654,0.03230554,-0.172933,0.1509141,-0.04740396,0.01711914,0.146167,-0.7884063,358.5176,2.860078,356.8981,-0.1038782,0.03398082,0.07732712,-0.4007165,0.2500423,0.02920686,-0.05561575,-0.02765067,-0.5341772,338.7873,349.2398,43.54143,-0.09693383,0.01892303,0.1137155,-0.04707567,0.3161281,-0.00994767,0.02674662,-0.01496993,-0.5245863,333.4645,353.3046,339.8593,
67.789,-0.02819774,-0.01592628,0.03473778,-0.1989018,0.2040258,-0.03372486,0.01662198,0.145821,-0.787907,358.7454,2.632051,356.9183,-0.1349797,0.01440632,0.08652116,-0.4720268,0.2119578,-0.1347865,-0.05782498,-0.02821426,-0.5329002,339.0716,348.6524,43.72613,-0.1257435,-0.001611964,0.1403363,-0.2259035,0.3691223,-0.1321202,0.02463708,-0.01510862,-0.5225248,334.0695,353.0436,339.8509,
81.947,-0.03197188,-0.01944968,0.03599704,-0.2411216,0.2632838,-0.0156004,0.01609346,0.1455001,-0.7873718,359.0253,2.350416,356.9189,-0.1624237,-0.006704247,0.1059439,-0.769596,0.1979732,-0.0904268,-0.05975932,-0.0278084,-0.5305681,339.7408,348.0464,43.30972,-0.1344648,-0.02128843,0.1651194,-0.4233239,0.4162925,-0.02216744,0.0223975,-0.01534348,-0.5198212,334.7156,353.2312,339.3776,
95.748,-0.03543624,-0.02166062,0.03710377,-0.2633736,0.3145154,-0.003166932,0.01552793,0.145157,-0.7867575,359.2576,2.042264,356.9194,-0.1833491,-0.01874915,0.1201126,-1.054509,0.2921,0.01630381,-0.06242725,-0.02792303,-0.5290229,340.3737,347.3497,42.5521,-0.1365803,-0.040378,0.1911806,-0.6017452,0.4364941,0.1415794,0.02027208,-0.01558058,-0.5162596,335.372,353.6382,338.6903,
109.938,-0.03893932,-0.02156897,0.0384808,-0.2644602,0.3567832,0.005296193,0.01488152,0.1449157,-0.786145,359.4724,1.722867,356.9136,-0.2039638,-0.02514716,0.1341193,-1.09959,0.3272092,0.06200683,-0.06552915,-0.02764013,-0.5261065,340.821,346.8109,41.9659,-0.1416418,-0.06313191,0.2157443,-0.7462087,0.4613225,0.276094,0.01789349,-0.01676961,-0.5136068,336.079,354.1022,337.9185,
123.342,-0.04237595,-0.02025373,0.03961156,-0.2498675,0.3971951,0.01223023,0.01420304,0.144684,-0.7855777,359.6716,1.360174,356.9042,-0.2288409,-0.03774024,0.1523217,-1.02617,0.1827552,-0.0001989715,-0.06916212,-0.02858471,-0.5239815,341.3765,346.4879,41.77411,-0.1571259,-0.08153954,0.233577,-0.7663329,0.4658537,0.3627049,0.01462848,-0.01777228,-0.5100353,336.6425,354.486,337.2151,
137.429,-0.0464356,-0.0186885,0.04019145,-0.2390009,0.4392384,0.02625145,0.01345834,0.1444744,-0.7850406,359.8763,0.9561761,356.8634,-0.2647445,-0.0469029,0.1585641,-1.004963,0.2769202,-0.09628926,-0.07313881,-0.02930426,-0.5215486,341.6978,345.7687,41.57706,-0.1889396,-0.09712143,0.2441837,-0.6794132,0.6019476,0.3581774,0.01098812,-0.01883194,-0.5063226,337.152,354.4407,336.5593,
151.294,-0.0509898,-0.01748183,0.04031071,-0.2355241,0.4764335,0.03890784,0.01260766,0.1442708,-0.7844677,0.08123091,0.5470771,356.8289,-0.2995975,-0.06698695,0.1702113,-1.091246,0.2968669,-0.1546792,-0.07745034,-0.03028564,-0.5184129,342.2564,345.0204,41.26411,-0.2340532,-0.122081,0.2490735,-0.4839505,0.7936639,0.3288482,0.006819383,-0.02203225,-0.5028885,337.429,354.0327,335.8883,
165.016,-0.05496813,-0.01640978,0.04039783,-0.2367779,0.5043429,0.04018542,0.01175222,0.1441315,-0.7839017,0.2964557,0.1170923,356.8094,-0.3284308,-0.09820342,0.1851483,-1.28378,0.2967853,-0.1521693,-0.08181745,-0.03220672,-0.5157165,343.033,344.2348,40.69911,-0.2832757,-0.1511748,0.254963,-0.3752364,0.8518513,0.1886699,0.001944787,-0.02396251,-0.4990398,337.8326,353.5257,335.5861,
179.024,-0.05941935,-0.01471136,0.04112013,-0.2232946,0.5297043,0.03051695,0.01079866,0.1440229,-0.7832845,0.4649543,359.6641,356.8012,-0.3547395,-0.1397289,0.2016281,-1.626761,0.3172183,-0.1089728,-0.08648071,-0.0343648,-0.5120792,344.1056,343.3072,39.7473,-0.3292418,-0.1993466,0.2800974,-0.4664457,0.9218779,0.02130627,-0.003483607,-0.02736866,-0.4943703,338.6412,353.0519,335.3468,
192.906,-0.0648253,-0.0123368,0.04295808,-0.1939497,0.5609005,0.01921728,0.009719938,0.1438883,-0.782599,0.5886118,359.1736,356.8018,-0.3806296,-0.1943236,0.2238608,-2.127435,0.3141869,-0.02905299,-0.09142092,-0.03738192,-0.5082785,345.6,342.277,38.28029,-0.3733964,-0.2701041,0.3173504,-0.7568794,1.034349,-0.1894124,-0.009304003,-0.03188214,-0.4895737,340.0726,352.6115,335.1678,
