time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.444,0.3828417,-0.1037727,-0.2089773,-0.05457291,0.1044774,0.1948334,-0.07550484,0.0144828,0.4185723,349.0217,11.34857,357.0902,0.6553177,-0.1405866,-0.1700853,0.3188488,-0.5901035,0.3181656,-0.08705518,-0.4479248,0.6323601,337.1035,27.54266,20.8936,0.4951506,0.1768946,-0.3326479,0.8772748,-0.9796671,-0.9985406,0.0393579,-0.4055325,0.5986548,327.3494,16.02975,21.80075,
12.938,0.3780557,-0.0974129,-0.2007511,-0.09321707,0.06677718,0.2492515,-0.07034928,0.01349783,0.416,349.2534,11.42928,356.8805,0.7039839,-0.1463712,-0.1666435,0.4064628,-0.5825734,0.3997458,-0.07677983,-0.4496774,0.6302984,337.3275,28.34237,20.55405,0.532154,0.1621261,-0.3433039,0.8270409,-1.069138,-0.8584247,0.04770255,-0.4041313,0.5940891,326.7593,16.50679,22.55273,
26.735,0.3744344,-0.08394162,-0.191349,-0.1267845,0.02341928,0.2949713,-0.06518072,0.0128265,0.4135631,349.4885,11.56382,356.6808,0.7457471,-0.1434928,-0.1678148,0.4825744,-0.60816,0.4375693,-0.06613158,-0.4513095,0.6281214,337.5246,29.21071,20.22879,0.5807002,0.1631541,-0.3699796,0.9828012,-1.234732,-0.7369305,0.05654829,-0.4022255,0.5885054,325.9553,17.47587,23.19107,
40.528,0.3725419,-0.06687623,-0.1806168,-0.1417293,-0.03488611,0.3226755,-0.06001902,0.01232338,0.4113306,349.6964,11.76899,356.4879,0.7984391,-0.1324462,-0.177741,0.6123161,-0.7459012,0.4410046,-0.05445726,-0.4525443,0.6258377,337.6501,30.38903,19.91983,0.6373526,0.1846485,-0.4257922,1.274142,-1.191699,-0.6750305,0.0661508,-0.3998579,0.5820293,324.7603,18.67215,23.34589,
54.193,0.3712697,-0.05216771,-0.170346,-0.1436312,-0.08682397,0.3343751,-0.05494559,0.01190358,0.4091421,349.8891,11.99194,356.305,0.859465,-0.1161951,-0.2003555,0.8452113,-0.9874002,0.4216983,-0.042236,-0.453856,0.6230196,337.6583,32.06107,19.52796,0.6775747,0.2029968,-0.4699233,1.447909,-1.162921,-0.6338555,0.07606436,-0.397378,0.5754538,323.601,19.86268,23.45975,
68.241,0.3683088,-0.03920978,-0.1589731,-0.1609293,-0.1262017,0.3433516,-0.049972,0.01160419,0.4070815,350.1415,12.21204,356.1402,0.9185318,-0.09414852,-0.2308841,1.113219,-1.160998,0.3347721,-0.02932995,-0.4548012,0.6199353,337.4434,33.95358,18.96578,0.7229978,0.2270989,-0.5293403,1.582407,-1.248963,-0.6293921,0.08623067,-0.3948723,0.5672315,322.4229,21.20366,23.70444,
82.134,0.364614,-0.02794099,-0.1468166,-0.1881154,-0.1379512,0.3546902,-0.04500854,0.01151097,0.4052957,350.4252,12.40925,355.9565,0.9750279,-0.0682043,-0.2574845,1.295717,-1.221366,0.2917508,-0.01517133,-0.4546716,0.6169837,337.3023,35.79078,18.26913,0.7442974,0.2388766,-0.5709426,1.521471,-1.397722,-0.6706179,0.0966484,-0.392122,0.5591231,321.4289,22.19089,24.4235,
95.937,0.3617746,-0.01678623,-0.1335536,-0.1902586,-0.1442375,0.3596364,-0.04000521,0.01153028,0.4037873,350.6375,12.61597,355.7717,1.031003,-0.03445382,-0.2874351,1.456339,-1.231686,0.2044748,-0.0009201355,-0.4547051,0.6127626,337.0427,37.63358,17.45854,0.7694163,0.2510345,-0.6203756,1.518106,-1.752842,-0.7504205,0.1076754,-0.3888664,0.5507336,320.3687,23.23775,25.72256,
110.256,0.3606552,-0.006553207,-0.1198172,-0.1563541,-0.1599303,0.3452773,-0.03497267,0.01162547,0.40246,350.7783,12.84337,355.6091,1.097799,0.01216139,-0.3368089,1.690993,-1.339156,0.02660313,0.01505921,-0.4533342,0.6083833,336.5204,39.83884,16.50777,0.8045451,0.2580657,-0.6704124,1.628646,-2.182841,-0.7709683,0.1190486,-0.3865647,0.5405731,319.2745,24.63783,27.26422,
123.483,0.3598855,0.0008154958,-0.1063904,-0.1134976,-0.1796768,0.3299337,-0.02997714,0.01167262,0.401312,350.8889,13.07923,355.4191,1.151464,0.05595417,-0.3897445,1.872208,-1.50567,-0.159938,0.0303857,-0.4523945,0.6028237,335.9134,42.25558,15.55517,0.8577687,0.2573252,-0.7205738,1.747895,-2.372591,-0.6182299,0.1318545,-0.3835223,0.5304856,318.4902,26.40857,28.33967,
