time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.531,-0.3293925,-0.03120867,-0.379474,-0.173159,-0.1816521,-0.1854962,-0.1252595,-0.05665582,0.5090994,0.7443344,22.43151,22.55387,-0.5401582,-0.1322282,-0.2620275,0.5547256,-0.4928428,-0.1427934,0.03710255,-0.9511154,0.5221041,67.4353,119.1532,15.54355,-0.2813178,0.05511395,-0.375672,0.1760585,0.2106492,0.01128835,0.1421274,-0.8389354,0.3984585,75.20652,130.5629,131.8703,
13.143,-0.3340456,-0.02906503,-0.388531,-0.1391856,-0.2204429,-0.2010483,-0.1299555,-0.05707216,0.5036074,0.744498,22.65426,22.74825,-0.5889781,-0.1453281,-0.2963141,0.9060382,-0.6463188,0.04927646,0.02835225,-0.9533105,0.5174769,67.97205,121.021,18.47176,-0.3135344,0.04785033,-0.42531,0.1905231,0.1567675,-0.06069832,0.1369969,-0.838663,0.3912399,75.32397,130.2815,131.4102,
26.838,-0.3379399,-0.02771189,-0.3962905,-0.1145345,-0.2744059,-0.1947037,-0.1347338,-0.05742753,0.4979817,0.8091704,22.93475,22.928,-0.6232265,-0.1559859,-0.3282043,1.079331,-0.7053419,0.2067062,0.01947873,-0.9556543,0.5125911,68.32565,122.8872,21.31349,-0.3451347,0.03989154,-0.4684173,0.218163,0.1092582,-0.03126723,0.1314403,-0.8385054,0.3835095,75.48076,129.6938,130.8117,
40.348,-0.341123,-0.02663208,-0.4021161,-0.1015854,-0.3340198,-0.1854054,-0.1395255,-0.05776936,0.4923016,0.8824646,23.25353,23.12067,-0.651623,-0.1689309,-0.3548345,1.10188,-0.727569,0.2511275,0.01047247,-0.9583607,0.5072324,68.66918,124.4744,23.70519,-0.3732139,0.03424651,-0.5056421,0.2470428,0.09647998,0.09142353,0.1254847,-0.8381035,0.3753831,75.60043,128.5909,129.9134,
54.401,-0.3435841,-0.02455612,-0.4068915,-0.07711662,-0.3800226,-0.1845745,-0.1443545,-0.05802673,0.4864637,0.916902,23.59698,23.28926,-0.6750621,-0.1819783,-0.3751226,1.023847,-0.7248216,0.193285,0.0009896774,-0.9606321,0.501906,69.07878,125.6625,25.50061,-0.3981036,0.03293362,-0.5354488,0.287389,0.08336273,0.2667049,0.1193493,-0.8380997,0.3669054,75.74449,127.0653,128.7966,
68.347,-0.3449208,-0.02130336,-0.4099577,-0.0349808,-0.4199981,-0.2078831,-0.1492066,-0.05823356,0.4806401,0.8681511,24.01394,23.46138,-0.6944994,-0.1930628,-0.3907005,0.9197302,-0.6943136,0.1187995,-0.008603146,-0.9635828,0.4961822,69.48864,126.6124,26.94927,-0.4137641,0.03825844,-0.561631,0.3090435,0.1283964,0.3986722,0.1131738,-0.8371112,0.3583222,75.8056,125.1102,127.2711,
82.01,-0.3448175,-0.0165901,-0.4112639,0.03940286,-0.446485,-0.2574441,-0.1540183,-0.05837274,0.4748539,0.7045966,24.47017,23.60604,-0.7117291,-0.2061073,-0.4061902,0.8090969,-0.7152323,0.04267798,-0.01808083,-0.9669447,0.4900657,69.98061,127.6872,28.4148,-0.4238981,0.05318895,-0.5851585,0.4099059,0.2255253,0.3433838,0.1068798,-0.8358356,0.348987,75.90995,122.6936,124.9264,
95.609,-0.3431767,-0.01310265,-0.410072,0.1189977,-0.4627828,-0.3274665,-0.1586957,-0.05853361,0.4692491,0.4689856,24.96409,23.77162,-0.7249643,-0.2158198,-0.4196083,0.6806244,-0.7390468,-0.0208055,-0.02787106,-0.9700128,0.4839536,70.48343,128.8096,29.80191,-0.4356314,0.07061368,-0.6161331,0.4624457,0.2785819,0.2094929,0.1004805,-0.8354308,0.338695,76.00916,120.6968,122.7939,
109.796,-0.3402175,-0.01269358,-0.4071263,0.1646842,-0.4813007,-0.3895029,-0.1633197,-0.05879211,0.463714,0.2543285,25.46889,23.96949,-0.7387065,-0.225913,-0.4377201,0.4105802,-0.768398,-0.1225424,-0.03820048,-0.972523,0.4775875,71.07449,129.872,30.68858,-0.4493414,0.08742956,-0.6494272,0.44001,0.2648206,0.1033385,0.09360147,-0.833835,0.328971,76.07415,119.4169,121.3782,
123.421,-0.3374907,-0.0149608,-0.4027463,0.1550212,-0.5155981,-0.4261933,-0.167994,-0.05916548,0.4583135,0.1055239,25.99392,24.23112,-0.7521458,-0.2342804,-0.4589811,0.03077209,-0.8096265,-0.2708194,-0.04808787,-0.9761245,0.4699124,71.82652,130.7868,30.95094,-0.4674175,0.1146999,-0.680618,0.5993186,0.2420058,-0.08901431,0.08697423,-0.8309651,0.3178791,76.45602,117.273,118.776,
