time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.383,-0.3104503,-0.01464707,-0.1200322,-0.173585,-0.1748167,0.01556564,-0.2794495,0.03015018,0.3141154,346.7259,11.98465,355.9688,-0.1438109,0.2613299,-0.190551,0.9924093,-0.6528221,-0.4334624,-0.299264,-0.3049158,0.5566458,318.898,36.6286,10.19197,-0.1714063,0.3423959,-0.2209617,1.346324,-1.069209,-0.5736907,-0.1553818,-0.2843852,0.5169054,306.7896,0.9622698,27.63665,
13.056,-0.2942754,-0.01783304,-0.1137285,-0.200167,-0.2224754,0.03056628,-0.2831644,0.02987355,0.3126792,346.8854,12.21756,356.028,-0.1053538,0.2567526,-0.19809,1.148034,-0.5357863,-0.4642075,-0.2999901,-0.3020422,0.55471,318.1119,37.91031,9.184889,-0.1456728,0.3355026,-0.2298,1.494188,-1.278959,-0.5709894,-0.1562132,-0.2802278,0.5142056,305.7911,0.2079988,29.91823,
26.259,-0.2773836,-0.01904438,-0.1067775,-0.2037357,-0.2649348,0.06750286,-0.2866119,0.0296638,0.3113716,347.0376,12.50062,356.0413,-0.07188671,0.2533979,-0.2056644,1.266671,-0.3302133,-0.6702954,-0.3002827,-0.2992953,0.552699,317.0346,39.01862,7.850986,-0.1152273,0.3308089,-0.2445484,1.57645,-1.35462,-0.5592749,-0.1564703,-0.2762317,0.5109284,304.8295,359.4503,32.10006,
40.215,-0.2603906,-0.01861668,-0.09967129,-0.1762063,-0.2939329,0.1025737,-0.289765,0.02946436,0.3101822,347.1315,12.79657,356.0149,-0.03270547,0.2470237,-0.2061348,1.309742,-0.08196886,-0.8538485,-0.299949,-0.2968102,0.5506976,315.9981,39.95033,6.335958,-0.07263994,0.3295953,-0.263786,1.505251,-1.188145,-0.5209439,-0.1559017,-0.2718616,0.5074778,303.997,358.896,33.58338,
54.064,-0.2411757,-0.01598614,-0.09109592,-0.1328219,-0.3110653,0.1417861,-0.2926182,0.02937037,0.309166,347.2056,13.10534,355.9352,0.007725462,0.2351603,-0.202589,1.36287,0.04696143,-0.885475,-0.2989725,-0.2941469,0.549132,315.1657,41.12326,4.746359,-0.02166607,0.3309518,-0.278501,1.140838,-0.7625174,-0.4572654,-0.1547322,-0.2673499,0.5034168,303.555,358.641,33.8858,
67.688,-0.2209435,-0.01202638,-0.08218089,-0.09510712,-0.3091424,0.1644139,-0.295182,0.02928066,0.3082137,347.2652,13.38113,355.8631,0.04678125,0.223307,-0.1959309,1.362969,0.104208,-0.8749193,-0.2976403,-0.2915625,0.5475687,314.4311,42.28534,3.231282,0.03620546,0.3313217,-0.294007,0.5937582,-0.1434935,-0.4321879,-0.1523039,-0.2632606,0.4989401,303.4424,358.576,32.99447,
81.8,-0.2004071,-0.008464018,-0.07294595,-0.07789564,-0.2938524,0.1664033,-0.2974641,0.02910578,0.3073505,347.3428,13.61359,355.8229,0.08053196,0.213315,-0.1909066,1.334944,0.05135013,-0.8656786,-0.2962704,-0.2897804,0.5457557,313.6558,43.44436,1.893201,0.09862022,0.331278,-0.3093982,0.2474675,0.3178378,-0.3056957,-0.1495788,-0.2583782,0.4948937,303.4231,359.0508,31.59521,
95.65,-0.1802507,-0.006389346,-0.06361398,-0.09095422,-0.2690323,0.1643129,-0.2994955,0.02892524,0.3066214,347.4801,13.82319,355.7921,0.1126796,0.2046466,-0.1870323,1.310147,-0.07593957,-0.8031785,-0.2938757,-0.2870335,0.5444084,312.9254,44.71686,0.7007845,0.1542806,0.3284189,-0.3173436,0.2041117,0.365131,-0.01403386,-0.1470596,-0.2543362,0.4901421,303.4256,0.06210029,30.57076,
109.887,-0.1602255,-0.005569703,-0.05428261,-0.1083372,-0.2340846,0.1782905,-0.3012416,0.02884948,0.3060678,347.6389,14.011,355.7162,0.1434212,0.1989082,-0.1804409,1.251836,-0.2348859,-0.6659821,-0.2915642,-0.2847969,0.5429179,312.3219,45.99419,359.7682,0.1866708,0.3151686,-0.3453933,0.4722596,0.1161837,-0.02573637,-0.143533,-0.2514247,0.4849787,302.8159,0.1842728,31.0174,
123.299,-0.1395928,-0.006477963,-0.0451977,-0.1077236,-0.2026928,0.1969934,-0.3026627,0.0286743,0.3056583,347.7702,14.19494,355.6108,0.1673701,0.1947517,-0.1744438,1.189323,-0.4067184,-0.5315853,-0.2889133,-0.2825452,0.5415746,311.7367,47.27265,359.0461,0.2191356,0.3037901,-0.3684652,0.8953547,-0.2336985,0.1016848,-0.1403706,-0.2475624,0.4805206,302.02,0.7789781,31.79862,
137.3,-0.1186234,-0.008599661,-0.03634781,-0.1053013,-0.1836818,0.2247889,-0.3037757,0.02852464,0.3053222,347.9292,14.39732,355.4767,0.1947521,0.1910338,-0.1673359,1.128929,-0.5915012,-0.3663306,-0.2858834,-0.2805738,0.5402378,311.2325,48.56895,358.5747,0.2321248,0.2827353,-0.3797978,1.147483,-0.6792533,0.1749941,-0.1370475,-0.2446981,0.4752486,301.4338,0.8322551,33.45946,
151.169,-0.09691373,-0.01219679,-0.02820878,-0.102038,-0.1702443,0.2536621,-0.3045563,0.02827901,0.3050894,348.0927,14.60314,355.3233,0.2253213,0.1898138,-0.1601071,1.089153,-0.7060171,-0.2050256,-0.2819102,-0.2776292,0.5391545,310.8557,49.90262,358.1334,0.2350872,0.2570855,-0.3955529,1.384416,-1.093271,0.1154974,-0.1332884,-0.2427094,0.4696368,300.7589,0.2046586,35.94639,
164.774,-0.07524405,-0.01756718,-0.02042497,-0.1089297,-0.1656669,0.2844537,-0.3050656,0.02792281,0.3049577,348.298,14.82628,355.1626,0.2558079,0.1904232,-0.1562318,1.073107,-0.7631458,-0.09953186,-0.2780535,-0.2754498,0.5377188,310.5076,51.2607,357.6333,0.2284527,0.2293494,-0.4204144,1.692723,-1.515328,-0.03621051,-0.129739,-0.2400888,0.4640328,299.897,358.8428,39.48616,
178.929,-0.05321715,-0.02484854,-0.0133742,-0.1294881,-0.1599037,0.3106029,-0.3052694,0.02734607,0.3049213,348.5376,15.03506,355.0101,0.2906003,0.1939036,-0.1583941,1.11308,-0.8437123,0.001691893,-0.2733795,-0.2725252,0.5363215,310.1644,52.82836,357.0723,0.2314332,0.214464,-0.4426078,1.932764,-1.76036,-0.1233401,-0.125627,-0.2378399,0.4579753,299.0836,357.4515,43.08179,
192.847,-0.03082739,-0.03357639,-0.006593827,-0.1540285,-0.1566084,0.339253,-0.30516,0.02664632,0.3049841,348.811,15.26038,354.8414,0.3204439,0.1969561,-0.1645874,1.204899,-0.9417094,0.1215958,-0.2686952,-0.2700743,0.5349891,309.8886,54.64906,356.4761,0.2404532,0.1951261,-0.4704239,2.192386,-1.913959,-0.2370529,-0.1211599,-0.2362186,0.4514216,298.1497,355.7594,47.07209,
206.505,-0.008133868,-0.04275943,0.0004964625,-0.1778398,-0.1568104,0.3733394,-0.3046772,0.02579105,0.3051752,349.11,15.49187,354.6526,0.349974,0.1956398,-0.1744234,1.333385,-0.9890828,0.1963865,-0.2636398,-0.267416,0.5334039,309.6824,56.70518,355.6749,0.2495971,0.1811426,-0.4873154,2.195085,-1.996381,-0.3388472,-0.116361,-0.2337306,0.4448865,297.5957,353.6113,51.19445,
220.567,0.01545925,-0.05108757,0.007940458,-0.2091444,-0.1634509,0.4042542,-0.3038542,0.02491355,0.3054584,349.4677,15.74672,354.4793,0.3681979,0.1968559,-0.1873516,1.437209,-1.100819,0.1337598,-0.258446,-0.2649191,0.5318092,309.1944,58.89564,354.7455,0.2654562,0.1751837,-0.5044057,2.243567,-2.028124,-0.4139007,-0.1111849,-0.2317056,0.4380876,297.0663,351.3569,55.44587,
234.293,0.04077621,-0.05881502,0.0160541,-0.2383472,-0.1791884,0.4144537,-0.3025868,0.0238685,0.305916,349.7967,16.00954,354.3575,0.3846137,0.2009051,-0.1982901,1.537687,-1.201358,0.02603492,-0.2529072,-0.2622916,0.5304217,308.595,61.28505,353.6058,0.2826297,0.1735924,-0.5100095,2.334285,-2.127623,-0.4138689,-0.1056784,-0.2291978,0.4315173,296.7951,348.9757,60.06979,
247.905,0.06557777,-0.06405837,0.02392513,-0.281908,-0.2041621,0.4158311,-0.3010083,0.0229367,0.3064369,350.2027,16.30171,354.264,0.4061854,0.2010047,-0.2019373,1.634249,-1.218918,-0.07930331,-0.246817,-0.2597893,0.5291963,308.0818,63.83627,352.1971,0.3080875,0.1749278,-0.5016161,2.465923,-2.239439,-0.2889127,-0.09999844,-0.226607,0.4249173,296.8554,347.0322,64.60081,
262.13,0.09452713,-0.06800894,0.03375127,-0.320614,-0.2418589,0.4267992,-0.2990414,0.02192247,0.3071924,350.5887,16.64654,354.1505,0.4338273,0.1950338,-0.1997318,1.67989,-1.117969,-0.2526277,-0.2401969,-0.2574777,0.5280655,307.6594,66.41827,350.3891,0.3327022,0.1786506,-0.5010018,2.620725,-2.303668,-0.2249644,-0.0939315,-0.2239499,0.4177549,297.0302,345.1379,69.188,
276.01,0.1215102,-0.07100541,0.04396193,-0.3265525,-0.2775533,0.4515499,-0.296756,0.02092332,0.3080791,350.9817,17.02135,353.9907,0.4681453,0.1841163,-0.1963835,1.72696,-0.9331728,-0.4738818,-0.2330955,-0.2552519,0.526945,307.4075,69.1339,348.0726,0.3560225,0.1836041,-0.5128391,2.692298,-2.311006,-0.241056,-0.08745205,-0.221023,0.4101042,297.3269,343.086,73.78132,
289.934,0.1489276,-0.07278351,0.05423594,-0.3224446,-0.3102157,0.4919283,-0.2940605,0.01998335,0.3090619,351.4058,17.43088,353.7871,0.5024173,0.1708139,-0.1918594,1.775668,-0.7849283,-0.6728113,-0.2257314,-0.2531506,0.5260425,307.2876,71.98403,345.4886,0.3867711,0.1978463,-0.537742,2.727052,-2.166497,-0.2745053,-0.08045724,-0.2178029,0.4019386,297.5163,341.4167,77.83953,
303.504,0.1764804,-0.07372472,0.06423766,-0.3112554,-0.3524108,0.5391003,-0.290979,0.01894522,0.3102062,351.8149,17.90686,353.5458,0.5266382,0.1605918,-0.1857193,1.77746,-0.7208865,-0.8077354,-0.2182244,-0.2511008,0.5252566,307.1985,74.78693,342.9459,0.4260781,0.2190266,-0.5693538,2.70048,-1.922837,-0.2827883,-0.07290892,-0.2142125,0.3933794,297.6115,340.2453,81.22282,
317.674,0.2048086,-0.07458764,0.07346731,-0.2998435,-0.3972248,0.5966496,-0.2874393,0.01786953,0.3114178,352.2593,18.4241,353.2687,0.5516636,0.1529733,-0.1747869,1.762511,-0.7178077,-0.8407257,-0.2102375,-0.2489463,0.5247328,307.1832,77.52189,340.6086,0.4688086,0.2445675,-0.597401,2.651718,-1.630042,-0.2336059,-0.06523066,-0.2102586,0.3846187,297.631,339.7554,83.85011,
331.662,0.2310572,-0.0752015,0.08116235,-0.292947,-0.4436731,0.6665246,-0.2835572,0.01680511,0.3126826,352.758,18.99914,352.932,0.5758878,0.149413,-0.1562524,1.745476,-0.7696772,-0.6697636,-0.2019473,-0.2467581,0.5245541,307.2823,80.02879,338.9398,0.5074347,0.2653615,-0.6126969,2.526012,-1.38473,-0.0984894,-0.05729267,-0.2060794,0.3758162,297.8094,339.8722,85.72005,
345.31,0.2595375,-0.07796527,0.0890856,-0.2844345,-0.5005268,0.7326404,-0.2792386,0.01551431,0.3140508,353.2629,19.63785,352.5864,0.5937994,0.1479966,-0.1335166,1.692885,-0.7939649,-0.4322101,-0.1935738,-0.2445168,0.5247023,307.483,82.19799,337.8181,0.5446045,0.2852691,-0.6297287,2.452524,-1.136981,0.006528378,-0.04906008,-0.2017819,0.3665615,297.9034,340.383,87.1796,
359.343,0.287781,-0.08297727,0.09613225,-0.2919185,-0.5531974,0.7864528,-0.2745453,0.01409745,0.315454,353.8185,20.29733,352.2551,0.6044834,0.1481142,-0.1074278,1.555898,-0.8214544,-0.2244475,-0.185056,-0.2425675,0.5248278,307.5405,83.94537,337.1108,0.5669872,0.2961224,-0.6423122,2.403157,-0.9787109,0.03206098,-0.04086148,-0.1975552,0.3573084,297.9942,340.7588,88.76234,
373.433,0.3171068,-0.0897988,0.102761,-0.3185667,-0.5984969,0.8434627,-0.26952,0.01268196,0.3169733,354.4442,20.98296,351.901,0.6150268,0.1472272,-0.08699143,1.468562,-0.8454619,-0.06316893,-0.1763558,-0.2405616,0.5250911,307.6099,85.64186,336.5225,0.5921741,0.308031,-0.6550466,2.382449,-0.805832,0.05458337,-0.03221084,-0.1930863,0.3479485,298.0082,341.4643,90.01048,
386.896,0.3420297,-0.09639362,0.107581,-0.3527561,-0.6344942,0.8908975,-0.2641488,0.01118892,0.3185661,355.132,21.69027,351.5783,0.6239502,0.1426463,-0.07322901,1.403942,-0.8691019,-0.004858181,-0.1674582,-0.2388213,0.5254014,307.6376,87.39185,335.8029,0.6204144,0.3185215,-0.6642183,2.454135,-0.6037047,0.07317013,-0.02349935,-0.1885657,0.3385231,297.8809,342.6779,90.92453,
401.077,0.3685476,-0.1034962,0.1120809,-0.3886689,-0.6713041,0.9488205,-0.2583867,0.009582162,0.3201808,355.8641,22.43537,351.2281,0.6358706,0.133441,-0.06476039,1.365411,-0.8669934,-0.05675207,-0.1582798,-0.2372168,0.5258197,307.7069,89.27129,334.7844,0.6384203,0.3269066,-0.683122,2.523047,-0.4169092,-0.04517537,-0.01489695,-0.1841485,0.3286275,297.5102,343.7147,92.03112,
414.814,0.3954778,-0.1101603,0.115307,-0.4234225,-0.7114999,1.006054,-0.2522124,0.007923961,0.321761,356.6484,23.21485,350.8899,0.6485503,0.1213233,-0.05499861,1.274451,-0.837075,-0.1768185,-0.1488811,-0.2358512,0.5263664,307.7572,91.06771,333.5709,0.6442064,0.3307004,-0.7098339,2.543925,-0.2866731,-0.2622725,-0.006295493,-0.1798419,0.3183655,296.9662,344.3268,93.49149,
428.571,0.422283,-0.1171343,0.1181136,-0.441824,-0.7643377,1.060027,-0.2457265,0.006142259,0.3234233,357.451,24.06118,350.5238,0.6631008,0.1064978,-0.04178336,1.166963,-0.7825441,-0.2926963,-0.1392698,-0.2347305,0.5271121,307.8372,92.72353,332.3209,0.6402278,0.3280014,-0.7341915,2.556196,-0.23963,-0.5008174,0.002236839,-0.1757379,0.3081119,296.3769,344.5229,95.39668,
442.382,0.4493611,-0.1235098,0.1204966,-0.4598823,-0.8142893,1.122035,-0.2388363,0.004331231,0.3251138,358.3413,24.92285,350.147,0.6759657,0.09001548,-0.02676105,1.060352,-0.7304615,-0.3759489,-0.1296102,-0.2338874,0.5280399,307.9265,94.25547,331.1115,0.6388481,0.3223242,-0.7464418,2.586145,-0.2015776,-0.6743128,0.01087615,-0.1715781,0.29814,295.8022,344.7983,97.30245,
456.498,0.476672,-0.1290229,0.1225042,-0.4857193,-0.8586594,1.177504,-0.2315416,0.002445817,0.3268687,359.2732,25.80148,349.8011,0.6860476,0.07023381,-0.01160112,1.004238,-0.678753,-0.4194628,-0.1199256,-0.2333332,0.5291869,308.0968,95.75034,329.9639,0.6428064,0.3137962,-0.7464241,2.567278,-0.1414106,-0.7623488,0.01949809,-0.1678121,0.2883959,295.2534,345.3364,98.88205,
470.469,0.5044729,-0.1338818,0.1246488,-0.5148526,-0.8956529,1.214975,-0.2238569,0.0003644228,0.3286854,0.2178823,26.69535,349.4922,0.6928927,0.04638572,0.007530361,0.93235,-0.6209279,-0.4670317,-0.1101774,-0.2331541,0.5306678,308.2932,97.13125,328.8321,0.6541517,0.3075984,-0.7356674,2.456786,-0.01708269,-0.6638683,0.02835205,-0.1633828,0.2786526,294.905,346.6977,99.36718,
484.067,0.5326541,-0.1389828,0.1272656,-0.5371888,-0.9324638,1.231763,-0.2157714,-0.001853168,0.3305384,1.171918,27.60489,349.2135,0.6941947,0.02367888,0.02899793,0.8255949,-0.55751,-0.5020791,-0.1006076,-0.2333224,0.5323812,308.4662,98.31378,327.7815,0.6571203,0.2970783,-0.7334226,2.491263,-0.009021163,-0.7870918,0.03713872,-0.1599197,0.2687754,294.3841,347.4258,100.7896,
498.105,0.5608066,-0.1445736,0.1298777,-0.5385752,-0.9729129,1.251362,-0.2073213,-0.004147828,0.3324071,2.122866,28.54815,348.8838,0.6909299,0.003545281,0.0520519,0.7213552,-0.5019758,-0.4920739,-0.09127716,-0.2337252,0.5343809,308.6099,99.31346,326.8932,0.6463586,0.2884295,-0.7466887,2.590481,-0.09593898,-1.150809,0.04570935,-0.1563751,0.2585965,293.592,347.0642,103.614,
512.038,0.5882358,-0.1540468,0.1317546,-0.5098049,-1.036789,1.289954,-0.1985456,-0.006683707,0.3342601,3.105377,29.57614,348.4751,0.6801052,-0.02072402,0.08454564,0.6398905,-0.4570469,-0.3642022,-0.08226871,-0.2346833,0.5369665,308.6813,100.0541,326.4463,0.6278842,0.282817,-0.7709279,2.620766,-0.1905653,-1.618103,0.05401051,-0.1529618,0.2483051,292.5101,345.71,107.4933,
525.709,0.6144123,-0.1689127,0.1313554,-0.4844289,-1.123318,1.386039,-0.1893985,-0.009519398,0.335972,4.270205,30.66387,348.0063,0.6639528,-0.04871852,0.1200133,0.6269178,-0.4263276,-0.1517597,-0.07349834,-0.2361851,0.5400779,308.7347,100.6799,326.4147,0.6177542,0.2811855,-0.7900596,2.452035,-0.1792295,-1.865952,0.06240591,-0.1495817,0.2381995,291.4031,344.4193,110.8872,
539.802,0.639594,-0.1878045,0.1286405,-0.5091988,-1.219126,1.514494,-0.17998,-0.01266593,0.3376669,5.596749,31.84117,347.6032,0.6487304,-0.08404302,0.1582937,0.6551148,-0.3568938,0.05067315,-0.06489095,-0.2383479,0.5437257,308.8813,101.1509,326.6732,0.6250827,0.2752325,-0.7873542,2.09117,-0.03978133,-1.65826,0.07112584,-0.146207,0.228334,290.6936,344.5454,112.0779,
553.733,0.663153,-0.2100734,0.1242341,-0.5876561,-1.302781,1.617953,-0.1703042,-0.0161429,0.3393079,7.03281,33.06374,347.3389,0.6360865,-0.1292079,0.1985364,0.6816844,-0.240486,0.16016,-0.05654683,-0.241355,0.5478544,309.1708,101.469,326.9954,0.6493204,0.2712705,-0.7789101,1.740658,0.2004374,-1.349348,0.08048283,-0.142232,0.2180931,290.0943,345.9192,111.6445,
567.343,0.6843704,-0.2318673,0.1194589,-0.6826395,-1.353995,1.714402,-0.1603954,-0.0197984,0.3408993,8.570074,34.28248,347.1319,0.625031,-0.183646,0.2376716,0.6884301,-0.06996767,0.1268671,-0.04855846,-0.2451437,0.5523868,309.6795,101.6649,327.1581,0.6704056,0.2785586,-0.7935326,1.53299,0.4494132,-1.48314,0.08964977,-0.1386588,0.2079138,288.7478,346.9338,111.8288,
581.549,0.7037642,-0.250759,0.1154714,-0.7594858,-1.372728,1.783409,-0.150189,-0.02363676,0.3424455,10.12738,35.45838,347.0108,0.6122451,-0.2414656,0.2733456,0.6497779,0.1230499,-0.05581842,-0.04094802,-0.2495829,0.557261,310.3676,101.7996,326.9587,0.6916862,0.2857166,-0.8107525,1.21371,0.7373801,-1.578985,0.09892275,-0.135261,0.1977186,287.1307,348.6117,110.9282,
595.2,0.7220588,-0.2668736,0.1135733,-0.8145586,-1.362122,1.78509,-0.1397629,-0.02764434,0.3440391,11.60582,36.60762,347.0088,0.595609,-0.2999975,0.3072062,0.6316878,0.3314338,-0.2997825,-0.03399707,-0.2546087,0.5625838,311.2901,101.8672,326.533,0.7066997,0.2871363,-0.8255451,0.8668268,0.9422951,-1.620753,0.1084183,-0.1316908,0.1871674,285.5059,350.6482,109.2804,
609.199,0.7396266,-0.2787903,0.1138898,-0.8548048,-1.323646,1.750825,-0.1290983,-0.03173536,0.3456798,13.06121,37.69875,347.0825,0.5584875,-0.3555513,0.3491677,0.5770906,0.4985717,-0.492627,-0.02814557,-0.260089,0.5686655,312.2074,101.7846,326.0983,0.7137302,0.2849792,-0.8458063,0.657923,1.003001,-1.840678,0.1179173,-0.1283844,0.1767674,283.6003,352.1891,108.2927,
622.86,0.7572084,-0.2846941,0.1167979,-0.8546157,-1.281897,1.713764,-0.1181782,-0.03579926,0.3474327,14.45481,38.75531,347.1391,0.5115485,-0.391894,0.3957478,0.4768022,0.6396636,-0.502852,-0.02304862,-0.2657151,0.5752277,312.9585,101.3495,326.0763,0.7262082,0.2829622,-0.8605727,0.3866866,1.095188,-1.985934,0.1276402,-0.1248922,0.1665043,281.5965,354.6832,106.0201,
636.946,0.775443,-0.2857052,0.1216643,-0.8013505,-1.274046,1.654541,-0.1069636,-0.03965497,0.3492815,15.76531,39.81689,347.1279,0.454377,-0.4200086,0.4473435,0.4160308,0.7683075,-0.3312108,-0.01897591,-0.2717148,0.5823941,313.6406,100.6226,326.6222,0.7438515,0.2785938,-0.8659024,0.06430611,1.201584,-2.05932,0.1377501,-0.1212783,0.1562901,279.6059,358.8389,101.6613,
650.863,0.7946603,-0.2831206,0.127148,-0.7411996,-1.284486,1.572049,-0.09547436,-0.04344928,0.3511992,16.97924,40.88494,347.144,0.3931059,-0.4487339,0.4959531,0.4010645,0.9026723,-0.1232001,-0.01567988,-0.2781715,0.5899329,314.3665,99.72242,327.4914,0.7694712,0.2740001,-0.8673926,-0.2078426,1.304854,-2.196085,0.14839,-0.117699,0.1464618,277.5099,5.978394,94.15726,
664.627,0.8124648,-0.2794977,0.1327309,-0.7051046,-1.28866,1.46463,-0.08384502,-0.04724115,0.3531638,18.08593,41.94716,347.2063,0.3375227,-0.4827164,0.5392511,0.4142833,1.107952,0.002373852,-0.01305133,-0.2850497,0.5977178,315.3171,98.59666,328.469,0.8056686,0.2657226,-0.8575642,-0.3840789,1.40469,-2.345653,0.1596482,-0.1142474,0.1371632,275.5848,19.94026,79.79026,
678.676,0.8265376,-0.2769167,0.1387275,-0.6749082,-1.282844,1.374477,-0.07224286,-0.05102903,0.3553289,19.17596,42.99173,347.265,0.2869378,-0.5201935,0.5731839,0.4305938,1.376378,-0.03033432,-0.01126989,-0.2922293,0.6054246,316.5394,97.27257,329.2715,0.8552022,0.2562105,-0.8463334,-0.6047856,1.6012,-2.50528,0.1714488,-0.1106181,0.1278279,274.4577,49.03307,49.93822,
692.532,0.8355167,-0.2775158,0.1444675,-0.6108084,-1.277754,1.307329,-0.06067646,-0.05498421,0.3575411,20.22271,43.96709,347.231,0.2235213,-0.5505375,0.5916775,0.397126,1.533866,-0.161265,-0.01092073,-0.2996234,0.613007,317.7042,96.01818,329.709,0.9197782,0.2431467,-0.8501989,-1.013575,1.928584,-2.808823,0.1841797,-0.1071123,0.1182371,275.3108,87.39465,10.00032,
706.272,0.8381199,-0.2825547,0.1487857,-0.5234488,-1.289361,1.241159,-0.04918098,-0.05911809,0.3596562,21.22583,44.9165,347.1159,0.1451082,-0.5693316,0.5984948,0.3277789,1.558614,-0.2671425,-0.01179089,-0.3070333,0.620547,318.662,94.90201,329.9705,1.002182,0.2339153,-0.8681131,-1.578815,2.462031,-3.341416,0.1976422,-0.1024468,0.1079,278.4928,108.9623,345.6723,
720.421,0.8363889,-0.2894671,0.1492585,-0.4431362,-1.30027,1.203382,-0.03766733,-0.0632965,0.3616065,22.28767,45.81166,346.9852,0.05691303,-0.5733111,0.604858,0.1839805,1.551252,-0.24549,-0.01385922,-0.3142593,0.628203,319.3639,93.6281,330.4457,1.093646,0.2108194,-0.8834977,-1.934663,2.762516,-4.224206,0.2124547,-0.09937902,0.09909081,282.7983,119.9232,331.4897,
734.344,0.833432,-0.2957284,0.1453042,-0.4029759,-1.28851,1.196963,-0.02622247,-0.06753254,0.3633732,23.36195,46.70088,346.9658,-0.03026192,-0.5675368,0.6154891,-0.02120376,1.611289,-0.1131564,-0.01678531,-0.3213652,0.6357462,319.9303,91.93991,331.3524,1.205816,0.1712572,-0.858075,-2.102355,3.093405,-4.99268,0.2289769,-0.09605413,0.09062856,287.6219,122.8176,324.715,
747.917,0.8293048,-0.3019083,0.1397709,-0.4072788,-1.264196,1.20301,-0.0149349,-0.07181168,0.3651558,24.47026,47.62962,347.0218,-0.1152842,-0.5593209,0.6250701,-0.22585,1.802536,0.09865163,-0.02064031,-0.3282534,0.6428249,320.5846,89.7425,332.7325,1.308134,0.110754,-0.7978231,-1.808894,3.133492,-5.611194,0.2458092,-0.09422562,0.08405802,292.5082,123.8798,320.2173,
762.06,0.8225122,-0.3078022,0.135669,-0.4069197,-1.263807,1.217837,-0.003854811,-0.07615864,0.367005,25.59869,48.57168,347.0412,-0.179126,-0.5553151,0.6210704,-0.3266432,1.985044,0.3207245,-0.0250053,-0.3351071,0.6493618,321.431,87.46016,334.2828,1.361937,0.03502107,-0.7136188,-1.391339,2.672983,-5.802529,0.2625749,-0.09385073,0.07871786,296.5999,124.8839,316.4101,
775.886,0.8127676,-0.3141563,0.1351603,-0.3885588,-1.288162,1.221534,0.007120371,-0.08070928,0.3689651,26.70602,49.50446,347.0225,-0.2392913,-0.5553491,0.6029041,-0.3740654,2.084144,0.5482588,-0.03008389,-0.342011,0.6553718,322.3432,85.25059,335.9186,1.369744,-0.05189989,-0.5946822,-0.89889,1.881505,-5.41007,0.279348,-0.09505202,0.07570304,299.6214,126.3104,313.2853,
789.871,0.802094,-0.3185413,0.1380715,-0.3626201,-1.330933,1.216744,0.01794076,-0.08514041,0.3710781,27.86481,50.47321,346.9987,-0.2934232,-0.5589762,0.5735181,-0.4107052,2.159964,0.6617839,-0.03565852,-0.3488933,0.6606091,323.304,83.07457,337.402,1.356016,-0.1221447,-0.4707243,-0.5395429,1.23562,-4.809801,0.2960563,-0.09676073,0.0740997,302.066,127.4167,310.9143,
